date,direction,entry,target_or_stop,exit_date,exit,ticks,above_moving_average,below_moving_average,above_top_band,below_bottom_band
2016-09-15T15:00,short,1.12468,target,2007-12-03T12:00,1.12090,37,false,true,false,false
2007-12-17T00:00,long,0.71450,target,2007-12-17T01:00,0.71527,7,false,true,false,false
2008-01-04T09:00,short,0.74690,target,2008-01-04T11:00,0.74516,17,false,true,false,false
2008-01-22T17:00,short,0.74555,stopped,2008-01-23T00:00,0.74765,-21,false,true,false,false
2008-01-24T00:00,short,0.74805,target,2008-01-24T02:00,0.74735,7,false,true,false,false
2008-01-31T00:00,short,0.74735,stopped,2008-01-31T05:00,0.74845,-11,false,true,false,false
2008-02-21T00:00,short,0.75758,stopped,2008-02-21T06:00,0.75796,-3,false,true,false,false
2008-02-29T00:00,short,0.76378,target,2008-02-29T02:00,0.76318,6,false,true,false,false
2008-03-06T12:00,short,0.76841,target,2008-03-06T14:00,0.76760,8,false,true,false,false
2008-03-11T00:00,short,0.76428,stopped,2008-03-11T04:00,0.76542,-11,false,true,false,false
2008-03-12T16:00,short,0.76616,stopped,2008-03-13T20:00,0.76798,-18,false,true,false,false
2008-03-14T16:00,short,0.76772,stopped,2008-03-14T18:00,0.76961,-18,false,true,false,false
2008-03-18T21:00,long,0.77863,target,2008-03-18T22:00,0.77957,9,false,true,false,false
2008-03-20T16:00,long,0.77860,stopped,2008-03-20T22:00,0.77696,-16,false,true,false,false
2008-03-24T04:00,long,0.77690,stopped,2008-03-24T07:00,0.77627,-6,false,true,false,false
2008-04-03T11:00,short,0.78667,target,2008-04-03T14:00,0.78242,42,false,true,false,false
2008-04-10T14:00,short,0.80190,target,2008-04-10T15:00,0.80082,10,true,false,false,false
2008-04-25T09:00,long,0.79422,target,2008-04-25T10:00,0.79494,7,true,false,false,false
2008-04-30T03:00,short,0.79100,stopped,2008-04-30T08:00,0.79237,-13,true,false,false,false
2008-05-19T01:00,short,0.79632,target,2008-05-20T17:00,0.79451,18,true,false,false,false
2008-05-26T11:00,short,0.79617,stopped,2008-05-27T03:00,0.79728,-11,true,false,false,false
2008-05-27T09:00,short,0.79638,stopped,2008-05-27T11:00,0.79824,-18,true,false,false,false
2008-05-28T01:00,long,0.79418,stopped,2008-05-28T04:00,0.79342,-7,true,false,false,false
2008-06-12T08:00,long,0.79067,stopped,2008-06-12T09:00,0.79004,-6,true,false,false,false
2008-06-25T14:00,long,0.79044,target,2008-06-25T16:00,0.79170,12,true,false,false,false
2008-07-02T08:00,short,0.79253,stopped,2008-07-02T10:00,0.79375,-12,true,false,false,false
2008-07-03T22:00,long,0.79170,stopped,2008-07-04T02:00,0.79128,-4,true,false,false,false
2008-07-14T09:00,short,0.80000,target,2008-07-14T11:00,0.79822,17,true,false,false,false
2008-07-16T01:00,long,0.79359,target,2008-07-16T09:00,0.79472,11,true,false,false,false
2008-07-25T08:00,short,0.79065,stopped,2008-07-25T09:00,0.79140,-7,true,false,false,false
2008-08-12T12:00,short,0.78311,stopped,2008-08-12T21:00,0.78525,-21,true,false,false,false
2008-08-18T00:00,long,0.78755,target,2008-08-18T03:00,0.78799,4,true,false,false,false
2008-08-21T11:00,short,0.79119,stopped,2008-08-21T14:00,0.79388,-26,true,false,false,false
2008-08-25T00:00,short,0.79861,target,2008-08-25T01:00,0.79815,4,true,false,false,false
2008-08-27T04:00,short,0.79706,stopped,2008-08-27T06:00,0.79798,-9,true,false,false,false
2008-09-16T21:00,long,0.79232,target,2008-09-17T03:00,0.79384,15,true,false,false,false
2008-09-19T08:00,long,0.78787,target,2008-09-19T09:00,0.78977,18,true,false,false,false
2008-09-24T03:00,long,0.79113,target,2008-09-24T04:00,0.79163,5,true,false,false,false
