date,direction,entry,target_or_stop,exit_date,exit,ticks,above_moving_average,below_moving_average,above_top_band,below_bottom_band
2007-12-18T16:00,short,163.35800,target,2007-12-18T17:00,163.08301,2749,true,false,true,false
2008-01-09T00:00,long,160.23999,target,2008-01-09T02:00,160.45999,2200,true,false,true,false
2008-01-10T17:00,short,161.34000,stopped,2008-01-10T19:00,161.85001,-5100,true,false,true,false
2008-01-18T00:00,long,156.08000,stopped,2008-01-18T01:00,155.92999,-1500,true,false,true,false
2008-01-24T17:00,short,156.91000,stopped,2008-01-24T19:00,157.35001,-4400,true,false,true,false
2008-01-25T00:00,short,158.08000,stopped,2008-01-25T01:00,158.23999,-1599,true,false,true,false
2008-02-13T14:00,short,156.88049,stopped,2008-02-13T15:00,157.09000,-2095,true,false,true,false
2008-02-19T13:00,long,158.40151,target,2008-02-19T15:00,158.84552,4440,true,false,true,false
2008-02-20T15:00,long,158.22150,target,2008-02-20T19:00,158.73050,5090,true,false,true,false
2008-02-21T06:00,short,159.11301,stopped,2008-02-21T07:00,159.28900,-1759,true,false,true,false
2008-03-10T08:00,long,156.90451,target,2008-03-10T09:00,157.15552,2510,true,false,true,false
2008-03-12T12:00,short,158.58551,target,2008-03-12T21:00,158.03702,5484,true,false,true,false
2008-03-17T00:00,long,155.03250,stopped,2008-03-17T02:00,154.39150,-6410,true,false,true,false
2008-03-24T12:00,short,153.92900,stopped,2008-03-24T15:00,154.41150,-4824,true,false,true,false
2008-04-17T02:00,short,162.33200,stopped,2008-04-17T07:00,162.56699,-2349,true,false,true,false
2008-04-23T12:00,short,164.55951,target,2008-04-23T15:00,164.13402,4254,true,false,true,false
2008-04-28T13:00,short,163.66950,target,2008-04-28T15:00,163.45648,2130,true,false,true,false
2008-05-15T12:00,short,162.85350,target,2008-05-15T13:00,162.75200,1015,true,false,true,false
2008-05-19T03:00,short,162.19850,target,2008-05-19T11:00,161.85950,3390,true,false,true,false
2008-05-20T08:00,long,161.63849,target,2008-05-20T09:00,161.81198,1734,true,false,true,false
2008-06-03T03:00,long,162.28650,target,2008-06-03T04:00,162.49249,2059,true,false,true,false
2008-06-09T01:00,long,165.24100,target,2008-06-09T02:00,165.49750,2565,true,false,true,false
2008-06-12T10:00,long,165.88500,target,2008-06-12T13:00,166.12149,2364,true,false,true,false
2008-06-18T08:00,long,167.29251,target,2008-06-18T09:00,167.55953,2670,true,false,true,false
2008-06-19T11:00,long,167.10350,stopped,2008-06-19T12:00,166.90950,-1940,true,false,true,false
2008-07-10T00:00,long,168.09700,stopped,2008-07-10T02:00,167.99451,-1024,true,false,true,false
2008-07-11T00:00,short,168.99899,stopped,2008-07-11T01:00,169.07300,-740,true,false,true,false
2008-07-25T20:00,short,169.31500,stopped,2008-07-28T03:00,169.45999,-1449,true,false,true,false
2008-07-30T04:00,long,168.42999,stopped,2008-07-30T06:00,168.26950,-1604,true,false,true,false
2008-08-04T14:00,short,168.33650,stopped,2008-08-04T15:00,168.44699,-1104,true,false,true,false
2008-08-15T03:00,long,162.25400,target,2008-08-15T04:00,162.50598,2519,true,false,true,false
2008-08-18T03:00,long,162.34351,stopped,2008-08-18T17:00,161.83951,-5039,true,false,true,false
2008-08-19T02:00,long,161.82050,stopped,2008-08-19T03:00,161.59700,-2234,true,false,true,false
2008-08-27T18:00,short,161.13100,stopped,2008-08-28T03:00,161.51300,-3820,true,false,true,false
2008-09-01T01:00,long,159.32100,target,2008-09-01T02:00,159.48550,1645,true,false,true,false
2008-09-10T15:00,long,151.63550,stopped,2008-09-11T02:00,150.15601,-14794,true,false,true,false
2008-09-24T00:00,long,155.22501,target,2008-09-24T09:00,155.99402,7690,true,false,true,false
2008-09-25T17:00,short,156.10100,target,2008-09-25T18:00,155.86499,2360,true,false,true,false
2008-10-20T18:00,long,135.47850,target,2008-10-21T00:00,136.15450,6759,true,false,true,false
2008-10-22T00:00,long,131.03299,target,2008-10-22T01:00,131.43198,3989,true,false,true,false
2008-10-27T11:00,long,115.05550,target,2008-10-27T13:00,116.48199,14264,true,false,true,false
2008-10-29T00:00,short,125.81700,target,2008-10-29T03:00,124.29450,15224,true,false,true,false
2008-11-19T21:00,long,121.48550,stopped,2008-11-19T22:00,120.52450,-9610,true,false,true,false
2008-11-20T00:00,long,119.67850,target,2008-11-20T02:00,120.14099,4624,true,false,true,false
2008-11-25T00:00,short,125.68750,target,2008-11-25T01:00,125.13100,5565,true,false,true,false
2008-11-26T15:00,long,123.36100,stopped,2008-11-26T17:00,122.58300,-7780,true,false,true,false
2008-12-01T03:00,long,120.74200,stopped,2008-12-01T10:00,120.15700,-5850,true,false,true,false
2008-12-10T09:00,short,120.13900,target,2008-12-10T10:00,119.71401,4249,true,false,true,false
2008-12-30T00:00,long,126.57001,target,2008-12-30T01:00,126.92902,3590,true,false,true,false
2009-01-14T10:00,short,118.60450,target,2009-01-14T15:00,117.46900,11354,true,false,true,false
2009-01-15T17:00,long,117.18150,target,2009-01-15T21:00,118.12901,9475,true,false,true,false
2009-01-28T21:00,short,118.93650,target,2009-01-29T04:00,118.28100,6555,true,false,true,false
2009-02-04T00:00,short,116.35400,target,2009-02-04T02:00,115.96951,3844,true,false,true,false
2009-02-09T01:00,short,119.32900,target,2009-02-09T03:00,118.66799,6610,true,false,true,false
2009-02-10T03:00,long,117.62050,target,2009-02-10T14:00,118.59000,9694,true,false,true,false
2009-02-26T12:00,short,124.84250,stopped,2009-02-26T14:00,125.20250,-3600,true,false,true,false
2009-03-31T11:00,short,130.42551,stopped,2009-03-31T12:00,130.76950,-3439,true,false,true,false
2009-04-24T00:00,short,128.74899,target,2009-04-24T02:00,128.49799,2510,true,false,true,false
2009-05-07T13:00,short,132.23850,stopped,2009-05-07T14:00,132.48500,-2465,true,false,true,false
2009-05-14T01:00,long,129.61050,stopped,2009-05-14T02:00,129.22549,-3850,true,false,true,false
2009-05-18T01:00,long,128.23001,stopped,2009-05-18T03:00,127.71450,-5155,true,false,true,false
2009-05-19T03:00,short,130.19850,stopped,2009-05-19T07:00,130.92850,-7299,true,false,true,false
2009-05-28T00:00,long,131.88300,target,2009-05-28T01:00,132.05948,1764,true,false,true,false
2009-06-29T09:00,long,133.80550,target,2009-06-29T15:00,134.24298,4374,true,false,true,false
2009-07-10T15:00,long,128.62450,target,2009-07-13T03:00,129.43549,8109,true,false,true,false
2009-07-15T03:00,short,130.87650,target,2009-07-15T04:00,130.79050,859,true,false,true,false
2009-08-13T15:00,short,136.88950,target,2009-08-13T20:00,135.92050,9689,true,false,true,false
2009-08-18T12:00,short,134.20801,target,2009-08-18T15:00,133.58652,6214,true,false,true,false
2009-08-20T09:00,short,134.31351,target,2009-08-20T10:00,133.99751,3159,true,false,true,false
2009-09-03T15:00,short,132.15451,stopped,2009-09-04T11:00,132.56650,-4119,true,false,true,false
2009-09-04T11:00,short,132.53050,target,2009-09-04T12:00,132.39551,1349,true,false,true,false
2009-09-11T05:00,long,133.43950,stopped,2009-09-11T07:00,133.31351,-1259,true,false,true,false
2009-09-30T03:00,short,131.55951,target,2009-09-30T08:00,131.08752,4719,true,false,true,false
2009-10-07T06:00,long,130.60950,stopped,2009-10-07T08:00,130.47450,-1349,true,false,true,false
2009-10-14T15:00,short,133.47949,target,2009-10-14T16:00,133.18948,2900,true,false,true,false
2009-10-19T04:00,long,135.04950,target,2009-10-19T10:00,135.33850,2890,true,false,true,false
2009-12-07T19:00,long,132.76250,stopped,2009-12-08T02:00,132.37750,-3849,true,false,true,false
2009-12-24T03:00,short,131.41850,target,2009-12-24T04:00,131.33600,825,true,false,true,false
2009-12-28T15:00,short,131.83099,stopped,2009-12-28T17:00,131.92349,-924,true,false,true,false
2010-01-06T18:00,short,133.28450,target,2010-01-06T23:00,133.07651,2079,true,false,true,false
2010-01-19T07:00,long,130.19949,target,2010-01-19T09:00,130.41199,2124,true,false,true,false
2010-01-22T01:00,long,127.51750,stopped,2010-01-26T07:00,126.53700,-9804,true,false,true,false
2010-02-16T11:00,short,122.77750,target,2010-02-16T14:00,122.56999,2075,true,false,true,false
2010-02-21T23:00,short,124.73500,stopped,2010-02-22T00:00,124.81300,-780,true,false,true,false
2010-03-01T15:00,long,120.76650,stopped,2010-03-01T16:00,120.46750,-2989,true,false,true,false
2010-03-16T03:00,long,123.46851,stopped,2010-03-16T06:00,123.23450,-2340,true,false,true,false
2010-03-19T12:00,long,122.78951,stopped,2010-03-19T13:00,122.63900,-1505,true,false,true,false
2010-04-01T03:00,short,126.36549,target,2010-04-01T04:00,126.10499,2605,true,false,true,false
2010-04-05T00:00,short,127.74350,target,2010-04-05T03:00,127.55451,1889,true,false,true,false
2010-05-05T04:00,long,122.74550,target,2010-05-05T05:00,122.91000,1644,true,false,true,false
2010-05-14T03:00,long,116.12950,target,2010-05-14T04:00,116.38500,2555,true,false,true,false
2010-05-18T22:00,long,112.74750,stopped,2010-05-19T00:00,112.08901,-6584,true,false,true,false
2010-05-21T07:00,short,113.69800,target,2010-05-21T10:00,112.98300,7149,true,false,true,false
2010-06-06T23:00,long,109.46000,target,2010-06-07T00:00,109.58800,1279,true,false,true,false
2010-06-21T00:00,short,112.41750,stopped,2010-06-21T06:00,112.86000,-4425,true,false,true,false
2010-06-23T09:00,long,111.05050,stopped,2010-06-23T14:00,110.71450,-3359,true,false,true,false
2010-07-09T07:00,short,112.45000,target,2010-07-09T08:00,112.33649,1135,true,false,true,false
2010-07-13T19:00,short,112.20700,stopped,2010-07-13T22:00,112.52251,-3155,true,false,true,false
2010-07-15T15:00,short,112.75800,target,2010-07-16T16:00,112.13051,6274,true,false,true,false
2010-07-19T03:00,long,111.61400,target,2010-07-19T04:00,111.70200,879,true,false,true,false
2010-07-29T04:00,long,113.41500,target,2010-07-29T09:00,113.65050,2354,true,false,true,false
2010-08-04T04:00,long,113.18950,stopped,2010-08-04T06:00,112.99950,-1900,true,false,true,false
2010-08-05T03:00,short,113.55600,target,2010-08-05T05:00,113.27350,2825,true,false,true,false
2010-08-27T03:00,long,107.18851,target,2010-08-27T06:00,107.38902,2005,true,false,true,false
2010-09-16T01:00,short,111.54900,target,2010-09-16T02:00,111.47299,760,true,false,true,false
2010-09-22T04:00,short,112.86549,stopped,2010-09-22T05:00,112.94000,-745,true,false,true,false
2010-10-04T12:00,long,113.95351,target,2010-10-04T14:00,114.15451,2010,true,false,true,false
2010-10-07T03:00,short,115.40750,target,2010-10-07T10:00,115.12850,2790,true,false,true,false
2010-10-12T05:00,long,113.89951,stopped,2010-10-12T06:00,113.79900,-1005,true,false,true,false
2010-10-14T17:00,short,114.61400,target,2010-10-14T22:00,114.44099,1730,true,false,true,false
2010-10-21T04:00,short,113.11900,stopped,2010-10-21T11:00,113.57449,-4554,true,false,true,false
2010-10-25T18:00,long,112.74900,target,2010-10-25T21:00,112.94850,1995,true,false,true,false
2010-10-29T03:00,short,112.47450,target,2010-10-29T05:00,111.96901,5054,true,false,true,false
2010-11-19T11:00,short,114.03500,target,2010-11-19T12:00,113.88901,1459,true,false,true,false
2010-12-01T20:00,short,110.52850,target,2010-12-02T02:00,110.29051,2379,true,false,true,false
2010-12-07T21:00,short,110.89000,target,2010-12-07T23:00,110.65950,2305,true,false,true,false
2010-12-28T00:00,short,108.97200,stopped,2010-12-28T01:00,109.09551,-1235,true,false,true,false
2010-12-30T14:00,short,108.15700,stopped,2010-12-30T15:00,108.26500,-1080,true,false,true,false
2011-01-18T17:00,short,110.73800,stopped,2011-01-20T15:00,111.16350,-4254,true,false,true,false
2011-02-01T02:00,short,112.56751,target,2011-02-01T04:00,112.43251,1349,true,false,true,false
2011-02-07T09:00,short,112.00150,target,2011-02-07T11:00,111.81199,1895,true,false,true,false
2011-02-08T14:00,short,112.13550,target,2011-02-08T15:00,112.03700,985,true,false,true,false
2011-02-17T04:00,short,113.59950,target,2011-02-17T06:00,113.52251,769,true,false,true,false
2011-02-21T00:00,short,113.80350,stopped,2011-02-21T01:00,113.93300,-1295,true,false,true,false
2011-02-22T00:00,short,113.71201,target,2011-02-22T02:00,113.14902,5629,true,false,true,false
2011-03-02T02:00,long,112.80000,target,2011-03-02T03:00,112.92151,1215,true,false,true,false
2011-03-09T14:00,short,115.17250,target,2011-03-09T15:00,115.08300,895,true,false,true,false
2011-03-22T12:00,short,115.28149,target,2011-03-22T15:00,115.01649,2650,true,false,true,false
2011-03-29T09:00,short,115.21000,stopped,2011-03-29T10:00,115.34150,-1315,true,false,true,false
2011-03-30T00:00,short,116.37300,target,2011-03-30T01:00,116.32450,485,true,false,true,false
2011-04-20T00:00,short,118.34100,stopped,2011-04-20T02:00,118.44100,-999,true,false,true,false
2011-05-02T03:00,long,120.30901,target,2011-05-02T05:00,120.55901,2500,true,false,true,false
2011-05-22T23:00,long,115.56000,target,2011-05-23T00:00,115.60249,424,true,false,true,false
2011-06-03T01:00,short,117.29500,target,2011-06-03T02:00,117.20599,890,true,false,true,false
2011-06-06T02:00,short,117.56250,target,2011-06-06T03:00,117.52450,380,true,false,true,false
2011-06-22T00:00,short,115.56450,target,2011-06-22T01:00,115.32300,2415,true,false,true,false
2011-07-01T08:00,short,117.14200,target,2011-07-01T09:00,117.06950,725,true,false,true,false
2011-08-11T15:00,long,108.70800,target,2011-08-11T16:00,109.38800,6800,true,false,true,false
2011-08-16T05:00,short,110.86850,target,2011-08-16T09:00,110.68450,1840,true,false,true,false
2011-08-17T10:00,long,110.24200,target,2011-08-17T13:00,110.68601,4440,true,false,true,false
2011-08-21T22:00,short,110.24150,stopped,2011-08-21T23:00,110.37100,-1295,true,false,true,false
2011-08-23T12:00,short,110.89150,target,2011-08-23T15:00,110.68399,2075,true,false,true,false
2011-08-25T03:00,short,110.88001,stopped,2011-08-25T09:00,111.18601,-3060,true,false,true,false
2011-09-21T21:00,short,104.72400,target,2011-09-21T23:00,104.08550,6385,true,false,true,false
2011-09-22T00:00,long,103.86750,target,2011-09-22T01:00,104.07401,2065,true,false,true,false
2011-09-25T22:00,short,103.40601,target,2011-09-26T03:00,102.98351,4224,true,false,true,false
2011-09-29T11:00,short,104.36300,stopped,2011-09-29T13:00,104.69400,-3310,true,false,true,false
2011-10-04T00:00,long,101.08500,target,2011-10-04T05:00,101.40950,3245,true,false,true,false
2011-10-14T15:00,short,106.31000,stopped,2011-10-14T16:00,106.70950,-3995,true,false,true,false
2011-10-19T09:00,short,105.91550,stopped,2011-10-19T11:00,106.22700,-3115,true,false,true,false
2011-10-31T02:00,long,107.15950,target,2011-10-31T03:00,107.31700,1575,true,false,true,false
2011-11-03T14:00,short,107.42500,target,2011-11-03T15:00,106.93451,4904,true,false,true,false
2011-11-04T14:00,short,107.84200,target,2011-11-04T15:00,107.41449,4275,true,false,true,false
2011-11-17T03:00,long,103.65900,target,2011-11-17T07:00,103.91899,2599,true,false,true,false
2011-11-22T10:00,short,104.08350,target,2011-11-23T03:00,103.80799,2755,true,false,true,false
2011-12-14T10:00,long,101.69100,stopped,2011-12-14T13:00,101.43650,-2545,true,false,true,false
2011-12-21T03:00,short,102.11549,target,2011-12-21T05:00,102.03049,850,true,false,true,false
2011-12-27T02:00,long,101.84151,stopped,2011-12-27T15:00,101.69901,-1425,true,false,true,false
2012-01-10T02:00,short,98.08000,stopped,2012-01-10T09:00,98.28450,-2044,true,false,true,false
2012-01-11T03:00,long,98.03700,target,2012-01-11T08:00,98.14351,1065,true,false,true,false
2012-01-25T00:00,short,101.19150,stopped,2012-01-25T02:00,101.30850,-1170,true,false,true,false
2012-01-26T00:00,short,101.78101,stopped,2012-01-26T11:00,101.98650,-2054,true,false,true,false
2012-02-03T13:00,short,100.37351,stopped,2012-02-03T15:00,100.53550,-1619,true,false,true,false
2012-02-07T04:00,short,100.58800,stopped,2012-02-07T05:00,100.67850,-905,true,false,true,false
2012-02-08T03:00,short,101.91600,stopped,2012-02-08T04:00,102.00900,-930,true,false,true,false
2012-02-16T20:00,short,103.32050,stopped,2012-02-16T21:00,103.53400,-2135,true,false,true,false
2012-02-21T05:00,short,105.60100,stopped,2012-02-21T08:00,105.97051,-3695,true,false,true,false
2012-03-01T10:00,long,108.10851,stopped,2012-03-02T14:00,107.69251,-4160,true,false,true,false
2012-03-21T18:00,long,110.52700,stopped,2012-03-21T19:00,110.27651,-2504,true,false,true,false
2012-03-26T03:00,short,109.70950,target,2012-03-26T08:00,109.56500,1445,true,false,true,false
2012-03-27T01:00,short,110.65350,stopped,2012-03-27T02:00,110.73000,-764,true,false,true,false
2012-04-02T18:00,long,109.47350,stopped,2012-04-03T02:00,108.95750,-5159,true,false,true,false
2012-04-12T18:00,short,106.51250,stopped,2012-04-12T20:00,106.71900,-2065,true,false,true,false
2012-04-20T09:00,short,107.26200,stopped,2012-04-20T10:00,107.39751,-1355,true,false,true,false
2012-04-27T06:00,long,107.40200,stopped,2012-04-27T09:00,106.26200,-11399,true,false,true,false
2012-05-23T04:00,long,101.25800,stopped,2012-05-23T05:00,101.04350,-2144,true,false,true,false
2012-05-24T11:00,long,99.70600,target,2012-05-24T15:00,100.04651,3405,true,false,true,false
2012-05-25T11:00,short,100.12400,target,2012-05-25T14:00,99.91451,2094,true,false,true,false
2012-05-29T06:00,long,99.62500,target,2012-05-29T09:00,99.74451,1195,true,false,true,false
2012-06-08T05:00,long,99.55000,stopped,2012-06-08T07:00,99.37900,-1710,true,false,true,false
2012-06-15T03:00,short,100.20400,target,2012-06-15T04:00,100.05150,1525,true,false,true,false
