date,direction,entry,target_or_stop,exit_date,exit,ticks,above_moving_average,below_moving_average,above_top_band,below_bottom_band
2007-12-12T16:00,short,2.04724,target,2007-12-13T17:00,2.03663,106,true,false,true,false
2007-12-19T09:00,long,2.01264,target,2007-12-19T10:00,2.01587,32,true,false,true,false
2007-12-20T09:00,long,1.99435,stopped,2007-12-20T10:00,1.99213,-22,true,false,true,false
2007-12-21T20:00,long,1.98426,stopped,2007-12-24T11:00,1.98105,-32,true,false,true,false
2008-01-15T13:00,short,1.96385,stopped,2008-01-15T14:00,1.96825,-44,true,false,true,false
2008-01-22T15:00,short,1.95230,stopped,2008-01-22T17:00,1.95985,-75,true,false,true,false
2008-02-19T12:00,long,1.94849,target,2008-02-19T13:00,1.95150,30,true,false,true,false
2008-02-20T10:00,long,1.94863,stopped,2008-02-20T11:00,1.94523,-33,true,false,true,false
2008-03-03T17:00,short,1.98248,stopped,2008-03-05T18:00,1.99368,-112,true,false,true,false
2008-03-11T00:00,long,2.01072,stopped,2008-03-11T09:00,2.00500,-57,true,false,true,false
2008-03-14T16:00,short,2.03681,target,2008-03-14T17:00,2.03386,29,true,false,true,false
2008-03-24T19:00,short,1.98549,stopped,2008-03-24T23:00,1.98772,-22,true,false,true,false
2008-04-24T09:00,long,1.97804,target,2008-04-24T10:00,1.98126,32,true,false,true,false
2008-05-02T17:00,long,1.97487,stopped,2008-05-05T13:00,1.97054,-43,true,false,true,false
2008-05-13T17:00,long,1.94654,stopped,2008-05-13T18:00,1.94264,-38,true,false,true,false
2008-05-28T15:00,long,1.97347,target,2008-05-28T16:00,1.97645,29,true,false,true,false
2008-06-13T10:00,long,1.94353,target,2008-06-13T11:00,1.94407,5,true,false,true,false
2008-06-17T11:00,short,1.96062,target,2008-06-17T13:00,1.95145,91,true,false,true,false
2008-06-23T09:00,long,1.97187,stopped,2008-06-23T10:00,1.96967,-22,true,false,true,false
2008-06-30T10:00,short,1.99435,target,2008-06-30T13:00,1.99206,22,true,false,true,false
2008-07-04T12:00,long,1.98253,stopped,2008-07-07T04:00,1.97948,-30,true,false,true,false
2008-07-14T20:00,short,1.99420,stopped,2008-07-15T03:00,1.99636,-21,true,false,true,false
2008-07-17T21:00,long,1.99898,target,2008-07-17T23:00,2.00299,40,true,false,true,false
2008-07-22T10:00,short,2.00284,stopped,2008-07-22T12:00,2.00438,-15,true,false,true,false
2008-07-30T16:00,long,1.97722,target,2008-07-30T18:00,1.97981,25,true,false,true,false
2008-08-06T14:00,long,1.95456,stopped,2008-08-06T15:00,1.95211,-24,true,false,true,false
2008-08-20T00:00,short,1.86667,stopped,2008-08-20T02:00,1.86826,-15,true,false,true,false
2008-08-22T00:00,short,1.87763,target,2008-08-22T01:00,1.87585,17,true,false,true,false
2008-09-08T19:00,long,1.75438,stopped,2008-09-08T20:00,1.75303,-13,true,false,true,false
2008-09-18T09:00,short,1.81942,target,2008-09-18T10:00,1.81304,63,true,false,true,false
2008-09-25T00:00,long,1.84678,target,2008-09-25T01:00,1.84771,9,true,false,true,false
2008-10-06T10:00,long,1.75799,stopped,2008-10-06T11:00,1.75523,-27,true,false,true,false
2008-10-08T10:00,short,1.74979,target,2008-10-08T17:00,1.73388,159,true,false,true,false
2008-11-06T14:00,long,1.58825,stopped,2008-11-06T22:00,1.57195,-162,true,false,true,false
2008-11-12T01:00,long,1.53831,target,2008-11-12T02:00,1.54186,35,true,false,true,false
2008-11-21T15:00,short,1.49702,target,2008-11-21T17:00,1.48788,91,true,false,true,false
2008-12-23T18:00,long,1.47603,stopped,2008-12-24T12:00,1.46729,-87,true,false,true,false
2009-01-15T17:00,long,1.45644,target,2009-01-15T21:00,1.46528,88,true,false,true,false
2009-01-16T02:00,short,1.46686,stopped,2009-01-16T03:00,1.46928,-24,true,false,true,false
2009-01-26T15:00,short,1.38806,stopped,2009-01-26T16:00,1.39065,-25,true,false,true,false
2009-01-29T06:00,long,1.41564,stopped,2009-01-29T07:00,1.41208,-35,true,false,true,false
2009-03-05T00:00,short,1.41885,target,2009-03-05T01:00,1.41753,13,true,false,true,false
2009-03-12T03:00,short,1.38561,stopped,2009-03-12T05:00,1.39112,-55,true,false,true,false
2009-03-25T14:00,long,1.45930,target,2009-03-25T15:00,1.46407,47,true,false,true,false
2009-04-03T03:00,short,1.47345,target,2009-04-03T04:00,1.46958,38,true,false,true,false
2009-04-09T12:00,long,1.46713,stopped,2009-04-09T14:00,1.46275,-43,true,false,true,false
2009-04-13T03:00,long,1.46220,target,2009-04-13T04:00,1.46388,16,true,false,true,false
2009-04-15T10:00,long,1.48708,target,2009-04-15T11:00,1.49186,47,true,false,true,false
2009-05-07T02:00,short,1.51329,target,2009-05-07T04:00,1.51075,25,true,false,true,false
2009-05-26T09:00,short,1.58530,stopped,2009-05-26T17:00,1.59464,-93,true,false,true,false
2009-05-27T04:00,short,1.59617,stopped,2009-05-27T06:00,1.59796,-17,true,false,true,false
2009-06-01T00:00,short,1.61869,target,2009-06-01T01:00,1.61744,12,true,false,true,false
2009-06-18T12:00,long,1.62774,target,2009-06-18T18:00,1.63672,89,true,false,true,false
2009-06-30T02:00,short,1.65722,stopped,2009-06-30T03:00,1.66020,-29,true,false,true,false
2009-07-27T03:00,long,1.64167,target,2009-07-27T06:00,1.64509,34,true,false,true,false
2009-08-07T05:00,long,1.67679,target,2009-08-07T08:00,1.67913,23,true,false,true,false
2009-08-20T11:00,short,1.65457,target,2009-08-20T13:00,1.64798,65,true,false,true,false
2009-08-21T17:00,short,1.65074,target,2009-08-25T05:00,1.63896,117,true,false,true,false
2009-08-27T17:00,long,1.61722,target,2009-08-27T18:00,1.61910,18,true,false,true,false
2009-08-28T09:00,short,1.62823,stopped,2009-08-28T11:00,1.63148,-32,true,false,true,false
2009-10-04T23:00,short,1.59450,target,2009-10-05T00:00,1.59316,13,true,false,true,false
2009-10-07T17:00,long,1.59137,target,2009-10-07T20:00,1.59687,55,true,false,true,false
2009-10-14T00:00,short,1.59183,stopped,2009-10-14T05:00,1.59396,-21,true,false,true,false
2009-10-22T05:00,short,1.66016,target,2009-10-22T10:00,1.65655,36,true,false,true,false
2009-11-10T08:00,long,1.66800,target,2009-11-11T09:00,1.67589,78,true,false,true,false
2009-11-11T12:00,short,1.66282,stopped,2009-11-16T19:00,1.67984,-170,true,false,true,false
