date,direction,entry,target_or_stop,exit_date,exit,ticks,above_moving_average,below_moving_average,above_top_band,below_bottom_band
2007-12-10T14:00,short,111.75400,target,2007-12-10T16:00,111.62300,1309,false,true,false,false
2007-12-27T00:00,short,114.25550,stopped,2007-12-27T02:00,114.35851,-1030,true,false,false,false
2008-01-09T00:00,long,108.94000,target,2008-01-09T02:00,109.07001,1300,false,true,false,false
2008-01-22T20:00,short,106.63001,stopped,2008-01-23T01:00,107.03999,-4099,false,true,false,false
2008-01-25T00:00,short,107.12000,target,2008-01-25T02:00,107.00999,1100,false,true,false,false
2008-01-31T00:00,long,106.27000,stopped,2008-01-31T01:00,106.13001,-1399,false,true,false,false
2008-02-27T00:00,long,107.30949,stopped,2008-02-27T04:00,107.15350,-1559,false,true,false,false
2008-03-14T16:00,long,100.14750,stopped,2008-03-14T20:00,99.56850,-5790,false,true,false,true
2008-04-04T15:00,long,102.46600,stopped,2008-04-04T17:00,101.58950,-8765,false,true,false,false
2008-04-28T05:00,short,104.66050,target,2008-04-28T07:00,104.49550,1650,false,true,false,false
2008-04-29T00:00,long,104.20350,stopped,2008-04-29T03:00,104.05650,-1469,false,true,false,false
2008-06-03T17:00,short,105.24900,target,2008-06-03T20:00,104.91950,3294,true,false,false,false
2008-06-06T18:00,long,105.34150,stopped,2008-06-06T21:00,105.13250,-2089,true,false,false,false
2008-06-09T17:00,short,106.06450,stopped,2008-06-09T23:00,106.33901,-2745,true,false,false,false
2008-06-10T00:00,short,106.29450,stopped,2008-06-10T02:00,106.37450,-800,true,false,false,false
2008-06-11T02:00,short,107.33000,stopped,2008-06-11T07:00,107.46750,-1374,true,false,false,false
2008-06-18T13:00,short,108.24451,target,2008-06-18T16:00,108.05652,1879,true,false,false,false
2008-06-23T00:00,long,107.21050,target,2008-06-23T01:00,107.30149,909,true,false,false,false
2008-06-25T21:00,short,107.91350,target,2008-06-26T17:00,107.40849,5050,true,false,false,false
2008-07-03T03:00,long,105.98900,target,2008-07-03T11:00,106.19849,2094,true,false,false,false
2008-07-28T01:00,short,107.84250,stopped,2008-07-28T03:00,107.95250,-1100,true,false,false,false
2008-07-29T04:00,long,107.39350,stopped,2008-07-29T05:00,107.33400,-595,true,false,false,false
2008-07-31T15:00,short,107.72650,stopped,2008-08-05T21:00,108.37700,-6504,true,false,false,false
2008-08-06T09:00,short,108.33600,stopped,2008-08-06T12:00,108.55000,-2140,true,false,false,false
2008-08-13T00:00,long,109.30100,stopped,2008-08-13T01:00,109.22300,-779,true,false,false,false
2008-08-21T03:00,long,109.72300,stopped,2008-08-21T07:00,109.56350,-1595,true,false,false,false
2008-09-10T00:00,long,106.82100,target,2008-09-10T01:00,106.97600,1549,true,false,false,false
2008-10-06T03:00,long,104.61950,stopped,2008-10-06T06:00,104.25050,-3689,false,true,false,true
2008-10-08T06:00,long,101.29950,stopped,2008-10-08T07:00,101.08000,-2194,false,true,false,true
2008-10-17T04:00,short,101.63100,target,2008-10-17T08:00,101.43800,1930,false,true,false,true
2008-10-22T00:00,long,100.36950,stopped,2008-10-22T03:00,100.06101,-3084,false,true,false,true
2008-10-24T06:00,long,96.15950,stopped,2008-10-24T08:00,95.32950,-8300,false,true,false,true
2008-10-29T00:00,short,98.17550,target,2008-10-29T06:00,96.63899,15365,false,true,false,true
2008-11-06T00:00,long,97.98400,target,2008-11-06T01:00,98.21100,2269,false,true,false,false
2008-11-07T21:00,short,98.07401,stopped,2008-11-09T23:00,98.68350,-6094,false,true,false,false
2008-11-20T00:00,long,95.76800,target,2008-11-20T01:00,95.96750,1995,false,true,false,false
2008-11-25T00:00,short,97.08450,target,2008-11-25T02:00,96.73601,3484,false,true,false,false
2008-11-26T17:00,long,95.05750,target,2008-11-26T18:00,95.50299,4454,false,true,false,false
2008-11-28T17:00,short,95.28900,target,2008-12-01T10:00,94.83450,4544,false,true,false,false
2008-12-03T17:00,long,93.31950,stopped,2008-12-04T13:00,92.53800,-7815,false,true,false,false
2008-12-30T01:00,short,90.66150,target,2008-12-30T02:00,90.56450,970,false,true,false,false
2009-01-14T10:00,short,89.66650,target,2009-01-14T11:00,89.36751,2989,false,true,false,false
2009-01-15T21:00,short,89.67350,stopped,2009-01-16T01:00,90.02651,-3530,false,true,false,false
2009-01-23T12:00,long,88.24851,target,2009-01-23T14:00,88.50900,2604,false,true,false,false
2009-02-03T17:00,long,89.12300,target,2009-02-04T07:00,89.65250,5294,false,true,false,false
2009-02-09T01:00,short,92.07900,target,2009-02-09T03:00,91.73049,3485,false,true,false,false
2009-02-18T14:00,short,92.68401,stopped,2009-02-18T15:00,92.84150,-1574,false,true,false,false
2009-02-27T15:00,long,97.41850,target,2009-02-27T17:00,97.97751,5590,true,false,false,false
2009-04-27T02:00,long,96.74451,target,2009-04-27T03:00,96.85402,1095,true,false,false,false
2009-05-14T01:00,long,95.35100,target,2009-05-14T04:00,95.56850,2174,true,false,false,false
2009-05-19T03:00,short,96.19400,stopped,2009-05-19T09:00,96.61700,-4230,true,false,false,false
2009-06-30T03:00,short,95.97150,target,2009-06-30T09:00,95.62699,3445,false,true,false,false
2009-07-08T01:00,long,94.77050,stopped,2009-07-08T02:00,94.70551,-649,false,true,false,false
2009-07-29T10:00,long,94.41350,target,2009-07-29T12:00,94.80800,3945,false,true,false,false
2009-09-10T16:00,long,91.87750,stopped,2009-09-11T05:00,91.42850,-4490,false,true,false,true
2009-09-24T10:00,long,90.62400,stopped,2009-09-24T11:00,90.41750,-2065,false,true,false,true
2009-09-30T03:00,short,90.11650,target,2009-09-30T04:00,89.82450,2920,false,true,false,true
2009-10-04T21:00,short,89.79250,target,2009-10-04T23:00,89.64899,1435,false,true,false,true
2009-10-21T15:00,short,91.02050,stopped,2009-10-21T16:00,91.17400,-1534,false,true,false,false
2009-10-27T02:00,short,92.09551,target,2009-10-27T10:00,91.86701,2285,false,true,false,false
2009-11-05T11:00,long,90.19550,target,2009-11-05T14:00,90.40299,2074,false,true,false,false
2009-11-24T10:00,long,88.65900,target,2009-11-24T12:00,88.75849,994,false,true,false,false
2009-11-26T01:00,long,87.34400,target,2009-11-26T03:00,87.47200,1279,false,true,false,false
2009-12-17T03:00,short,89.93200,stopped,2009-12-17T04:00,89.99800,-660,false,true,false,false
2009-12-23T00:00,short,91.82500,target,2009-12-23T01:00,91.78049,445,true,false,false,false
2009-12-29T04:00,short,91.70300,target,2009-12-29T10:00,91.62351,794,true,false,false,false
2010-01-04T09:00,short,93.04000,target,2010-01-04T10:00,92.86600,1740,true,false,false,false
2010-01-19T01:00,long,90.70850,stopped,2010-01-19T02:00,90.57250,-1360,true,false,false,false
