date,direction,entry,target_or_stop,exit_date,exit,ticks
2007-12-04T10:00,short,1.65307,target,2007-12-04T12:00,1.64873,43
2007-12-06T17:00,short,1.64972,stopped,2007-12-06T19:00,1.65177,-20
2007-12-07T13:00,short,1.65374,stopped,2007-12-07T14:00,1.65467,-9
2007-12-20T21:00,long,1.65868,target,2007-12-20T23:00,1.65973,11
2008-01-14T12:00,long,1.62595,stopped,2008-01-15T03:00,1.62310,-29
2008-01-21T04:00,long,1.60575,target,2008-01-21T05:00,1.60625,5
2008-02-01T16:00,long,1.60485,target,2008-02-01T20:00,1.60885,40
2008-02-02T00:00,short,1.61215,target,2008-02-04T02:00,1.61105,11
2008-02-15T01:00,long,1.60677,target,2008-02-15T11:00,1.60881,20
2008-02-27T09:00,long,1.61046,stopped,2008-02-27T13:00,1.60761,-28
2008-02-28T08:00,long,1.60598,target,2008-02-28T09:00,1.60642,4
2008-03-05T19:00,short,1.58159,stopped,2008-03-06T05:00,1.58541,-38
2008-03-14T16:00,long,1.57155,stopped,2008-03-14T20:00,1.56666,-49
2008-03-19T00:00,short,1.56667,target,2008-03-19T02:00,1.56395,27
2008-03-20T19:00,long,1.55913,stopped,2008-03-20T23:00,1.55531,-38
2008-03-27T06:00,long,1.56638,target,2008-03-27T08:00,1.56739,10
2008-03-31T18:00,long,1.56815,stopped,2008-03-31T19:00,1.56655,-16
2008-03-31T19:00,long,1.56853,target,2008-04-01T08:00,1.57051,20
2008-04-02T00:00,short,1.58050,target,2008-04-02T02:00,1.57948,10
2008-04-10T04:00,long,1.58321,stopped,2008-04-10T06:00,1.58140,-18
2008-04-22T09:00,long,1.60415,target,2008-04-22T10:00,1.60642,23
2008-04-28T11:00,long,1.61605,target,2008-04-28T14:00,1.61835,23
2008-04-29T13:00,long,1.61635,stopped,2008-04-29T17:00,1.61361,-27
2008-05-28T13:00,short,1.62276,stopped,2008-05-28T14:00,1.62361,-8
2008-06-13T14:00,short,1.61168,stopped,2008-06-16T09:00,1.61469,-30
2008-06-16T10:00,short,1.61355,target,2008-06-16T11:00,1.61218,14
2008-06-25T22:00,short,1.62266,stopped,2008-06-26T09:00,1.62460,-19
2008-07-10T14:00,short,1.62212,target,2008-07-10T15:00,1.62064,15
2008-07-15T00:00,long,1.61700,stopped,2008-07-15T01:00,1.61621,-8
2008-07-25T07:00,long,1.62347,target,2008-07-25T09:00,1.62457,11
2008-07-25T17:00,short,1.62917,target,2008-07-25T21:00,1.62731,19
2008-08-04T15:00,short,1.63360,target,2008-08-04T16:00,1.63246,11
2008-08-05T11:00,long,1.63142,stopped,2008-08-05T12:00,1.63055,-9
2008-08-06T00:00,long,1.62980,stopped,2008-08-06T01:00,1.62926,-5
2008-08-06T01:00,long,1.62975,target,2008-08-06T03:00,1.63026,5
2008-08-21T00:00,short,1.61993,target,2008-08-21T09:00,1.61844,15
