date,direction,entry,target_or_stop,exit_date,exit,ticks
2007-12-04T10:00,long,1.65307,stopped,2007-12-04T12:00,1.64883,-85
2007-12-06T17:00,long,1.64972,target,2007-12-06T19:00,1.65187,43
2007-12-07T13:00,long,1.65374,target,2007-12-07T14:00,1.65477,21
2007-12-20T21:00,short,1.65868,stopped,2007-12-20T23:00,1.65983,-23
2008-01-14T12:00,short,1.62595,target,2008-01-15T03:00,1.62300,59
2008-01-21T04:00,short,1.60575,stopped,2008-01-21T05:00,1.60635,-12
2008-02-01T16:00,short,1.60485,stopped,2008-02-01T20:00,1.60895,-82
2008-02-02T00:00,long,1.61215,stopped,2008-02-04T01:00,1.61115,-20
2008-02-15T01:00,short,1.60677,stopped,2008-02-15T11:00,1.60891,-43
2008-02-27T09:00,short,1.61046,target,2008-02-27T13:00,1.60751,59
2008-02-28T08:00,short,1.60598,stopped,2008-02-28T09:00,1.60652,-11
2008-03-05T19:00,long,1.58159,target,2008-03-06T05:00,1.58551,78
2008-03-14T16:00,short,1.57155,target,2008-03-14T20:00,1.56656,100
2008-03-19T00:00,long,1.56667,stopped,2008-03-19T02:00,1.56405,-52
2008-03-20T19:00,short,1.55913,target,2008-03-20T23:00,1.55521,78
2008-03-27T06:00,short,1.56638,stopped,2008-03-27T08:00,1.56749,-22
2008-03-31T18:00,short,1.56815,stopped,2008-04-01T08:00,1.56984,-34
2008-04-02T00:00,long,1.58050,stopped,2008-04-02T02:00,1.57958,-18
2008-04-10T04:00,short,1.58321,target,2008-04-10T06:00,1.58130,38
2008-04-22T09:00,short,1.60415,stopped,2008-04-22T10:00,1.60652,-47
2008-04-28T11:00,short,1.61605,stopped,2008-04-28T15:00,1.61845,-48
2008-04-29T13:00,short,1.61635,target,2008-04-29T17:00,1.61351,57
2008-05-28T13:00,long,1.62276,target,2008-05-28T14:00,1.62371,19
2008-06-13T14:00,long,1.61168,target,2008-06-16T09:00,1.61479,62
2008-06-16T10:00,long,1.61355,stopped,2008-06-16T11:00,1.61228,-25
2008-06-25T22:00,long,1.62266,target,2008-06-26T09:00,1.62470,41
2008-07-10T14:00,long,1.62212,stopped,2008-07-10T15:00,1.62074,-28
