date,direction,entry,target_or_stop,exit_date,exit,ticks
2007-12-17T00:00,long,0.71450,target,2007-12-17T01:00,0.71526,8
2008-01-04T09:00,short,0.74690,target,2008-01-04T11:00,0.74516,17
2008-01-22T17:00,short,0.74555,stopped,2008-01-23T00:00,0.74765,-21
2008-01-24T00:00,short,0.74805,target,2008-01-24T02:00,0.74735,7
2008-01-31T00:00,short,0.74735,stopped,2008-01-31T05:00,0.74845,-11
2008-02-21T00:00,short,0.75758,stopped,2008-02-21T06:00,0.75796,-4
2008-02-29T00:00,short,0.76378,target,2008-02-29T02:00,0.76317,6
2008-03-06T12:00,short,0.76841,target,2008-03-06T14:00,0.76760,8
2008-03-06T15:00,long,0.76632,stopped,2008-03-07T15:00,0.76374,-26
2008-03-11T00:00,short,0.76428,stopped,2008-03-11T04:00,0.76542,-11
2008-03-12T16:00,short,0.76616,stopped,2008-03-13T20:00,0.76798,-18
2008-03-14T16:00,short,0.76772,stopped,2008-03-14T18:00,0.76961,-19
2008-03-18T21:00,long,0.77863,target,2008-03-18T22:00,0.77957,9
2008-03-20T16:00,long,0.77860,stopped,2008-03-20T22:00,0.77696,-16
2008-03-20T22:00,long,0.77723,stopped,2008-03-20T23:00,0.77651,-7
2008-03-20T23:00,long,0.77750,target,2008-03-21T08:00,0.77902,15
2008-03-24T04:00,long,0.77690,stopped,2008-03-24T07:00,0.77627,-6
2008-04-03T11:00,short,0.78667,target,2008-04-03T14:00,0.78242,43
2008-04-10T14:00,short,0.80190,target,2008-04-10T15:00,0.80082,11
2008-04-25T09:00,long,0.79422,target,2008-04-25T10:00,0.79494,7
2008-04-30T03:00,short,0.79100,stopped,2008-04-30T08:00,0.79237,-14
2008-05-19T01:00,short,0.79632,target,2008-05-20T17:00,0.79451,18
2008-05-26T11:00,short,0.79617,stopped,2008-05-27T03:00,0.79728,-11
2008-05-27T09:00,short,0.79638,stopped,2008-05-27T11:00,0.79824,-19
2008-05-28T01:00,long,0.79418,stopped,2008-05-28T04:00,0.79342,-8
2008-05-28T04:00,long,0.79469,stopped,2008-05-28T12:00,0.79318,-15
2008-06-12T08:00,long,0.79067,stopped,2008-06-12T09:00,0.79004,-6
2008-06-25T14:00,long,0.79044,target,2008-06-25T16:00,0.79170,13
2008-07-02T08:00,short,0.79253,stopped,2008-07-02T10:00,0.79375,-12
2008-07-03T22:00,long,0.79170,stopped,2008-07-04T02:00,0.79128,-4
2008-07-14T09:00,short,0.80000,target,2008-07-14T11:00,0.79822,18
2008-07-16T01:00,long,0.79359,target,2008-07-16T09:00,0.79472,11
2008-07-25T08:00,short,0.79065,stopped,2008-07-25T09:00,0.79140,-7
2008-08-12T12:00,short,0.78311,stopped,2008-08-12T21:00,0.78525,-21
2008-08-18T00:00,long,0.78755,target,2008-08-18T03:00,0.78799,4
2008-08-21T11:00,short,0.79119,stopped,2008-08-21T14:00,0.79388,-27
2008-08-25T00:00,short,0.79861,target,2008-08-25T01:00,0.79815,5
2008-08-27T04:00,short,0.79706,stopped,2008-08-27T06:00,0.79798,-9
2008-09-16T21:00,long,0.79232,target,2008-09-17T03:00,0.79384,15
2008-09-19T08:00,long,0.78787,target,2008-09-19T09:00,0.78976,19
2008-09-24T03:00,long,0.79113,target,2008-09-24T04:00,0.79162,5
2008-09-29T00:00,long,0.79440,stopped,2008-09-29T08:00,0.79189,-25
2008-10-02T04:00,long,0.78965,stopped,2008-10-02T05:00,0.78915,-5
2008-10-29T00:00,long,0.79991,stopped,2008-10-29T02:00,0.79582,-41
2008-11-03T01:00,short,0.79266,target,2008-11-03T03:00,0.79174,9
2008-11-10T16:00,short,0.81840,target,2008-11-10T18:00,0.81588,25
2008-11-19T03:00,short,0.84451,target,2008-11-19T08:00,0.84268,18
2008-11-20T02:00,long,0.83515,target,2008-11-20T04:00,0.83671,16
2008-12-04T07:00,short,0.85921,stopped,2008-12-04T09:00,0.86164,-24
2008-12-08T17:00,short,0.86990,stopped,2008-12-08T18:00,0.87222,-23
2008-12-10T00:00,short,0.87590,target,2008-12-10T09:00,0.87476,11
2008-12-24T11:00,short,0.94727,stopped,2008-12-24T12:00,0.95073,-35
2009-01-07T15:00,long,0.91019,stopped,2009-01-07T17:00,0.90187,-83
2009-01-14T12:00,short,0.90986,target,2009-01-14T15:00,0.90689,30
2009-01-14T17:00,long,0.90489,stopped,2009-01-15T09:00,0.89790,-70
2009-01-16T00:00,long,0.89630,stopped,2009-01-16T03:00,0.89494,-14
2009-01-27T10:00,long,0.93600,target,2009-01-27T15:00,0.93947,35
2009-01-30T01:00,long,0.90608,target,2009-01-30T02:00,0.90751,14
2009-01-30T09:00,long,0.90575,stopped,2009-01-30T11:00,0.90348,-23
2009-02-20T10:00,short,0.88600,target,2009-02-20T13:00,0.88239,36
2009-03-17T10:00,short,0.92401,stopped,2009-03-17T14:00,0.92658,-26
2009-03-23T11:00,long,0.93791,stopped,2009-03-23T12:00,0.93532,-26
2009-03-24T08:00,long,0.92987,stopped,2009-03-24T09:00,0.92798,-19
2009-03-25T20:00,short,0.93373,target,2009-03-26T04:00,0.92996,38
2009-03-27T16:00,long,0.92908,target,2009-03-30T09:00,0.93305,40
2009-03-31T03:00,long,0.92498,target,2009-03-31T05:00,0.92596,10
2009-04-07T09:00,short,0.90921,target,2009-04-07T10:00,0.90689,23
2009-04-23T04:00,short,0.89808,target,2009-04-23T07:00,0.89720,9
2009-04-23T14:00,short,0.89739,target,2009-04-23T15:00,0.89491,25
2009-04-29T16:00,short,0.89773,stopped,2009-04-29T18:00,0.90072,-30
2009-04-30T11:00,long,0.89590,target,2009-04-30T12:00,0.89721,13
2009-05-04T02:00,long,0.88979,target,2009-05-04T03:00,0.89092,11
2009-05-11T07:00,short,0.89685,target,2009-05-11T08:00,0.89598,9
2009-05-18T01:00,long,0.88877,stopped,2009-05-18T02:00,0.88734,-14
2009-06-01T08:00,long,0.87200,target,2009-06-01T09:00,0.87328,13
2009-06-11T01:00,long,0.85485,target,2009-06-11T03:00,0.85547,6
2009-06-12T09:00,long,0.85158,target,2009-06-12T12:00,0.85338,18
2009-06-17T00:00,long,0.84385,target,2009-06-17T03:00,0.84556,17
2009-06-25T12:00,short,0.85470,stopped,2009-06-25T13:00,0.85710,-24
2009-06-30T17:00,short,0.85168,stopped,2009-06-30T19:00,0.85348,-18
2009-07-02T09:00,short,0.85847,stopped,2009-07-02T10:00,0.86060,-21
2009-07-07T14:00,short,0.86387,stopped,2009-07-07T16:00,0.86523,-14
2009-08-06T13:00,long,0.84743,target,2009-08-06T14:00,0.84930,19
2009-08-10T20:00,short,0.85834,target,2009-08-11T03:00,0.85672,16
2009-09-10T09:00,short,0.88030,stopped,2009-09-10T10:00,0.88128,-10
2009-09-11T12:00,long,0.87326,target,2009-09-11T13:00,0.87417,9
2009-09-17T05:00,short,0.89313,target,2009-09-17T06:00,0.89279,3
2009-09-23T09:00,long,0.90406,target,2009-09-23T11:00,0.90540,13
2009-09-27T22:00,short,0.92038,stopped,2009-09-28T01:00,0.92256,-22
2009-10-02T15:00,short,0.91628,stopped,2009-10-02T16:00,0.91784,-16
2009-10-07T09:00,short,0.92609,target,2009-10-07T10:00,0.92454,16
2009-11-08T20:00,long,0.89400,stopped,2009-11-08T22:00,0.89303,-10
2009-11-19T17:00,short,0.89403,stopped,2009-11-19T19:00,0.89549,-15
2009-11-26T07:00,short,0.90599,target,2009-11-26T08:00,0.90483,12
2009-12-03T15:00,short,0.90954,target,2009-12-03T16:00,0.90821,13
2009-12-09T15:00,long,0.90516,stopped,2009-12-11T17:00,0.90031,-48
2009-12-23T11:00,short,0.89365,target,2009-12-23T12:00,0.89202,16
2010-01-04T03:00,long,0.88688,target,2010-01-04T05:00,0.88807,12
2010-01-04T18:00,short,0.89513,stopped,2010-01-05T03:00,0.89665,-15
2010-01-06T10:00,long,0.89467,target,2010-01-06T11:00,0.89679,21
2010-01-08T00:00,long,0.89816,target,2010-01-08T01:00,0.89843,3
2010-01-12T10:00,short,0.89953,target,2010-01-12T14:00,0.89623,33
2010-01-27T14:00,long,0.86770,stopped,2010-01-27T15:00,0.86670,-10
2010-02-10T12:00,long,0.87937,target,2010-02-11T11:00,0.88415,48
2010-03-31T12:00,long,0.88871,target,2010-03-31T15:00,0.89015,14
2010-04-01T08:00,long,0.88819,stopped,2010-04-01T09:00,0.88725,-9
2010-04-08T00:00,long,0.87555,target,2010-04-08T02:00,0.87590,4
2010-04-13T04:00,short,0.88463,stopped,2010-04-13T05:00,0.88485,-2
2010-04-14T10:00,short,0.88412,target,2010-04-14T14:00,0.88179,23
2010-04-26T12:00,long,0.86166,target,2010-04-26T13:00,0.86271,11
2010-04-26T17:00,long,0.86156,target,2010-04-26T18:00,0.86275,12
2010-04-27T12:00,short,0.86832,target,2010-04-27T14:00,0.86686,15
2010-04-28T00:00,long,0.86315,target,2010-04-28T01:00,0.86363,5
2010-04-30T01:00,long,0.86385,stopped,2010-04-30T09:00,0.86297,-9
2010-04-30T09:00,long,0.86367,target,2010-04-30T10:00,0.86492,13
2010-05-04T12:00,long,0.86479,stopped,2010-05-04T14:00,0.86331,-15
2010-05-06T00:00,long,0.84857,target,2010-05-06T08:00,0.84970,11
2010-05-25T05:00,long,0.85671,target,2010-05-25T06:00,0.85719,5
2010-05-25T08:00,long,0.85759,stopped,2010-05-25T09:00,0.85605,-15
2010-05-27T01:00,long,0.84626,target,2010-05-27T03:00,0.84721,10
2010-06-15T03:00,long,0.82883,stopped,2010-06-15T04:00,0.82816,-7
2010-06-16T10:00,short,0.83159,target,2010-06-16T12:00,0.82937,22
2010-06-17T00:00,short,0.83546,stopped,2010-06-17T02:00,0.83632,-9
2010-06-23T00:00,long,0.82862,stopped,2010-06-23T03:00,0.82763,-10
2010-07-09T03:00,short,0.83763,target,2010-07-09T04:00,0.83714,5
2010-07-15T18:00,short,0.83856,target,2010-07-15T21:00,0.83675,18
2010-07-28T00:00,long,0.83362,stopped,2010-07-28T04:00,0.83327,-4
2010-07-28T11:00,long,0.83578,stopped,2010-07-28T15:00,0.83297,-28
2010-08-05T09:00,long,0.82883,target,2010-08-05T10:00,0.83020,14
2010-08-09T12:00,short,0.83161,target,2010-08-09T17:00,0.82944,22
2010-08-10T10:00,short,0.83334,stopped,2010-08-10T11:00,0.83397,-6
2010-08-12T12:00,long,0.82181,stopped,2010-08-12T15:00,0.82061,-12
2010-08-12T15:00,long,0.82205,target,2010-08-12T17:00,0.82375,17
2010-08-13T14:00,long,0.82117,target,2010-08-13T16:00,0.82203,9
2010-09-03T20:00,short,0.83406,stopped,2010-09-05T22:00,0.83502,-10
2010-10-15T03:00,long,0.87743,stopped,2010-10-15T05:00,0.87637,-11
2010-11-16T15:00,short,0.84983,stopped,2010-11-16T17:00,0.85191,-21
2010-11-26T11:00,long,0.84525,stopped,2010-11-26T13:00,0.84310,-21
2010-11-29T17:00,long,0.84278,target,2010-11-30T03:00,0.84475,20
2010-12-01T00:00,long,0.83438,target,2010-12-01T01:00,0.83481,4
2010-12-09T17:00,long,0.83778,target,2010-12-09T19:00,0.83942,16
2010-12-22T12:00,short,0.84929,stopped,2010-12-23T10:00,0.85237,-31
2010-12-30T11:00,short,0.85402,stopped,2010-12-30T12:00,0.85567,-17
2011-01-12T12:00,short,0.83222,target,2011-01-12T19:00,0.83059,16
2011-01-21T05:00,short,0.84769,stopped,2011-01-21T06:00,0.84829,-6
2011-02-08T09:00,short,0.84367,stopped,2011-02-08T10:00,0.84478,-11
2011-02-10T00:00,short,0.85247,target,2011-02-10T03:00,0.85192,5
2011-02-10T15:00,long,0.84845,stopped,2011-02-10T17:00,0.84677,-17
2011-02-16T19:00,short,0.84333,target,2011-02-17T10:00,0.84164,17
2011-02-25T03:00,short,0.85616,stopped,2011-02-25T11:00,0.85774,-16
2011-03-01T03:00,long,0.84862,target,2011-03-01T07:00,0.84920,6
2011-03-07T02:00,short,0.85995,target,2011-03-07T10:00,0.85905,9
2011-03-08T09:00,short,0.86206,target,2011-03-08T10:00,0.86049,16
2011-03-10T20:00,short,0.85956,stopped,2011-03-11T04:00,0.86079,-12
2011-03-15T06:00,long,0.86409,target,2011-03-15T09:00,0.86558,15
2011-04-18T04:00,long,0.88222,target,2011-04-18T09:00,0.88336,11
2011-05-09T18:00,long,0.87529,stopped,2011-05-10T03:00,0.87413,-12
2011-05-11T09:00,short,0.87934,target,2011-05-11T11:00,0.87758,18
