date,direction,entry,target_or_stop,exit_date,exit,ticks
2007-12-17T00:00,long,0.71450,target,2007-12-17T01:00,0.71536,17
2007-12-20T12:00,short,0.72019,stopped,2007-12-20T15:00,0.72133,-23
2008-01-04T09:00,short,0.74690,target,2008-01-04T11:00,0.74526,33
2008-01-08T17:00,long,0.74560,target,2008-01-09T09:00,0.74679,24
2008-01-15T09:00,short,0.75955,target,2008-01-15T11:00,0.75795,32
2008-01-22T14:00,long,0.74285,target,2008-01-22T15:00,0.74435,30
2008-01-22T17:00,short,0.74555,stopped,2008-01-23T00:00,0.74775,-44
2008-01-23T15:00,short,0.74585,stopped,2008-01-23T23:00,0.74805,-44
2008-01-24T00:00,short,0.74805,target,2008-01-24T02:00,0.74745,12
2008-01-24T09:00,short,0.74745,stopped,2008-01-24T13:00,0.74905,-32
2008-01-24T13:00,short,0.74775,target,2008-01-24T17:00,0.74655,24
2008-01-31T00:00,short,0.74735,stopped,2008-01-31T05:00,0.74855,-24
2008-01-31T15:00,short,0.74775,target,2008-01-31T16:00,0.74715,12
2008-02-21T00:00,short,0.75758,target,2008-02-21T04:00,0.75729,6
2008-02-27T08:00,short,0.75476,target,2008-02-27T10:00,0.75383,18
2008-02-29T00:00,short,0.76378,target,2008-02-29T02:00,0.76327,10
2008-02-29T08:00,short,0.76351,stopped,2008-02-29T09:00,0.76447,-19
2008-03-06T12:00,short,0.76841,target,2008-03-06T14:00,0.76770,14
2008-03-06T15:00,long,0.76632,stopped,2008-03-07T15:00,0.76364,-54
2008-03-11T00:00,short,0.76428,stopped,2008-03-11T04:00,0.76552,-25
2008-03-11T09:00,short,0.76487,stopped,2008-03-11T12:00,0.76609,-24
2008-03-12T16:00,short,0.76616,target,2008-03-13T14:00,0.76444,34
2008-03-14T16:00,short,0.76772,stopped,2008-03-14T18:00,0.76971,-40
2008-03-18T21:00,long,0.77863,target,2008-03-18T22:00,0.77967,21
2008-03-19T19:00,short,0.78802,target,2008-03-19T20:00,0.78699,21
2008-03-20T16:00,long,0.77860,stopped,2008-03-20T22:00,0.77686,-35
2008-03-20T22:00,long,0.77723,stopped,2008-03-20T23:00,0.77641,-16
2008-03-20T23:00,long,0.77750,target,2008-03-21T08:00,0.77912,32
2008-03-24T04:00,long,0.77690,target,2008-03-24T10:00,0.77763,15
2008-04-03T11:00,short,0.78667,target,2008-04-03T14:00,0.78252,83
2008-04-03T23:00,long,0.78560,stopped,2008-04-04T02:00,0.78499,-12
2008-04-10T14:00,short,0.80190,target,2008-04-10T15:00,0.80092,19
2008-04-11T22:00,short,0.80255,target,2008-04-14T00:00,0.80184,14
2008-04-25T09:00,long,0.79422,stopped,2008-04-25T10:00,0.79339,-16
2008-04-30T03:00,short,0.79100,stopped,2008-04-30T08:00,0.79247,-29
2008-05-06T20:00,short,0.78719,target,2008-05-06T22:00,0.78658,12
2008-05-07T15:00,short,0.78845,target,2008-05-07T18:00,0.78741,21
2008-05-19T01:00,short,0.79632,target,2008-05-20T17:00,0.79461,34
2008-05-26T11:00,short,0.79617,target,2008-05-26T19:00,0.79516,20
2008-05-27T09:00,short,0.79638,stopped,2008-05-27T11:00,0.79834,-39
2008-05-28T01:00,long,0.79418,stopped,2008-05-28T04:00,0.79332,-17
2008-05-28T04:00,long,0.79469,stopped,2008-05-28T12:00,0.79308,-32
2008-06-02T07:00,short,0.78708,stopped,2008-06-02T08:00,0.78789,-16
2008-06-12T08:00,long,0.79067,stopped,2008-06-12T09:00,0.78994,-14
2008-06-13T06:00,short,0.79317,target,2008-06-13T07:00,0.79288,6
2008-06-24T17:00,short,0.79105,target,2008-06-24T23:00,0.78997,22
2008-06-25T14:00,long,0.79044,target,2008-06-25T18:00,0.79180,27
2008-07-02T08:00,short,0.79253,stopped,2008-07-02T10:00,0.79385,-26
2008-07-03T22:00,long,0.79170,stopped,2008-07-04T02:00,0.79118,-10
2008-07-09T16:00,short,0.79580,target,2008-07-09T18:00,0.79470,22
2008-07-10T07:00,long,0.79402,target,2008-07-10T09:00,0.79474,14
2008-07-14T09:00,short,0.80000,target,2008-07-14T11:00,0.79832,34
2008-07-16T01:00,long,0.79359,target,2008-07-16T11:00,0.79482,25
2008-07-25T08:00,short,0.79065,stopped,2008-07-25T09:00,0.79150,-17
2008-07-30T08:00,long,0.78706,target,2008-07-30T09:00,0.78779,15
2008-08-07T15:00,short,0.79155,target,2008-08-07T18:00,0.78969,37
2008-08-11T14:00,long,0.78140,target,2008-08-11T17:00,0.78226,17
2008-08-12T12:00,short,0.78311,stopped,2008-08-12T22:00,0.78535,-45
2008-08-18T00:00,long,0.78755,target,2008-08-18T03:00,0.78809,11
2008-08-18T03:00,long,0.78824,target,2008-08-18T07:00,0.78942,24
2008-08-18T16:00,long,0.78854,target,2008-08-19T09:00,0.78998,29
2008-08-20T09:00,short,0.79195,stopped,2008-08-20T10:00,0.79246,-10
2008-08-21T11:00,short,0.79119,stopped,2008-08-21T14:00,0.79398,-56
2008-08-21T23:00,short,0.79320,stopped,2008-08-22T01:00,0.79384,-13
2008-08-25T00:00,short,0.79861,target,2008-08-25T01:00,0.79825,7
2008-08-27T04:00,short,0.79706,stopped,2008-08-27T06:00,0.79808,-20
2008-08-29T13:00,short,0.80503,stopped,2008-08-29T17:00,0.80653,-30
2008-09-09T23:00,long,0.80272,stopped,2008-09-10T00:00,0.80188,-17
2008-09-16T21:00,long,0.79232,target,2008-09-17T03:00,0.79394,32
2008-09-19T08:00,long,0.78787,target,2008-09-19T09:00,0.78986,40
2008-09-24T03:00,long,0.79113,target,2008-09-24T04:00,0.79172,12
2008-09-29T00:00,long,0.79440,stopped,2008-09-29T08:00,0.79179,-52
