date,direction,entry,target_or_stop,exit_date,exit,ticks
2007-12-11T09:00,short,1.47222,target,2007-12-11T12:00,1.46949,55
2007-12-11T23:00,long,1.46547,target,2007-12-12T07:00,1.46712,33
2007-12-20T17:00,long,1.43450,target,2007-12-21T08:00,1.43756,61
2007-12-24T17:00,short,1.44028,stopped,2007-12-26T08:00,1.44128,-20
2008-01-24T14:00,short,1.46645,stopped,2008-01-24T16:00,1.46905,-52
2008-01-31T08:00,short,1.48805,target,2008-01-31T10:00,1.48485,64
2008-02-01T20:00,long,1.48135,stopped,2008-02-01T21:00,1.48015,-24
2008-02-18T16:00,long,1.46478,target,2008-02-19T07:00,1.46749,54
2008-02-21T06:00,short,1.47150,stopped,2008-02-21T09:00,1.47344,-39
2008-02-21T09:00,short,1.47212,stopped,2008-02-21T11:00,1.47479,-53
2008-02-22T13:00,short,1.48350,target,2008-02-22T14:00,1.48291,12
2008-02-22T15:00,short,1.48248,stopped,2008-02-22T16:00,1.48608,-72
2008-02-22T23:00,short,1.48265,target,2008-02-25T05:00,1.48141,25
2008-03-12T16:00,short,1.54649,stopped,2008-03-12T17:00,1.55046,-79
2008-03-14T07:00,short,1.56324,target,2008-03-14T08:00,1.56144,36
2008-03-19T00:00,long,1.56380,target,2008-03-19T02:00,1.56639,52
2008-04-30T12:00,long,1.55544,stopped,2008-04-30T15:00,1.55245,-60
2008-04-30T15:00,long,1.55588,target,2008-04-30T21:00,1.56008,84
2008-04-30T21:00,long,1.56366,stopped,2008-05-01T10:00,1.55382,-197
2008-05-01T12:00,long,1.55286,stopped,2008-05-01T15:00,1.54950,-67
2008-05-08T15:00,long,1.53814,target,2008-05-09T09:00,1.54508,139
2008-05-27T13:00,long,1.57594,stopped,2008-05-27T16:00,1.57344,-50
2008-06-02T12:00,short,1.55541,target,2008-06-02T13:00,1.55402,28
2008-06-30T06:00,short,1.57855,stopped,2008-06-30T09:00,1.57945,-18
2008-06-30T17:00,short,1.57556,stopped,2008-07-01T13:00,1.57945,-78
2008-07-03T10:00,short,1.58663,stopped,2008-07-03T13:00,1.58910,-50
2008-07-04T12:00,long,1.56960,stopped,2008-07-04T14:00,1.56802,-32
2008-07-07T13:00,long,1.56648,stopped,2008-07-07T16:00,1.56273,-75
2008-07-09T17:00,short,1.57315,stopped,2008-07-09T18:00,1.57492,-36
2008-07-22T04:00,short,1.59245,stopped,2008-07-22T06:00,1.59355,-22
2008-07-22T06:00,short,1.59249,target,2008-07-22T08:00,1.59136,23
2008-07-22T11:00,short,1.59224,target,2008-07-22T12:00,1.59104,24
2008-07-25T09:00,short,1.57106,target,2008-07-25T11:00,1.56913,39
2008-07-25T20:00,short,1.56912,stopped,2008-07-28T06:00,1.57211,-60
2008-07-28T22:00,short,1.57424,target,2008-07-29T09:00,1.57321,21
2008-08-13T10:00,short,1.49365,target,2008-08-13T13:00,1.48929,87
2008-08-19T01:00,long,1.46875,stopped,2008-08-19T08:00,1.46667,-42
