date,direction,entry,target_or_stop,exit_date,exit,ticks
2007-12-11T09:00,long,1.47222,stopped,2007-12-11T12:00,1.46949,-55
2007-12-11T23:00,short,1.46547,stopped,2007-12-12T07:00,1.46712,-33
2008-01-24T14:00,long,1.46645,target,2008-01-24T16:00,1.46905,52
2008-01-31T08:00,long,1.48805,stopped,2008-01-31T10:00,1.48485,-64
2008-02-21T06:00,long,1.47150,target,2008-02-21T09:00,1.47344,39
2008-02-21T09:00,long,1.47212,target,2008-02-21T11:00,1.47479,53
2008-02-22T15:00,long,1.48248,target,2008-02-22T16:00,1.48608,72
2008-03-12T16:00,long,1.54649,target,2008-03-12T17:00,1.55046,79
2008-03-14T07:00,long,1.56324,stopped,2008-03-14T08:00,1.56144,-36
2008-03-19T00:00,short,1.56380,stopped,2008-03-19T02:00,1.56639,-52
2008-04-30T12:00,short,1.55544,target,2008-04-30T15:00,1.55245,60
2008-04-30T15:00,short,1.55588,stopped,2008-04-30T21:00,1.56008,-84
2008-05-01T12:00,short,1.55286,target,2008-05-01T15:00,1.54950,67
2008-07-01T10:00,short,1.57560,stopped,2008-07-01T13:00,1.57902,-68
2008-07-09T17:00,long,1.57315,stopped,2008-07-09T18:00,1.57157,-32
2008-07-22T04:00,long,1.59245,target,2008-07-22T06:00,1.59355,22
2008-07-22T06:00,long,1.59249,stopped,2008-07-22T08:00,1.59136,-23
2008-07-25T09:00,long,1.57106,stopped,2008-07-25T11:00,1.56913,-39
2008-08-13T10:00,long,1.49365,stopped,2008-08-13T13:00,1.48929,-87
2008-08-19T01:00,short,1.46875,target,2008-08-19T08:00,1.46667,42
2008-08-22T00:00,long,1.48969,stopped,2008-08-22T01:00,1.48860,-22
2008-08-27T15:00,long,1.47209,target,2008-08-28T04:00,1.47770,112
2008-08-28T16:00,long,1.47698,stopped,2008-08-28T17:00,1.47295,-81
2008-09-08T13:00,short,1.42212,target,2008-09-08T18:00,1.41652,112
2008-09-16T21:00,short,1.41527,stopped,2008-09-17T09:00,1.42322,-159
2008-10-01T16:00,short,1.40255,stopped,2008-10-01T20:00,1.40770,-103
2008-10-08T15:00,long,1.36419,target,2008-10-08T21:00,1.37444,205
2008-10-08T21:00,long,1.36800,stopped,2008-10-09T03:00,1.36063,-147
2008-10-14T03:00,long,1.36392,target,2008-10-14T05:00,1.36872,96
2008-10-14T05:00,long,1.36788,stopped,2008-10-14T06:00,1.36662,-25
2008-11-12T01:00,short,1.25125,stopped,2008-11-12T02:00,1.25494,-74
2008-11-12T17:00,short,1.25214,target,2008-11-12T18:00,1.24731,97
2008-11-12T18:00,short,1.25561,target,2008-11-13T00:00,1.24666,179
2008-11-19T21:00,short,1.26021,target,2008-11-19T22:00,1.25452,114
2008-11-20T00:00,short,1.24980,stopped,2008-11-20T02:00,1.25236,-51
2008-11-21T15:00,long,1.25694,stopped,2008-11-21T18:00,1.25018,-135
2008-11-25T00:00,long,1.29474,stopped,2008-11-25T01:00,1.29355,-24
2008-12-02T15:00,long,1.27020,target,2008-12-02T16:00,1.27422,80
2008-12-10T17:00,long,1.29876,target,2008-12-10T19:00,1.30400,105
2008-12-12T06:00,long,1.33670,stopped,2008-12-12T07:00,1.33286,-77
2008-12-24T00:00,short,1.39270,stopped,2008-12-24T01:00,1.39400,-26
2008-12-30T00:00,short,1.39604,stopped,2008-12-30T01:00,1.40056,-90
2009-01-02T07:00,short,1.38675,target,2009-01-02T08:00,1.38455,44
2009-01-15T15:00,short,1.31725,target,2009-01-15T16:00,1.30727,200
2009-01-21T01:00,short,1.28837,stopped,2009-01-21T04:00,1.29226,-78
2009-01-21T19:00,short,1.28682,stopped,2009-01-21T21:00,1.29116,-87
2009-01-30T01:00,short,1.29385,target,2009-01-30T02:00,1.29150,47
2009-02-06T17:00,long,1.28525,target,2009-02-06T19:00,1.29159,127
2009-02-12T11:00,short,1.28552,target,2009-02-12T12:00,1.28179,75
2009-02-18T01:00,short,1.25831,stopped,2009-02-18T04:00,1.26087,-51
2009-02-24T00:00,short,1.27111,target,2009-02-24T01:00,1.26905,41
2009-02-25T10:00,long,1.28563,stopped,2009-02-25T11:00,1.28145,-84
2009-02-26T08:00,short,1.27168,stopped,2009-02-26T11:00,1.27523,-71
2009-03-03T01:00,short,1.25626,stopped,2009-03-03T03:00,1.25868,-48
2009-03-05T00:00,long,1.26489,stopped,2009-03-05T01:00,1.26348,-28
2009-03-10T10:00,long,1.27070,stopped,2009-03-10T12:00,1.26743,-65
2009-03-24T15:00,short,1.35334,target,2009-03-24T21:00,1.34772,112
2009-03-31T11:00,long,1.32714,target,2009-03-31T12:00,1.32951,47
2009-04-01T09:00,short,1.31933,stopped,2009-04-01T12:00,1.32214,-56
2009-04-02T05:00,long,1.32739,target,2009-04-02T09:00,1.32952,42
2009-04-09T12:00,long,1.32993,stopped,2009-04-09T14:00,1.32636,-71
2009-04-15T04:00,short,1.32440,target,2009-04-15T09:00,1.32195,49
2009-04-22T10:00,short,1.29252,stopped,2009-04-22T14:00,1.29668,-83
2009-04-23T09:00,long,1.30266,stopped,2009-04-23T10:00,1.30029,-47
2009-04-29T04:00,long,1.31480,target,2009-04-29T06:00,1.31674,39
2009-05-04T15:00,short,1.32475,stopped,2009-05-04T16:00,1.32831,-71
2009-05-05T01:00,long,1.34164,stopped,2009-05-05T03:00,1.33951,-43
2009-05-12T11:00,long,1.36480,target,2009-05-12T12:00,1.36718,48
2009-05-19T00:00,long,1.35564,stopped,2009-05-19T02:00,1.35500,-13
2009-05-21T11:00,long,1.37710,target,2009-05-21T19:00,1.38395,137
2009-05-28T00:00,short,1.38374,target,2009-05-28T03:00,1.38238,27
2009-05-28T03:00,short,1.38445,target,2009-05-28T06:00,1.38224,44
2009-06-05T15:00,long,1.41089,stopped,2009-06-05T21:00,1.39511,-316
2009-06-09T16:00,long,1.39780,target,2009-06-09T18:00,1.40252,94
2009-06-12T17:00,short,1.39965,target,2009-06-15T08:00,1.39347,124
2009-06-18T10:00,long,1.39477,target,2009-06-18T17:00,1.39921,89
2009-06-18T17:00,long,1.39618,stopped,2009-06-18T20:00,1.39229,-78
2009-07-02T18:00,short,1.40168,target,2009-07-03T00:00,1.39884,57
2009-07-14T09:00,long,1.39736,stopped,2009-07-14T20:00,1.39338,-80
2009-07-22T16:00,short,1.41829,stopped,2009-07-22T17:00,1.42104,-55
2009-08-25T04:00,short,1.42882,stopped,2009-08-25T06:00,1.43037,-31
2009-08-25T17:00,long,1.43288,stopped,2009-08-25T23:00,1.42958,-66
2009-09-07T04:00,long,1.43241,stopped,2009-09-07T05:00,1.43208,-6
2009-09-14T18:00,long,1.46125,stopped,2009-09-15T15:00,1.45733,-78
2009-09-21T09:00,short,1.46662,target,2009-09-21T15:00,1.46368,59
2009-09-29T11:00,short,1.45914,target,2009-09-29T13:00,1.45575,68
2009-10-26T02:00,short,1.50074,stopped,2009-10-26T03:00,1.50335,-52
2009-11-02T00:00,short,1.47307,stopped,2009-11-02T07:00,1.47769,-93
2009-12-04T00:00,short,1.50543,stopped,2009-12-04T08:00,1.50724,-36
2010-01-10T23:00,long,1.44289,stopped,2010-01-11T00:00,1.44150,-28
2010-01-14T18:00,short,1.44773,stopped,2010-01-14T20:00,1.45091,-64
2010-02-02T09:00,long,1.39354,stopped,2010-02-02T10:00,1.39205,-30
2010-02-04T01:00,short,1.38979,target,2010-02-04T02:00,1.38818,32
2010-02-05T00:00,short,1.37282,stopped,2010-02-05T01:00,1.37435,-31
2010-02-17T10:00,long,1.37734,stopped,2010-02-17T11:00,1.37590,-29
2010-03-02T11:00,short,1.34868,stopped,2010-03-02T13:00,1.35393,-105
2010-03-07T20:00,long,1.36181,target,2010-03-07T23:00,1.36335,31
2010-03-09T09:00,short,1.36197,target,2010-03-09T10:00,1.35952,49
2010-03-11T15:00,long,1.36462,target,2010-03-12T02:00,1.36883,84
2010-03-12T02:00,long,1.36817,stopped,2010-03-12T03:00,1.36751,-13
2010-03-22T09:00,short,1.35161,stopped,2010-03-22T10:00,1.35347,-37
2010-03-26T12:00,long,1.33755,target,2010-03-26T13:00,1.33963,42
2010-03-31T05:00,short,1.34065,target,2010-03-31T07:00,1.33922,29
2010-03-31T07:00,short,1.34113,stopped,2010-03-31T10:00,1.34391,-56
2010-04-16T09:00,short,1.35318,stopped,2010-04-16T11:00,1.35509,-38
2010-04-20T04:00,long,1.34739,target,2010-04-20T12:00,1.35023,57
2010-04-27T16:00,short,1.33000,stopped,2010-04-27T17:00,1.33235,-47
2010-04-29T13:00,long,1.32445,stopped,2010-04-29T16:00,1.32110,-67
2010-05-03T05:00,short,1.32347,target,2010-05-03T07:00,1.32082,53
2010-05-06T00:00,short,1.28190,stopped,2010-05-06T05:00,1.28493,-61
2010-05-18T11:00,long,1.23842,target,2010-05-18T14:00,1.24344,100
2010-05-25T01:00,short,1.23484,target,2010-05-25T03:00,1.23314,34
