date,direction,entry,target_or_stop,exit_date,exit,ticks
2007-12-10T00:00,short,2.32106,target,2007-12-10T07:00,2.31552,111
2007-12-10T16:00,short,2.32312,target,2007-12-10T18:00,2.31776,107
2007-12-17T12:00,short,2.34658,stopped,2007-12-17T15:00,2.35165,-101
2007-12-17T15:00,short,2.34703,stopped,2007-12-17T16:00,2.35178,-95
2007-12-19T10:00,long,2.33884,stopped,2007-12-19T11:00,2.33143,-148
2007-12-20T09:00,long,2.32096,stopped,2007-12-20T10:00,2.31853,-49
2007-12-26T15:00,long,2.27063,stopped,2007-12-26T21:00,2.26801,-52
2007-12-26T21:00,long,2.27082,stopped,2007-12-27T00:00,2.26773,-62
2007-12-27T06:00,long,2.26972,stopped,2007-12-27T07:00,2.26735,-47
2008-01-04T09:00,long,2.23600,target,2008-01-04T11:00,2.24163,113
2008-01-16T00:00,short,2.22085,stopped,2008-01-16T12:00,2.23445,-272
2008-01-18T00:00,short,2.24565,stopped,2008-01-18T01:00,2.25035,-94
2008-01-18T16:00,long,2.22335,target,2008-01-21T07:00,2.23225,178
2008-01-23T02:00,long,2.24755,target,2008-01-23T05:00,2.25295,108
2008-01-25T18:00,short,2.24595,stopped,2008-01-25T20:00,2.25255,-132
2008-02-04T09:00,long,2.17805,stopped,2008-02-04T17:00,2.17105,-140
2008-02-05T05:00,short,2.17455,stopped,2008-02-05T14:00,2.18345,-178
2008-02-21T13:00,short,2.13263,target,2008-02-21T14:00,2.13074,38
2008-03-19T07:00,long,2.15867,stopped,2008-03-19T08:00,2.15370,-99
2008-03-20T03:00,short,2.17038,stopped,2008-03-20T11:00,2.17927,-178
2008-03-31T17:00,short,2.17702,stopped,2008-04-01T19:00,2.18755,-210
2008-04-09T00:00,long,2.11403,stopped,2008-04-09T01:00,2.11184,-44
2008-04-16T01:00,long,2.11907,target,2008-04-16T10:00,2.12263,71
2008-04-17T19:00,short,2.12447,stopped,2008-04-17T20:00,2.12755,-62
2008-04-18T10:00,short,2.12822,target,2008-04-18T11:00,2.12590,46
2008-04-23T07:00,long,2.09822,stopped,2008-04-23T09:00,2.09480,-68
2008-04-29T10:00,short,2.12556,target,2008-04-29T13:00,2.11891,133
2008-05-12T05:00,short,2.07958,target,2008-05-12T06:00,2.07787,34
2008-05-13T00:00,long,2.06659,target,2008-05-13T01:00,2.06820,32
2008-05-20T18:00,short,2.05268,stopped,2008-05-20T21:00,2.05572,-61
2008-05-20T21:00,short,2.05203,stopped,2008-05-20T22:00,2.05671,-94
2008-05-27T09:00,long,2.06167,stopped,2008-05-27T11:00,2.05615,-111
2008-05-28T12:00,short,2.06401,target,2008-05-28T14:00,2.06082,64
2008-06-03T07:00,long,2.05570,stopped,2008-06-03T12:00,2.04914,-131
2008-06-06T15:00,long,2.04147,target,2008-06-06T17:00,2.04750,121
2008-06-17T18:00,long,2.07294,stopped,2008-06-18T06:00,2.06902,-78
2008-06-20T11:00,long,2.07068,target,2008-06-20T13:00,2.07342,55
2008-06-20T17:00,long,2.07140,stopped,2008-06-23T07:00,2.06504,-127
2008-07-02T08:00,long,2.07784,stopped,2008-07-02T09:00,2.07500,-57
2008-07-03T12:00,long,2.06595,target,2008-07-03T14:00,2.06944,70
2008-07-09T03:00,long,2.06684,target,2008-07-09T04:00,2.07107,85
2008-07-15T03:00,short,2.05189,target,2008-07-15T06:00,2.04923,53
2008-08-11T03:00,short,2.15915,stopped,2008-08-11T04:00,2.16548,-127
2008-08-19T04:00,short,2.14988,target,2008-08-19T09:00,2.14234,151
2008-08-29T12:00,long,2.11808,target,2008-08-29T16:00,2.12313,101
2008-09-02T04:00,long,2.10987,stopped,2008-09-02T06:00,2.10540,-89
2008-09-08T10:00,long,2.14403,stopped,2008-09-08T11:00,2.13716,-137
2008-09-08T11:00,long,2.14504,target,2008-09-08T13:00,2.15576,214
2008-09-12T00:00,long,2.17845,target,2008-09-12T01:00,2.18465,124
2008-09-24T00:00,short,2.22155,target,2008-09-24T02:00,2.20974,236
2008-09-30T01:00,short,2.25650,target,2008-09-30T09:00,2.24226,285
2008-10-03T17:00,short,2.27622,stopped,2008-10-03T18:00,2.28807,-237
2008-10-10T16:00,short,2.57066,stopped,2008-10-10T18:00,2.61354,-857
2008-10-10T18:00,short,2.60674,stopped,2008-10-10T20:00,2.62460,-357
2008-10-14T00:00,long,2.49648,stopped,2008-10-14T01:00,2.47914,-347
2008-10-17T00:00,long,2.51289,target,2008-10-17T01:00,2.53349,412
2008-10-21T00:00,long,2.43952,target,2008-10-21T01:00,2.44551,120
2008-10-22T13:00,long,2.44834,stopped,2008-10-22T14:00,2.41702,-626
2008-10-28T10:00,long,2.53167,stopped,2008-10-28T15:00,2.50166,-600
2008-10-29T16:00,long,2.47688,stopped,2008-10-29T21:00,2.43367,-864
2008-10-31T21:00,long,2.42204,stopped,2008-11-03T00:00,2.40585,-324
2008-11-05T00:00,long,2.28924,stopped,2008-11-05T01:00,2.27985,-188
2008-11-07T15:00,short,2.35443,target,2008-11-07T18:00,2.33391,410
2008-11-13T17:00,long,2.30909,stopped,2008-11-13T20:00,2.28016,-579
2008-11-14T00:00,long,2.23259,target,2008-11-14T02:00,2.24259,200
2008-11-20T02:00,short,2.34221,stopped,2008-11-20T06:00,2.35324,-221
2008-11-24T01:00,long,2.35334,target,2008-11-24T02:00,2.36415,216
2008-11-24T15:00,long,2.35529,stopped,2008-11-24T17:00,2.33852,-335
2008-12-15T21:00,short,2.29333,target,2008-12-16T00:00,2.28198,227
2008-12-22T11:00,long,2.17303,stopped,2008-12-22T12:00,2.16387,-183
2008-12-30T05:00,long,2.09625,target,2008-12-30T08:00,2.09974,70
2008-12-31T00:00,long,2.08819,target,2008-12-31T02:00,2.09591,154
