date,direction,entry,target_or_stop,exit_date,exit,ticks
2007-12-04T10:00,short,2.33007,target,2007-12-04T11:00,2.32404,121
2007-12-05T04:00,long,2.29708,target,2007-12-05T08:00,2.30005,59
2007-12-07T15:00,short,2.29406,target,2007-12-07T20:00,2.28797,122
2007-12-19T08:00,long,2.32049,target,2007-12-19T09:00,2.32394,69
2007-12-21T17:00,long,2.29457,stopped,2007-12-24T03:00,2.28924,-107
2007-12-27T12:00,short,2.28950,target,2007-12-27T13:00,2.28734,43
2008-01-04T04:00,long,2.19109,target,2008-01-04T07:00,2.19291,36
2008-01-08T01:00,long,2.19890,target,2008-01-08T02:00,2.20044,31
2008-01-08T04:00,short,2.20389,stopped,2008-01-08T05:00,2.20507,-24
2008-01-08T05:00,short,2.20336,stopped,2008-01-08T08:00,2.20629,-59
2008-01-09T02:00,long,2.19365,stopped,2008-01-09T03:00,2.19205,-32
2008-01-09T03:00,long,2.19455,stopped,2008-01-09T09:00,2.19035,-84
2008-01-25T00:00,short,2.14945,target,2008-01-25T02:00,2.14665,56
2008-02-04T16:00,short,2.15325,target,2008-02-04T19:00,2.14795,106
2008-02-12T03:00,short,2.14952,target,2008-02-12T05:00,2.14743,42
2008-02-21T08:00,short,2.13918,target,2008-02-21T09:00,2.13662,51
2008-02-22T15:00,long,2.13850,stopped,2008-02-22T18:00,2.13190,-132
2008-03-06T15:00,short,2.06223,target,2008-03-07T00:00,2.05343,176
2008-03-07T13:00,long,2.05411,target,2008-03-07T14:00,2.05747,67
2008-03-11T00:00,long,2.04630,target,2008-03-11T08:00,2.04939,62
2008-03-12T00:00,short,2.07353,target,2008-03-12T02:00,2.06979,75
2008-03-28T12:00,long,1.98755,target,2008-03-28T15:00,1.99184,86
2008-03-31T01:00,long,1.98341,target,2008-03-31T02:00,1.98751,82
2008-04-09T00:00,short,1.99696,stopped,2008-04-09T01:00,1.99845,-30
2008-04-10T04:00,long,1.97506,stopped,2008-04-10T07:00,1.97143,-72
2008-04-21T14:00,long,2.00485,stopped,2008-04-21T17:00,1.99767,-144
2008-04-22T05:00,long,1.99583,target,2008-04-22T08:00,1.99935,70
2008-04-23T21:00,short,2.01158,target,2008-04-24T00:00,2.00899,52
2008-04-28T18:00,short,2.05821,stopped,2008-04-29T10:00,2.06461,-128
2008-04-30T21:00,short,2.05632,stopped,2008-05-01T10:00,2.07067,-287
2008-05-12T15:00,short,2.05481,stopped,2008-05-12T16:00,2.05678,-39
2008-05-12T16:00,short,2.05284,target,2008-05-12T17:00,2.04859,85
2008-05-15T20:00,short,2.05586,target,2008-05-16T08:00,2.05222,73
2008-05-27T09:00,long,2.03235,stopped,2008-05-27T11:00,2.02614,-124
2008-05-27T17:00,short,2.03339,stopped,2008-05-27T21:00,2.03764,-85
2008-05-28T00:00,short,2.04301,target,2008-05-28T02:00,2.04121,36
2008-06-05T13:00,short,2.04391,stopped,2008-06-05T15:00,2.04884,-99
2008-06-05T15:00,short,2.03999,target,2008-06-05T16:00,2.03021,196
2008-06-11T08:00,short,2.03762,target,2008-06-11T11:00,2.03274,98
2008-06-12T01:00,long,2.02501,stopped,2008-06-12T02:00,2.02347,-31
2008-07-07T06:00,short,2.03556,stopped,2008-07-07T08:00,2.03724,-34
2008-07-09T13:00,short,2.03655,stopped,2008-07-09T15:00,2.03820,-33
2008-07-09T15:00,short,2.03744,target,2008-07-09T16:00,2.03630,23
2008-07-11T13:00,long,2.03043,stopped,2008-07-11T15:00,2.02634,-82
2008-07-17T03:00,short,2.03293,target,2008-07-17T08:00,2.02996,59
2008-07-21T11:00,long,2.03391,target,2008-07-21T12:00,2.03560,34
2008-08-19T12:00,long,2.04136,target,2008-08-19T13:00,2.04323,38
2008-08-21T16:00,long,2.04043,stopped,2008-08-22T11:00,2.03364,-136
2008-08-27T04:00,long,2.02222,stopped,2008-08-27T06:00,2.02069,-31
2008-09-16T02:00,long,1.99799,stopped,2008-09-16T08:00,1.99359,-88
2008-09-17T10:00,short,1.99442,stopped,2008-09-17T19:00,2.01080,-328
2008-09-17T20:00,short,2.00214,stopped,2008-09-17T22:00,2.01288,-215
2008-09-17T22:00,short,2.00391,stopped,2008-09-18T10:00,2.01487,-219
2008-09-18T10:00,short,2.00663,target,2008-09-18T12:00,1.99394,254
2008-10-06T07:00,long,1.99742,target,2008-10-06T10:00,2.00627,177
2008-10-22T00:00,long,1.92396,stopped,2008-10-22T02:00,1.92072,-65
2008-10-29T00:00,short,1.84699,stopped,2008-10-29T01:00,1.85382,-137
2008-11-05T16:00,short,1.86902,stopped,2008-11-05T17:00,1.87619,-143
2008-12-05T19:00,short,1.78715,stopped,2008-12-05T20:00,1.79013,-59
2008-12-09T20:00,long,1.78155,stopped,2008-12-09T21:00,1.78029,-25
2008-12-18T00:00,long,1.66550,stopped,2008-12-18T02:00,1.66260,-58
2008-12-18T05:00,long,1.66373,stopped,2008-12-18T07:00,1.66142,-46
2009-01-02T01:00,short,1.56884,stopped,2009-01-02T02:00,1.56998,-23
2009-01-02T02:00,short,1.56797,target,2009-01-02T04:00,1.56472,65
2009-01-14T12:00,long,1.62347,target,2009-01-14T15:00,1.63036,138
2009-01-16T00:00,short,1.64602,stopped,2009-01-16T03:00,1.64968,-73
2009-01-29T16:00,short,1.63395,stopped,2009-01-29T21:00,1.64887,-298
2009-02-02T14:00,long,1.64158,target,2009-02-02T15:00,1.64804,129
2009-02-10T00:00,short,1.73361,stopped,2009-02-10T01:00,1.73604,-48
2009-02-18T11:00,long,1.66290,target,2009-02-18T14:00,1.67071,156
2009-03-11T13:00,short,1.59975,target,2009-03-11T15:00,1.59432,109
2009-03-12T09:00,short,1.60250,target,2009-03-12T10:00,1.59823,85
2009-03-17T15:00,long,1.65806,stopped,2009-03-18T09:00,1.65290,-103
2009-03-27T16:00,short,1.63809,target,2009-03-30T06:00,1.63216,119
2009-04-10T02:00,short,1.69633,stopped,2009-04-10T03:00,1.69852,-44
2009-04-21T00:00,long,1.69936,stopped,2009-04-21T02:00,1.69753,-37
2009-04-29T00:00,long,1.67350,target,2009-04-29T03:00,1.67619,54
2009-05-04T10:00,short,1.69537,target,2009-05-04T11:00,1.69171,73
2009-05-15T00:00,short,1.68062,stopped,2009-05-15T02:00,1.68305,-49
2009-05-15T02:00,short,1.68211,stopped,2009-05-15T04:00,1.68331,-24
2009-05-20T19:00,short,1.72678,stopped,2009-05-20T21:00,1.73035,-72
2009-05-25T11:00,long,1.72372,target,2009-05-26T08:00,1.72790,84
2009-06-09T03:00,short,1.75226,target,2009-06-09T07:00,1.75033,39
2009-06-12T18:00,short,1.77730,target,2009-06-12T20:00,1.77273,91
2009-06-19T10:00,short,1.77660,stopped,2009-06-19T11:00,1.77984,-65
2009-06-29T13:00,short,1.79759,target,2009-06-29T16:00,1.79395,73
2009-07-02T09:00,long,1.77238,stopped,2009-07-02T10:00,1.76783,-91
2009-07-15T09:00,short,1.77017,target,2009-07-15T21:00,1.76182,167
2009-07-17T09:00,long,1.76134,stopped,2009-07-17T10:00,1.75839,-59
2009-07-23T01:00,short,1.75550,target,2009-07-23T03:00,1.75343,42
2009-07-24T10:00,short,1.77180,target,2009-07-24T11:00,1.76905,55
2009-08-20T15:00,long,1.75726,target,2009-08-20T16:00,1.76055,66
2009-08-21T00:00,long,1.75538,stopped,2009-08-21T04:00,1.75320,-44
2009-08-31T13:00,long,1.72135,target,2009-08-31T17:00,1.72455,64
2009-09-03T12:00,short,1.73151,stopped,2009-09-03T13:00,1.73384,-46
2009-09-07T22:00,long,1.73198,stopped,2009-09-08T04:00,1.73041,-31
2009-09-08T04:00,long,1.73138,target,2009-09-08T05:00,1.73255,23
2009-09-08T11:00,long,1.73687,stopped,2009-09-08T17:00,1.72942,-149
2009-09-17T15:00,short,1.70482,target,2009-09-17T17:00,1.69899,116
2009-09-22T11:00,long,1.67313,target,2009-09-23T11:00,1.67866,111
2009-09-27T22:00,long,1.64070,stopped,2009-09-28T01:00,1.63673,-80
2009-10-08T15:00,short,1.64927,stopped,2009-10-08T16:00,1.65311,-77
2009-10-14T12:00,short,1.62679,stopped,2009-10-14T15:00,1.63065,-77
2009-11-08T22:00,short,1.69063,target,2009-11-09T01:00,1.68940,25
2009-11-09T01:00,short,1.69052,stopped,2009-11-09T02:00,1.69184,-26
2009-11-12T09:00,long,1.66894,target,2009-11-12T11:00,1.67227,67
2009-12-03T18:00,long,1.65699,stopped,2009-12-03T19:00,1.65510,-38
2009-12-09T15:00,short,1.66947,stopped,2009-12-11T17:00,1.67850,-181
2009-12-15T00:00,short,1.68227,target,2009-12-15T02:00,1.68088,28
2009-12-15T04:00,short,1.68330,stopped,2009-12-15T06:00,1.68405,-15
2009-12-22T19:00,long,1.67339,stopped,2009-12-23T11:00,1.67097,-48
2009-12-29T12:00,long,1.65123,stopped,2009-12-29T13:00,1.64831,-59
2009-12-30T13:00,long,1.64668,target,2009-12-30T16:00,1.65019,70
2010-01-06T10:00,short,1.65939,target,2010-01-06T11:00,1.65543,79
2010-01-07T10:00,long,1.64374,target,2010-01-07T13:00,1.64696,64
2010-01-14T12:00,short,1.66075,target,2010-01-14T13:00,1.65936,28
2010-01-14T14:00,short,1.66113,stopped,2010-01-14T15:00,1.66282,-34
2010-01-27T13:00,short,1.69595,stopped,2010-01-27T14:00,1.69801,-41
2010-02-10T14:00,long,1.66547,target,2010-02-10T17:00,1.66858,62
2010-03-03T11:00,long,1.61445,target,2010-03-04T16:00,1.62163,144
2010-03-24T03:00,long,1.58847,target,2010-03-24T07:00,1.59059,42
2010-03-24T12:00,short,1.59918,target,2010-03-24T14:00,1.59580,67
2010-04-07T11:00,short,1.63132,target,2010-04-07T12:00,1.62808,65
2010-04-14T00:00,long,1.62090,target,2010-04-14T01:00,1.62175,17
2010-04-28T00:00,short,1.66015,target,2010-04-28T01:00,1.65959,11
2010-04-29T22:00,short,1.65884,stopped,2010-04-30T00:00,1.66200,-63
2010-04-30T01:00,short,1.66088,stopped,2010-04-30T09:00,1.66307,-44
2010-05-04T12:00,short,1.65655,stopped,2010-05-04T14:00,1.65941,-57
2010-05-06T00:00,short,1.68828,stopped,2010-05-06T04:00,1.69058,-46
2010-05-12T00:00,short,1.66084,target,2010-05-12T04:00,1.65640,89
2010-05-18T13:00,long,1.63137,target,2010-05-18T14:00,1.63315,36
2010-05-23T22:00,short,1.66573,stopped,2010-05-23T23:00,1.66718,-29
2010-05-23T23:00,short,1.66415,stopped,2010-05-24T04:00,1.66783,-73
2010-05-28T05:00,short,1.68261,target,2010-05-28T07:00,1.68124,27
2010-06-11T05:00,short,1.68167,stopped,2010-06-11T07:00,1.68455,-58
2010-06-14T02:00,long,1.67192,target,2010-06-14T09:00,1.67567,75
2010-06-30T04:00,long,1.62885,target,2010-06-30T05:00,1.63125,48
2010-06-30T09:00,long,1.62985,stopped,2010-06-30T11:00,1.62584,-80
2010-07-01T00:00,long,1.61053,target,2010-07-01T02:00,1.61192,28
2010-07-06T07:00,long,1.60659,target,2010-07-06T08:00,1.60850,38
2010-07-12T01:00,long,1.59038,stopped,2010-07-12T02:00,1.58827,-42
