date,direction,entry,target_or_stop,exit_date,exit,ticks
2007-12-12T16:00,short,2.04724,target,2007-12-13T17:00,2.03663,106
2007-12-19T09:00,long,2.01264,target,2007-12-19T10:00,2.01587,32
2007-12-20T09:00,long,1.99435,stopped,2007-12-20T10:00,1.99213,-22
2007-12-21T20:00,long,1.98426,stopped,2007-12-24T11:00,1.98105,-32
2008-01-15T13:00,short,1.96385,stopped,2008-01-15T14:00,1.96825,-44
2008-01-22T15:00,short,1.95230,stopped,2008-01-22T17:00,1.95985,-76
2008-02-19T12:00,long,1.94849,target,2008-02-19T13:00,1.95150,30
2008-02-20T10:00,long,1.94863,stopped,2008-02-20T11:00,1.94523,-34
2008-03-03T17:00,short,1.98248,stopped,2008-03-05T18:00,1.99368,-112
2008-03-11T00:00,long,2.01072,stopped,2008-03-11T09:00,2.00500,-57
2008-03-11T09:00,long,2.00759,target,2008-03-11T10:00,2.01058,30
2008-03-14T16:00,short,2.03681,target,2008-03-14T17:00,2.03386,29
2008-03-24T19:00,short,1.98549,stopped,2008-03-24T23:00,1.98772,-22
2008-04-24T09:00,long,1.97804,target,2008-04-24T10:00,1.98126,32
2008-05-02T17:00,long,1.97487,stopped,2008-05-05T13:00,1.97054,-43
2008-05-13T17:00,long,1.94654,stopped,2008-05-13T18:00,1.94264,-39
2008-05-13T18:00,long,1.94699,stopped,2008-05-14T09:00,1.94197,-50
2008-05-28T15:00,long,1.97347,target,2008-05-28T16:00,1.97645,30
2008-06-13T10:00,long,1.94353,target,2008-06-13T11:00,1.94407,5
2008-06-13T15:00,long,1.94412,stopped,2008-06-13T16:00,1.94120,-29
2008-06-17T11:00,short,1.96062,target,2008-06-17T13:00,1.95145,92
2008-06-23T09:00,long,1.97187,stopped,2008-06-23T10:00,1.96967,-22
2008-06-30T10:00,short,1.99435,target,2008-06-30T13:00,1.99206,23
2008-07-04T12:00,long,1.98253,stopped,2008-07-07T04:00,1.97948,-30
2008-07-14T20:00,short,1.99420,stopped,2008-07-15T03:00,1.99636,-22
2008-07-17T21:00,long,1.99898,target,2008-07-17T23:00,2.00299,40
2008-07-22T10:00,short,2.00284,stopped,2008-07-22T12:00,2.00438,-15
2008-07-30T16:00,long,1.97722,target,2008-07-30T18:00,1.97981,26
2008-08-06T14:00,long,1.95456,stopped,2008-08-06T15:00,1.95211,-25
2008-08-20T00:00,short,1.86667,stopped,2008-08-20T02:00,1.86826,-16
2008-08-20T03:00,short,1.86659,target,2008-08-20T04:00,1.86483,18
2008-08-22T00:00,short,1.87763,target,2008-08-22T01:00,1.87585,18
2008-09-08T19:00,long,1.75438,stopped,2008-09-08T20:00,1.75303,-14
2008-09-18T09:00,short,1.81942,target,2008-09-18T10:00,1.81304,64
2008-09-18T15:00,short,1.82234,target,2008-09-18T16:00,1.81694,54
2008-09-25T00:00,long,1.84678,target,2008-09-25T01:00,1.84771,9
2008-10-06T10:00,long,1.75799,stopped,2008-10-06T11:00,1.75523,-28
2008-10-08T10:00,short,1.74979,target,2008-10-08T17:00,1.73387,159
2008-11-06T14:00,long,1.58825,stopped,2008-11-06T22:00,1.57195,-163
2008-11-12T01:00,long,1.53831,target,2008-11-12T02:00,1.54186,35
2008-11-12T11:00,long,1.53805,stopped,2008-11-12T12:00,1.53251,-55
2008-11-21T15:00,short,1.49702,target,2008-11-21T17:00,1.48788,91
2008-11-21T18:00,long,1.48129,target,2008-11-21T23:00,1.49246,112
2008-12-23T18:00,long,1.47603,stopped,2008-12-24T12:00,1.46729,-87
2009-01-15T17:00,long,1.45644,target,2009-01-15T21:00,1.46528,88
2009-01-16T02:00,short,1.46686,stopped,2009-01-16T03:00,1.46928,-24
2009-01-26T15:00,short,1.38806,stopped,2009-01-26T16:00,1.39065,-26
2009-01-29T06:00,long,1.41564,stopped,2009-01-29T07:00,1.41208,-36
2009-01-29T16:00,short,1.42824,stopped,2009-01-30T17:00,1.44124,-130
2009-03-05T00:00,short,1.41885,target,2009-03-05T01:00,1.41753,13
2009-03-12T03:00,short,1.38561,stopped,2009-03-12T05:00,1.39112,-55
2009-03-25T14:00,long,1.45930,target,2009-03-25T15:00,1.46407,48
2009-04-03T03:00,short,1.47345,target,2009-04-03T04:00,1.46957,39
2009-04-09T12:00,long,1.46713,stopped,2009-04-09T14:00,1.46275,-44
2009-04-13T03:00,long,1.46220,target,2009-04-13T04:00,1.46388,17
2009-04-13T08:00,short,1.46681,stopped,2009-04-13T09:00,1.46833,-15
2009-04-15T10:00,long,1.48708,target,2009-04-15T11:00,1.49186,48
2009-04-15T12:00,short,1.49279,stopped,2009-04-15T13:00,1.49737,-46
2009-05-07T02:00,short,1.51329,target,2009-05-07T04:00,1.51075,25
2009-05-26T09:00,short,1.58530,stopped,2009-05-26T17:00,1.59464,-93
2009-05-27T04:00,short,1.59617,stopped,2009-05-27T06:00,1.59796,-18
2009-06-01T00:00,short,1.61869,target,2009-06-01T01:00,1.61744,12
2009-06-18T12:00,long,1.62774,target,2009-06-18T18:00,1.63672,90
2009-06-30T02:00,short,1.65722,stopped,2009-06-30T03:00,1.66020,-30
2009-07-27T03:00,long,1.64167,target,2009-07-27T06:00,1.64509,34
2009-08-07T05:00,long,1.67679,target,2009-08-07T08:00,1.67913,23
2009-08-20T11:00,short,1.65457,target,2009-08-20T13:00,1.64798,66
2009-08-21T17:00,short,1.65074,target,2009-08-25T05:00,1.63896,118
2009-08-27T17:00,long,1.61722,target,2009-08-27T18:00,1.61910,19
2009-08-28T09:00,short,1.62823,stopped,2009-08-28T11:00,1.63148,-32
2009-10-04T23:00,short,1.59450,target,2009-10-05T00:00,1.59316,13
2009-10-07T17:00,long,1.59137,target,2009-10-07T20:00,1.59687,55
2009-10-14T00:00,short,1.59183,stopped,2009-10-14T05:00,1.59396,-21
2009-10-22T05:00,short,1.66016,target,2009-10-22T10:00,1.65655,36
2009-11-10T08:00,long,1.66800,target,2009-11-11T09:00,1.67589,79
2009-11-11T12:00,short,1.66282,stopped,2009-11-16T19:00,1.67984,-170
2010-01-04T12:00,short,1.61759,target,2010-01-04T18:00,1.61095,66
2010-01-14T11:00,short,1.62825,target,2010-01-14T14:00,1.62515,31
2010-01-15T02:00,short,1.63215,target,2010-01-15T03:00,1.62928,29
2010-01-26T01:00,short,1.62466,stopped,2010-01-26T02:00,1.62619,-15
2010-02-04T09:00,long,1.58818,stopped,2010-02-04T10:00,1.58686,-13
2010-02-10T12:00,short,1.56855,target,2010-02-10T16:00,1.56057,80
2010-02-12T10:00,short,1.57162,target,2010-02-12T11:00,1.56907,26
2010-02-16T10:00,short,1.57097,target,2010-02-16T11:00,1.56897,20
2010-03-01T01:00,long,1.51801,stopped,2010-03-01T08:00,1.51287,-51
2010-03-08T01:00,short,1.51436,stopped,2010-03-08T04:00,1.51688,-25
2010-03-12T01:00,short,1.50659,target,2010-03-12T03:00,1.50439,22
2010-03-15T13:00,long,1.50430,target,2010-03-15T15:00,1.50664,23
2010-03-22T02:00,long,1.49940,target,2010-03-22T03:00,1.50122,18
2010-04-06T09:00,long,1.52434,stopped,2010-04-06T10:00,1.52114,-32
2010-04-16T10:00,long,1.54176,target,2010-04-16T12:00,1.54688,51
2010-04-20T02:00,short,1.53321,target,2010-04-20T04:00,1.53208,11
2010-04-21T13:00,short,1.53839,stopped,2010-04-22T08:00,1.54399,-56
2010-05-20T17:00,long,1.43039,target,2010-05-20T20:00,1.43805,77
2010-05-21T12:00,short,1.43854,stopped,2010-05-21T18:00,1.44750,-90
2010-05-24T10:00,short,1.44647,target,2010-05-24T13:00,1.44009,64
2010-05-28T13:00,short,1.45800,target,2010-05-28T15:00,1.45482,32
2010-06-10T10:00,short,1.45725,stopped,2010-06-10T12:00,1.46208,-48
2010-06-10T12:00,short,1.45975,stopped,2010-06-10T13:00,1.46286,-31
2010-06-22T00:00,long,1.47619,target,2010-06-22T04:00,1.47859,24
2010-06-29T12:00,long,1.50512,target,2010-06-29T15:00,1.50898,39
2010-07-07T11:00,long,1.50926,target,2010-07-07T12:00,1.51037,11
2010-07-21T09:00,short,1.52355,stopped,2010-07-21T10:00,1.53196,-84
2010-07-27T09:00,short,1.55049,target,2010-07-27T10:00,1.54795,25
2010-08-31T07:00,long,1.54642,stopped,2010-08-31T08:00,1.54538,-10
2010-09-01T16:00,short,1.54569,target,2010-09-02T08:00,1.54217,35
2010-09-13T10:00,short,1.54624,target,2010-09-13T12:00,1.54364,26
2010-10-06T10:00,short,1.59031,target,2010-10-06T14:00,1.58657,37
2010-10-15T13:00,short,1.60430,stopped,2010-10-15T15:00,1.60673,-24
2010-10-15T15:00,short,1.60315,target,2010-10-18T04:00,1.59555,76
2010-11-25T15:00,long,1.57588,target,2010-11-25T17:00,1.57917,33
2010-12-07T10:00,short,1.57600,stopped,2010-12-07T11:00,1.57902,-30
2010-12-09T09:00,short,1.58193,target,2010-12-09T10:00,1.57970,22
2010-12-14T10:00,short,1.58656,target,2010-12-14T15:00,1.58198,46
2010-12-29T22:00,short,1.54965,stopped,2010-12-30T02:00,1.55182,-22
2010-12-31T14:00,short,1.55236,stopped,2010-12-31T16:00,1.55469,-23
2011-01-11T16:00,short,1.55525,stopped,2011-01-11T18:00,1.56035,-51
2011-01-13T09:00,short,1.57407,stopped,2011-01-13T14:00,1.57837,-43
2011-01-21T19:00,short,1.59873,stopped,2011-01-21T22:00,1.60123,-25
2011-01-27T09:00,short,1.59113,stopped,2011-01-27T13:00,1.59434,-32
2011-02-02T07:00,short,1.61583,stopped,2011-02-02T10:00,1.61791,-21
2011-02-08T11:00,long,1.61193,stopped,2011-02-08T14:00,1.60861,-33
2011-02-10T11:00,long,1.60643,stopped,2011-02-10T14:00,1.60285,-36
2011-02-15T11:00,short,1.60222,stopped,2011-02-15T13:00,1.61065,-84
2011-02-23T09:00,short,1.61970,stopped,2011-02-23T11:00,1.62287,-32
2011-03-17T00:00,long,1.60086,target,2011-03-17T07:00,1.60335,25
2011-03-20T21:00,short,1.62465,target,2011-03-20T23:00,1.62310,16
2011-04-06T00:00,short,1.62951,stopped,2011-04-06T01:00,1.62996,-5
2011-04-11T10:00,long,1.63274,stopped,2011-04-11T11:00,1.63155,-12
2011-04-11T11:00,long,1.63492,target,2011-04-11T16:00,1.63845,35
2011-05-04T09:00,long,1.64792,target,2011-05-04T10:00,1.65059,27
2011-05-05T16:00,long,1.64709,stopped,2011-05-05T17:00,1.64417,-29
2011-05-06T11:00,long,1.63772,target,2011-05-06T12:00,1.63989,22
2011-05-27T00:00,short,1.63885,stopped,2011-05-27T04:00,1.64092,-21
2011-05-29T22:00,short,1.65056,target,2011-05-29T23:00,1.64991,6
2011-06-12T22:00,long,1.62275,target,2011-06-13T01:00,1.62401,13
2011-06-15T04:00,long,1.63662,stopped,2011-06-15T09:00,1.63531,-13
2011-06-28T13:00,long,1.59491,target,2011-06-28T15:00,1.59863,37
2011-07-08T06:00,long,1.59533,target,2011-07-08T09:00,1.59679,15
2011-07-18T04:00,long,1.60934,target,2011-07-18T10:00,1.61199,27
2011-07-22T00:00,short,1.63180,target,2011-07-22T10:00,1.62947,23
2011-07-25T00:00,short,1.63326,target,2011-07-25T01:00,1.63204,12
2011-07-28T10:00,long,1.63375,stopped,2011-07-28T13:00,1.63089,-29
2011-08-01T04:00,short,1.64458,target,2011-08-01T11:00,1.64160,30
2011-08-01T18:00,long,1.62763,target,2011-08-02T02:00,1.63150,39
2011-08-02T15:00,long,1.62755,target,2011-08-03T11:00,1.63264,51
2011-08-12T01:00,short,1.62267,target,2011-08-12T04:00,1.62100,17
2011-09-01T09:00,long,1.62472,stopped,2011-09-01T11:00,1.62179,-29
2011-09-07T19:00,long,1.59578,stopped,2011-09-08T10:00,1.59188,-39
2011-09-08T11:00,long,1.59400,target,2011-09-08T13:00,1.59666,27
2011-09-30T10:00,long,1.55729,target,2011-09-30T11:00,1.56044,31
2011-10-04T00:00,long,1.54386,target,2011-10-04T04:00,1.54565,18
2011-10-14T15:00,short,1.57721,stopped,2011-10-14T16:00,1.58037,-32
2011-10-20T10:00,long,1.57268,target,2011-10-20T12:00,1.57607,34
2011-10-21T03:00,short,1.57932,stopped,2011-10-21T04:00,1.58106,-17
2011-10-25T11:00,short,1.59807,stopped,2011-10-25T13:00,1.60217,-41
2011-10-25T16:00,short,1.59940,stopped,2011-10-26T07:00,1.60396,-46
2011-10-31T18:00,short,1.61322,target,2011-10-31T21:00,1.60976,35
2011-11-03T21:00,short,1.60312,target,2011-11-04T10:00,1.60003,31
2011-11-10T02:00,long,1.59164,target,2011-11-10T05:00,1.59315,15
2011-11-14T19:00,long,1.58990,stopped,2011-11-15T06:00,1.58810,-18
2011-11-16T02:00,long,1.58092,stopped,2011-11-16T03:00,1.57942,-15
2011-11-21T03:00,long,1.57500,target,2011-11-21T09:00,1.57653,15
2011-11-28T05:00,short,1.55026,target,2011-11-28T09:00,1.54796,23
2011-12-14T16:00,long,1.54621,stopped,2011-12-14T17:00,1.54434,-19
2011-12-16T09:00,short,1.55158,stopped,2011-12-16T12:00,1.55441,-28
2012-01-19T05:00,short,1.54400,target,2012-01-19T06:00,1.54337,6
2012-01-20T01:00,short,1.54835,stopped,2012-01-20T02:00,1.54929,-9
2012-01-25T00:00,short,1.56215,stopped,2012-01-25T01:00,1.56269,-5
2012-01-25T11:00,long,1.55731,target,2012-01-25T19:00,1.56131,40
2012-01-27T23:00,short,1.57280,target,2012-01-30T00:00,1.57152,13
2012-01-31T05:00,short,1.57329,stopped,2012-01-31T09:00,1.57430,-10
2012-02-03T12:00,short,1.58468,target,2012-02-03T13:00,1.58328,14
2012-02-07T16:00,short,1.58250,stopped,2012-02-07T17:00,1.58431,-18
2012-02-09T03:00,long,1.58045,target,2012-02-09T04:00,1.58158,11
