date,direction,entry,target_or_stop,exit_date,exit,ticks
2007-12-06T18:00,long,2.02887,stopped,2007-12-07T06:00,2.02334,-111
2007-12-07T19:00,short,2.02646,stopped,2007-12-07T20:00,2.03140,-99
2007-12-12T16:00,short,2.04724,target,2007-12-13T17:00,2.03673,210
2007-12-17T18:00,long,2.01673,target,2007-12-17T19:00,2.01884,42
2007-12-19T09:00,long,2.01264,target,2007-12-19T10:00,2.01597,67
2007-12-20T09:00,long,1.99435,stopped,2007-12-20T10:00,1.99203,-46
2007-12-21T20:00,long,1.98426,stopped,2007-12-24T11:00,1.98095,-66
2008-01-10T19:00,long,1.95855,target,2008-01-10T22:00,1.96185,66
2008-01-15T13:00,short,1.96385,stopped,2008-01-15T14:00,1.96835,-90
2008-01-22T15:00,short,1.95230,stopped,2008-01-22T17:00,1.95995,-153
2008-01-25T05:00,short,1.97745,stopped,2008-01-25T06:00,1.97845,-20
2008-02-11T21:00,short,1.95014,stopped,2008-02-11T23:00,1.95128,-23
2008-02-11T23:00,short,1.95087,target,2008-02-12T01:00,1.95003,17
2008-02-12T14:00,short,1.95012,stopped,2008-02-12T16:00,1.95389,-75
2008-02-19T12:00,long,1.94849,target,2008-02-19T13:00,1.95160,62
2008-02-20T10:00,long,1.94863,stopped,2008-02-20T11:00,1.94513,-70
2008-02-27T15:00,short,1.98480,stopped,2008-02-27T16:00,1.98821,-68
2008-03-03T17:00,short,1.98248,stopped,2008-03-05T18:00,1.99378,-226
2008-03-11T00:00,long,2.01072,stopped,2008-03-11T09:00,2.00490,-116
2008-03-11T09:00,long,2.00759,target,2008-03-11T10:00,2.01068,62
2008-03-14T16:00,short,2.03681,target,2008-03-14T17:00,2.03396,57
2008-03-20T17:00,long,1.98215,target,2008-03-20T23:00,1.98613,80
2008-03-24T19:00,short,1.98549,stopped,2008-03-24T23:00,1.98782,-47
2008-04-24T09:00,long,1.97804,target,2008-04-24T10:00,1.98136,66
2008-05-02T17:00,long,1.97487,stopped,2008-05-05T13:00,1.97044,-89
2008-05-13T17:00,long,1.94654,stopped,2008-05-13T18:00,1.94254,-80
2008-05-13T18:00,long,1.94699,stopped,2008-05-14T09:00,1.94187,-102
2008-05-27T23:00,long,1.97669,stopped,2008-05-28T00:00,1.97534,-27
2008-05-28T15:00,long,1.97347,target,2008-05-28T16:00,1.97655,62
2008-06-13T10:00,long,1.94353,target,2008-06-13T11:00,1.94417,13
2008-06-13T15:00,long,1.94412,stopped,2008-06-13T16:00,1.94110,-61
2008-06-17T11:00,short,1.96062,target,2008-06-17T13:00,1.95155,181
2008-06-23T09:00,long,1.97187,stopped,2008-06-23T10:00,1.96957,-46
2008-06-25T16:00,short,1.97168,target,2008-06-25T17:00,1.97010,32
2008-06-30T10:00,short,1.99435,target,2008-06-30T13:00,1.99216,44
2008-07-04T12:00,long,1.98253,stopped,2008-07-07T04:00,1.97938,-63
2008-07-14T20:00,short,1.99420,stopped,2008-07-15T03:00,1.99646,-45
2008-07-17T21:00,long,1.99898,target,2008-07-17T23:00,2.00309,82
2008-07-22T10:00,short,2.00284,stopped,2008-07-22T12:00,2.00448,-33
2008-07-30T16:00,long,1.97722,target,2008-07-30T18:00,1.97991,54
2008-08-06T14:00,long,1.95456,stopped,2008-08-06T15:00,1.95201,-51
2008-08-11T09:00,long,1.91718,target,2008-08-11T10:00,1.92057,68
2008-08-18T05:00,short,1.86632,stopped,2008-08-18T06:00,1.87068,-87
