date,direction,entry,target_or_stop,exit_date,exit,ticks
2007-12-07T09:00,short,0.77710,stopped,2007-12-07T10:00,0.77872,-16
2007-12-11T23:00,long,0.77304,target,2007-12-12T00:00,0.77459,15
2007-12-18T02:00,long,0.75342,target,2007-12-18T04:00,0.75518,18
2007-12-20T21:00,short,0.75837,stopped,2007-12-20T22:00,0.75973,-14
2008-01-07T22:00,long,0.76705,target,2008-01-07T23:00,0.76927,22
2008-01-09T06:00,long,0.76830,target,2008-01-09T07:00,0.76940,11
2008-01-14T09:00,short,0.78710,stopped,2008-01-14T11:00,0.78860,-15
2008-01-23T23:00,short,0.76620,target,2008-01-24T01:00,0.76350,27
2008-01-28T15:00,short,0.77240,stopped,2008-01-28T17:00,0.77540,-30
2008-01-28T18:00,short,0.77470,stopped,2008-01-28T19:00,0.77670,-20
2008-02-25T16:00,short,0.80937,stopped,2008-02-25T17:00,0.81120,-18
2008-03-11T02:00,long,0.78901,target,2008-03-11T04:00,0.79047,15
2008-03-12T08:00,short,0.80247,stopped,2008-03-12T17:00,0.80537,-29
2008-03-13T00:00,short,0.80583,stopped,2008-03-13T02:00,0.80869,-29
2008-03-13T05:00,short,0.80612,target,2008-03-13T06:00,0.80306,31
2008-03-17T00:00,long,0.81555,stopped,2008-03-17T04:00,0.81019,-54
2008-03-19T22:00,long,0.79987,stopped,2008-03-20T02:00,0.79715,-27
2008-04-02T01:00,short,0.78724,target,2008-04-02T02:00,0.78652,7
2008-04-02T03:00,short,0.78666,stopped,2008-04-02T06:00,0.78837,-17
2008-04-15T12:00,long,0.78650,stopped,2008-04-15T14:00,0.78437,-21
2008-04-18T18:00,long,0.78687,target,2008-04-18T20:00,0.78852,16
2008-04-30T02:00,long,0.77372,target,2008-04-30T04:00,0.77474,10
2008-05-02T18:00,short,0.78231,target,2008-05-02T20:00,0.78025,21
2008-05-14T00:00,long,0.76414,stopped,2008-05-14T01:00,0.76327,-9
2008-05-23T17:00,short,0.78850,target,2008-05-23T21:00,0.78664,19
2008-06-04T01:00,long,0.78033,target,2008-06-04T02:00,0.78067,3
2008-06-12T10:00,long,0.75309,stopped,2008-06-12T14:00,0.75087,-22
2008-06-20T17:00,short,0.76164,target,2008-06-23T13:00,0.75853,31
2008-06-25T10:00,long,0.75577,target,2008-06-25T11:00,0.75696,12
2008-06-26T20:00,long,0.75511,target,2008-06-26T21:00,0.75593,8
