date,direction,entry,target_or_stop,exit_date,exit,ticks,could_of_been_better
2016-08-05T16:00,short,0.84743,stopped,2007-12-03T12:00,0.85056,-63,27
2007-12-04T00:00,long,1.00004,target,2007-12-04T02:00,1.00138,27,5
2007-12-06T20:00,long,1.01152,stopped,2007-12-06T23:00,1.00771,-76,72
2007-12-07T02:00,long,1.00960,target,2007-12-07T11:00,1.01319,72,21
2007-12-20T00:00,long,1.00231,stopped,2007-12-20T05:00,1.00100,-26,19
2007-12-24T04:00,long,0.99199,target,2007-12-24T08:00,0.99333,27,4
2007-12-28T14:00,long,0.97950,stopped,2007-12-28T16:00,0.97790,-32,31
2008-01-22T15:00,long,1.03615,stopped,2008-01-22T17:00,1.02505,-222,220
2008-02-06T02:00,short,1.00775,target,2008-02-06T04:00,1.00725,10,2
2008-03-12T07:00,long,0.99108,stopped,2008-03-12T11:00,0.98906,-40,35
2008-04-02T10:00,long,1.02178,stopped,2008-04-02T12:00,1.01943,-47,45
2008-04-10T17:00,short,1.01948,target,2008-04-10T19:00,1.01665,57,4
2008-04-28T01:00,long,1.01310,stopped,2008-04-28T02:00,1.01225,-17,16
2008-05-09T12:00,long,1.00891,stopped,2008-05-09T14:00,1.00720,-34,8
2008-05-12T15:00,long,1.00548,target,2008-05-12T16:00,1.00670,24,12
2008-05-23T12:00,short,0.98698,target,2008-05-23T15:00,0.98568,26,19
2008-05-28T01:00,short,0.99380,target,2008-05-28T05:00,0.99288,18,20
2008-05-30T11:00,short,0.99047,target,2008-05-30T14:00,0.98861,37,32
2008-06-02T16:00,short,0.99709,stopped,2008-06-02T17:00,0.99862,-30,24
2008-06-04T04:00,short,1.00892,stopped,2008-06-04T06:00,1.00973,-16,14
2008-06-09T12:00,short,1.01955,stopped,2008-06-09T15:00,1.02197,-48,47
2008-06-18T21:00,long,1.01826,stopped,2008-06-19T05:00,1.01661,-33,32
2008-06-20T15:00,long,1.01463,target,2008-06-20T16:00,1.01892,86,6
2008-06-27T00:00,short,1.01357,target,2008-06-27T03:00,1.01278,16,4
2008-07-07T06:00,short,1.01985,target,2008-07-07T07:00,1.01924,12,7
2008-07-08T18:00,short,1.02045,target,2008-07-09T08:00,1.01781,53,26
2008-07-10T03:00,long,1.01147,target,2008-07-10T10:00,1.01347,40,2
2008-07-14T01:00,long,1.00834,target,2008-07-14T03:00,1.00989,31,10
2008-07-17T17:00,long,1.00025,target,2008-07-17T20:00,1.00266,48,14
2008-07-29T14:00,short,1.02370,target,2008-07-29T15:00,1.02212,32,24
2008-07-31T14:00,long,1.02247,target,2008-07-31T15:00,1.02367,24,1
2008-08-01T12:00,short,1.02547,stopped,2008-08-01T15:00,1.02723,-35,34
2008-08-08T00:00,short,1.05266,stopped,2008-08-08T03:00,1.05397,-26,25
2008-08-12T09:00,short,1.06968,target,2008-08-12T15:00,1.06666,61,45
2008-08-13T10:00,long,1.06442,target,2008-08-13T12:00,1.06750,62,8
2008-08-19T00:00,short,1.06450,stopped,2008-08-19T01:00,1.06491,-8,7
