date,direction,entry,target_or_stop,exit_date,exit,ticks
2007-12-04T00:00,short,1.00004,stopped,2007-12-04T02:00,1.00138,-27
2007-12-06T20:00,short,1.01152,target,2007-12-06T23:00,1.00771,76
2007-12-07T02:00,short,1.00960,stopped,2007-12-07T11:00,1.01319,-72
2007-12-20T00:00,short,1.00231,target,2007-12-20T05:00,1.00100,26
2007-12-24T04:00,short,0.99199,stopped,2007-12-24T08:00,0.99333,-27
2007-12-28T14:00,short,0.97950,target,2007-12-28T16:00,0.97790,32
2008-01-22T15:00,short,1.03615,target,2008-01-22T17:00,1.02505,222
2008-02-06T02:00,long,1.00775,stopped,2008-02-06T04:00,1.00725,-10
2008-03-12T07:00,short,0.99108,target,2008-03-12T11:00,0.98906,40
2008-04-02T10:00,short,1.02178,target,2008-04-02T12:00,1.01943,47
2008-04-10T17:00,long,1.01948,stopped,2008-04-10T19:00,1.01665,-57
2008-04-28T01:00,short,1.01310,target,2008-04-28T02:00,1.01225,17
2008-05-09T12:00,short,1.00891,target,2008-05-09T14:00,1.00720,34
2008-05-12T15:00,short,1.00548,stopped,2008-05-12T16:00,1.00670,-24
2008-05-23T12:00,long,0.98698,stopped,2008-05-23T15:00,0.98568,-26
2008-05-28T01:00,long,0.99380,stopped,2008-05-28T05:00,0.99288,-18
2008-05-30T11:00,long,0.99047,stopped,2008-05-30T14:00,0.98861,-37
2008-06-02T16:00,long,0.99709,target,2008-06-02T17:00,0.99862,30
2008-06-04T04:00,long,1.00892,target,2008-06-04T06:00,1.00973,16
2008-06-09T12:00,long,1.01955,target,2008-06-09T15:00,1.02197,48
2008-06-18T21:00,short,1.01826,target,2008-06-19T05:00,1.01661,33
2008-06-20T15:00,short,1.01463,stopped,2008-06-20T16:00,1.01892,-86
2008-06-27T00:00,long,1.01357,stopped,2008-06-27T03:00,1.01278,-16
2008-07-07T06:00,long,1.01985,stopped,2008-07-07T07:00,1.01924,-12
2008-07-08T18:00,long,1.02045,stopped,2008-07-09T08:00,1.01781,-53
2008-07-10T03:00,short,1.01147,stopped,2008-07-10T10:00,1.01347,-40
2008-07-14T01:00,short,1.00834,stopped,2008-07-14T03:00,1.00989,-31
2008-07-17T17:00,short,1.00025,stopped,2008-07-17T20:00,1.00266,-48
2008-07-29T14:00,long,1.02370,stopped,2008-07-29T15:00,1.02212,-32
2008-07-31T14:00,short,1.02247,stopped,2008-07-31T15:00,1.02367,-24
2008-08-01T12:00,long,1.02547,target,2008-08-01T15:00,1.02723,35
2008-08-08T00:00,long,1.05266,target,2008-08-08T03:00,1.05397,26
2008-08-12T09:00,long,1.06968,stopped,2008-08-12T15:00,1.06666,-61
2008-08-13T10:00,short,1.06442,stopped,2008-08-13T12:00,1.06750,-62
2008-08-19T00:00,long,1.06450,target,2008-08-19T01:00,1.06491,8
2008-08-19T01:00,long,1.06436,stopped,2008-08-19T04:00,1.06388,-10
2008-08-22T10:00,short,1.04323,stopped,2008-08-22T11:00,1.04460,-27
2008-08-26T00:00,long,1.05062,target,2008-08-26T02:00,1.05216,31
2008-09-11T01:00,long,1.07301,target,2008-09-11T03:00,1.07475,35
2008-09-17T04:00,short,1.06732,stopped,2008-09-17T06:00,1.06882,-30
2008-09-19T01:00,short,1.06162,stopped,2008-09-19T13:00,1.06569,-81
2008-09-22T14:00,short,1.04914,target,2008-09-22T16:00,1.04301,123
2008-09-23T14:00,short,1.03418,target,2008-09-23T16:00,1.03142,55
2008-09-29T04:00,long,1.03604,target,2008-09-29T08:00,1.03777,34
2008-09-30T00:00,long,1.04550,target,2008-09-30T01:00,1.04622,14
2008-10-06T01:00,long,1.08314,target,2008-10-06T02:00,1.08501,37
2008-10-09T00:00,long,1.12615,stopped,2008-10-09T05:00,1.12306,-62
2008-10-20T10:00,short,1.17724,stopped,2008-10-20T11:00,1.18044,-64
2008-10-23T11:00,long,1.25602,target,2008-10-23T12:00,1.26024,84
2008-11-04T00:00,short,1.18141,stopped,2008-11-04T03:00,1.18451,-62
2008-11-07T01:00,long,1.19733,target,2008-11-07T03:00,1.19899,33
2008-11-10T13:00,short,1.17389,stopped,2008-11-10T16:00,1.18215,-165
2008-11-11T03:00,long,1.19873,stopped,2008-11-11T04:00,1.19831,-8
2008-11-28T04:00,long,1.23616,stopped,2008-11-28T05:00,1.23489,-25
2008-12-01T10:00,long,1.24225,target,2008-12-01T12:00,1.24713,98
2008-12-01T15:00,long,1.24622,stopped,2008-12-01T16:00,1.24310,-62
2008-12-04T16:00,long,1.26284,stopped,2008-12-04T18:00,1.25777,-101
2008-12-04T18:00,long,1.25418,target,2008-12-04T20:00,1.26900,296
2008-12-10T09:00,short,1.25786,target,2008-12-11T08:00,1.24866,184
2008-12-11T09:00,short,1.25095,stopped,2008-12-11T10:00,1.25380,-57
2008-12-18T00:00,short,1.19167,stopped,2008-12-18T01:00,1.19272,-21
2008-12-18T01:00,short,1.19235,target,2008-12-18T07:00,1.18960,55
2008-12-31T01:00,short,1.21512,stopped,2008-12-31T04:00,1.21956,-89
2008-12-31T18:00,long,1.22423,stopped,2009-01-02T17:00,1.21144,-256
2009-01-06T12:00,short,1.19244,target,2009-01-06T15:00,1.18483,152
2009-01-08T23:00,short,1.17980,stopped,2009-01-09T02:00,1.18255,-55
2009-01-12T12:00,long,1.19409,target,2009-01-12T13:00,1.19831,84
2009-01-14T05:00,short,1.21715,target,2009-01-14T07:00,1.21424,58
2009-01-15T00:00,long,1.24789,stopped,2009-01-15T01:00,1.24611,-36
2009-01-15T15:00,long,1.24714,target,2009-01-15T16:00,1.25254,108
2009-01-21T10:00,long,1.26473,target,2009-01-21T18:00,1.27269,159
2009-01-22T00:00,short,1.25584,stopped,2009-01-22T01:00,1.25746,-32
2009-02-04T08:00,short,1.23299,stopped,2009-02-04T09:00,1.23840,-108
2009-02-09T01:00,short,1.22214,target,2009-02-09T02:00,1.21781,87
2009-02-20T19:00,short,1.25487,target,2009-02-23T09:00,1.24213,255
2009-03-04T17:00,short,1.28510,target,2009-03-04T18:00,1.28012,100
2009-03-19T10:00,short,1.24425,target,2009-03-19T11:00,1.24105,64
2009-03-24T03:00,short,1.22089,stopped,2009-03-24T06:00,1.22163,-15
2009-04-21T00:00,long,1.23860,stopped,2009-04-21T01:00,1.23743,-23
2009-04-24T00:00,short,1.22354,stopped,2009-04-24T01:00,1.22515,-32
2009-04-28T00:00,long,1.21943,stopped,2009-04-28T03:00,1.21716,-45
2009-05-05T01:00,short,1.17254,stopped,2009-05-05T02:00,1.17327,-15
2009-05-07T00:00,short,1.16733,target,2009-05-07T04:00,1.16525,41
2009-05-12T01:00,long,1.16479,target,2009-05-12T04:00,1.16745,53
2009-05-14T14:00,long,1.17529,target,2009-05-14T15:00,1.17820,58
2009-05-14T15:00,long,1.17517,stopped,2009-05-14T16:00,1.17148,-74
2009-05-18T18:00,short,1.16571,target,2009-05-18T19:00,1.16147,85
2009-05-21T11:00,short,1.14383,target,2009-05-22T02:00,1.13473,182
2009-05-26T19:00,short,1.12054,target,2009-05-26T20:00,1.11930,25
2009-05-27T03:00,short,1.11568,stopped,2009-05-27T05:00,1.11705,-27
2009-06-09T03:00,short,1.11479,stopped,2009-06-09T05:00,1.11582,-21
2009-06-18T10:00,short,1.13253,target,2009-06-18T17:00,1.12697,111
2009-06-23T04:00,long,1.15405,target,2009-06-23T08:00,1.15576,34
2009-06-25T00:00,long,1.15555,stopped,2009-06-25T09:00,1.15270,-57
2009-07-08T03:00,long,1.16536,stopped,2009-07-08T07:00,1.16251,-57
2009-07-13T16:00,short,1.16501,target,2009-07-13T18:00,1.15953,110
2009-07-14T09:00,short,1.15164,target,2009-07-14T10:00,1.14958,41
2009-08-12T19:00,short,1.08859,stopped,2009-08-12T21:00,1.09237,-76
2009-08-20T00:00,short,1.09512,stopped,2009-08-20T03:00,1.09646,-27
2009-08-25T16:00,short,1.07635,stopped,2009-08-25T17:00,1.08090,-91
2009-08-26T00:00,long,1.08630,target,2009-08-26T02:00,1.08740,22
2009-08-27T18:00,long,1.09620,stopped,2009-08-27T21:00,1.09036,-117
2009-09-09T14:00,long,1.08010,stopped,2009-09-09T15:00,1.07659,-70
