date,direction,entry,target_or_stop,exit_date,exit,ticks
2007-12-04T09:00,long,1.12810,target,2007-12-04T10:00,1.12985,35
2007-12-06T18:00,short,1.12778,stopped,2007-12-06T21:00,1.13021,-49
2007-12-10T01:00,long,1.12809,target,2007-12-10T02:00,1.12869,12
2007-12-17T15:00,short,1.15406,stopped,2007-12-17T16:00,1.15562,-31
2007-12-20T23:00,short,1.15819,stopped,2007-12-21T00:00,1.15934,-23
2007-12-21T16:00,long,1.15478,stopped,2007-12-21T17:00,1.15415,-13
2007-12-21T17:00,long,1.15639,stopped,2007-12-26T12:00,1.15393,-49
2007-12-27T14:00,long,1.14979,stopped,2007-12-27T15:00,1.14894,-17
2008-01-04T09:00,long,1.11213,target,2008-01-04T12:00,1.11420,41
2008-01-08T05:00,short,1.11753,target,2008-01-08T09:00,1.11613,28
2008-01-08T14:00,long,1.11615,stopped,2008-01-08T16:00,1.11397,-44
2008-01-10T00:00,short,1.11655,target,2008-01-10T02:00,1.11585,14
2008-01-24T17:00,long,1.08820,stopped,2008-01-24T19:00,1.08665,-31
2008-02-04T09:00,short,1.08825,stopped,2008-02-04T11:00,1.09075,-50
2008-02-13T10:00,short,1.10327,target,2008-02-13T12:00,1.10215,22
2008-02-13T14:00,short,1.10354,stopped,2008-02-13T15:00,1.10494,-28
2008-02-14T15:00,long,1.10417,stopped,2008-02-14T18:00,1.10071,-69
2008-02-15T10:00,long,1.09828,stopped,2008-02-15T11:00,1.09639,-38
2008-03-05T20:00,long,1.03513,target,2008-03-06T00:00,1.03685,34
2008-03-19T00:00,short,1.00188,target,2008-03-19T02:00,0.99853,67
2008-03-25T06:00,long,1.01294,stopped,2008-03-25T13:00,1.00963,-66
2008-03-28T16:00,short,0.99623,target,2008-03-31T00:00,0.99285,68
2008-04-03T17:00,short,1.01120,target,2008-04-04T15:00,1.00564,111
2008-04-04T15:00,long,1.00954,stopped,2008-04-04T16:00,1.00364,-118
2008-04-11T08:00,short,1.00645,target,2008-04-11T09:00,1.00401,49
2008-04-22T12:00,long,1.00821,target,2008-04-22T13:00,1.01034,43
2008-04-25T14:00,short,1.03682,target,2008-04-25T16:00,1.03463,44
2008-04-29T09:00,short,1.03567,stopped,2008-04-29T10:00,1.03720,-31
2008-05-07T09:00,short,1.05369,stopped,2008-05-07T13:00,1.05580,-42
2008-05-08T08:00,short,1.05869,target,2008-05-08T09:00,1.05755,23
2008-05-21T08:00,long,1.03605,target,2008-05-21T09:00,1.03738,27
2008-05-27T13:00,short,1.02567,stopped,2008-05-27T16:00,1.02836,-54
2008-06-03T17:00,short,1.04363,target,2008-06-04T11:00,1.03836,105
2008-06-09T14:00,long,1.02036,target,2008-06-09T16:00,1.02437,80
2008-06-12T01:00,long,1.03117,stopped,2008-06-12T02:00,1.03033,-17
2008-06-18T13:00,short,1.04500,target,2008-06-18T14:00,1.04328,34
2008-06-19T15:00,short,1.04457,target,2008-06-20T08:00,1.04176,56
2008-06-23T23:00,short,1.04546,target,2008-06-24T00:00,1.04467,16
2008-06-27T03:00,long,1.02402,target,2008-06-27T07:00,1.02610,42
2008-06-30T17:00,long,1.01866,target,2008-06-30T18:00,1.02109,49
2008-07-01T10:00,short,1.02052,target,2008-07-01T12:00,1.01828,45
2008-07-02T22:00,long,1.01425,target,2008-07-03T05:00,1.01543,24
2008-07-03T10:00,long,1.01438,stopped,2008-07-03T13:00,1.01268,-34
2008-07-16T23:00,short,1.01735,stopped,2008-07-17T01:00,1.01849,-23
2008-07-17T01:00,short,1.01769,target,2008-07-17T03:00,1.01663,21
2008-07-23T10:00,short,1.03201,stopped,2008-07-23T11:00,1.03460,-52
2008-07-24T11:00,short,1.03775,target,2008-07-25T06:00,1.03517,52
2008-07-29T04:00,long,1.03317,target,2008-07-29T07:00,1.03401,17
2008-07-29T11:00,long,1.03409,target,2008-07-29T14:00,1.03651,48
2008-07-30T13:00,short,1.04731,target,2008-07-30T14:00,1.04672,12
