date,direction,entry,target_or_stop,exit_date,exit,ticks,could_of_been_better
2007-12-10T14:00,short,111.75400,target,2007-12-10T16:00,111.62310,26,7
2007-12-27T00:00,short,114.25550,stopped,2007-12-27T02:00,114.35861,-21,20
2007-12-27T16:00,long,114.20750,stopped,2007-12-27T18:00,113.91390,-59,55
2008-01-09T00:00,long,108.94000,target,2008-01-09T02:00,109.07011,26,22
2008-01-22T20:00,short,106.63001,stopped,2008-01-23T01:00,107.04009,-82,80
2008-01-25T00:00,short,107.12000,target,2008-01-25T02:00,107.01009,22,18
2008-01-31T00:00,long,106.27000,stopped,2008-01-31T01:00,106.12991,-28,28
2008-02-27T00:00,long,107.30949,stopped,2008-02-27T04:00,107.15340,-31,29
2008-03-14T16:00,long,100.14750,stopped,2008-03-14T20:00,99.56840,-116,111
2008-04-04T15:00,long,102.46600,stopped,2008-04-04T17:00,101.58940,-175,166
2008-04-28T05:00,short,104.66050,target,2008-04-28T07:00,104.49560,33,16
2008-04-29T00:00,long,104.20350,stopped,2008-04-29T03:00,104.05640,-29,29
2008-04-29T03:00,long,104.15400,target,2008-04-29T04:00,104.26910,23,4
2008-06-03T17:00,short,105.24900,target,2008-06-03T20:00,104.91960,66,22
2008-06-06T18:00,long,105.34150,stopped,2008-06-06T21:00,105.13240,-42,37
2008-06-09T17:00,short,106.06450,stopped,2008-06-09T23:00,106.33911,-55,55
2008-06-09T23:00,short,106.30550,stopped,2008-06-10T00:00,106.36710,-12,12
2008-06-10T00:00,short,106.29450,stopped,2008-06-10T02:00,106.37460,-16,16
2008-06-10T02:00,short,106.33150,target,2008-06-10T03:00,106.28660,9,1
2008-06-11T02:00,short,107.33000,stopped,2008-06-11T07:00,107.46760,-28,27
2008-06-18T13:00,short,108.24451,target,2008-06-18T16:00,108.05662,38,15
2008-06-23T00:00,long,107.21050,target,2008-06-23T01:00,107.30159,18,1
2008-06-25T21:00,short,107.91350,target,2008-06-26T17:00,107.40859,101,54
2008-07-03T03:00,long,105.98900,target,2008-07-03T11:00,106.19859,42,14
2008-07-03T16:00,short,106.51950,stopped,2008-07-07T04:00,106.92610,-81,80
2008-07-28T01:00,short,107.84250,stopped,2008-07-28T03:00,107.95260,-22,22
2008-07-29T04:00,long,107.39350,stopped,2008-07-29T05:00,107.33390,-12,10
2008-07-31T15:00,short,107.72650,stopped,2008-08-05T21:00,108.37710,-130,123
2008-08-06T09:00,short,108.33600,stopped,2008-08-06T12:00,108.55010,-43,39
2008-08-13T00:00,long,109.30100,stopped,2008-08-13T01:00,109.22290,-16,14
2008-08-21T03:00,long,109.72300,stopped,2008-08-21T07:00,109.56340,-32,29
2008-09-10T00:00,long,106.82100,target,2008-09-10T01:00,106.97610,31,28
2008-09-10T15:00,long,107.44550,stopped,2008-09-11T14:00,106.60240,-169,161
2008-10-06T03:00,long,104.61950,stopped,2008-10-06T06:00,104.25040,-74,72
2008-10-08T06:00,long,101.29950,stopped,2008-10-08T07:00,101.07990,-44,43
2008-10-17T04:00,short,101.63100,target,2008-10-17T08:00,101.43810,39,16
2008-10-22T00:00,long,100.36950,stopped,2008-10-22T03:00,100.06090,-62,49
2008-10-22T03:00,long,100.42250,stopped,2008-10-22T06:00,99.97940,-89,88
2008-10-24T06:00,long,96.15950,stopped,2008-10-24T08:00,95.32940,-166,144
2008-10-29T00:00,short,98.17550,target,2008-10-29T06:00,96.63909,307,63
2008-11-06T00:00,long,97.98400,target,2008-11-06T01:00,98.21110,45,10
2008-11-07T21:00,short,98.07401,stopped,2008-11-09T23:00,98.68360,-122,80
2008-11-20T00:00,long,95.76800,target,2008-11-20T01:00,95.96760,40,0
2008-11-25T00:00,short,97.08450,target,2008-11-25T02:00,96.73611,70,1
2008-11-26T17:00,long,95.05750,target,2008-11-26T18:00,95.50309,89,34
2008-11-28T17:00,short,95.28900,target,2008-12-01T10:00,94.83460,91,86
