date,direction,entry,target_or_stop,exit_date,exit,ticks
2007-12-04T10:00,short,1.65307,target,2007-12-04T12:00,1.64883,42
2007-12-06T17:00,short,1.64972,stopped,2007-12-06T19:00,1.65187,-21
2007-12-07T13:00,short,1.65374,stopped,2007-12-07T14:00,1.65477,-10
2007-12-20T21:00,long,1.65868,target,2007-12-20T23:00,1.65983,12
2008-01-14T12:00,long,1.62595,stopped,2008-01-15T03:00,1.62300,-30
2008-01-21T04:00,long,1.60575,target,2008-01-21T05:00,1.60635,6
2008-02-01T16:00,long,1.60485,target,2008-02-01T21:00,1.60895,41
2008-02-02T00:00,short,1.61215,target,2008-02-04T01:00,1.61115,10
2008-02-15T01:00,long,1.60677,target,2008-02-15T11:00,1.60891,21
2008-02-27T09:00,long,1.61046,stopped,2008-02-27T13:00,1.60751,-29
2008-02-28T08:00,long,1.60598,stopped,2008-02-28T09:00,1.60545,-5
2008-03-05T19:00,short,1.58159,stopped,2008-03-06T05:00,1.58551,-39
2008-03-14T16:00,long,1.57155,stopped,2008-03-14T20:00,1.56656,-50
2008-03-19T00:00,short,1.56667,target,2008-03-19T02:00,1.56405,26
2008-03-20T19:00,long,1.55913,stopped,2008-03-20T23:00,1.55521,-39
2008-03-27T06:00,long,1.56638,target,2008-03-27T08:00,1.56749,11
2008-03-31T18:00,long,1.56815,target,2008-04-01T08:00,1.56984,17
2008-04-02T00:00,short,1.58050,target,2008-04-02T02:00,1.57958,9
2008-04-10T04:00,long,1.58321,stopped,2008-04-10T06:00,1.58130,-19
2008-04-22T09:00,long,1.60415,target,2008-04-22T10:00,1.60652,24
2008-04-28T11:00,long,1.61605,target,2008-04-28T15:00,1.61845,24
2008-04-29T13:00,long,1.61635,stopped,2008-04-29T17:00,1.61351,-28
2008-05-28T13:00,short,1.62276,stopped,2008-05-28T14:00,1.62371,-9
2008-06-13T14:00,short,1.61168,stopped,2008-06-16T09:00,1.61479,-31
2008-06-16T10:00,short,1.61355,target,2008-06-16T11:00,1.61228,13
2008-06-25T22:00,short,1.62266,stopped,2008-06-26T09:00,1.62470,-20
2008-07-10T14:00,short,1.62212,target,2008-07-10T15:00,1.62074,14
2008-07-15T00:00,long,1.61700,stopped,2008-07-15T03:00,1.61611,-9
2008-07-25T07:00,long,1.62347,target,2008-07-25T09:00,1.62467,12
2008-07-25T17:00,short,1.62917,target,2008-07-25T21:00,1.62741,18
2008-08-04T15:00,short,1.63360,target,2008-08-04T16:00,1.63256,10
2008-08-05T11:00,long,1.63142,target,2008-08-05T11:00,1.63240,10
2008-08-05T11:00,long,1.63142,target,2008-08-05T11:00,1.63240,10
2008-08-05T11:00,long,1.63142,target,2008-08-05T11:00,1.63240,10
2008-08-05T11:00,long,1.63142,target,2008-08-05T11:00,1.63240,10
2008-08-05T11:00,long,1.63142,target,2008-08-05T11:00,1.63240,10
2008-08-05T11:00,long,1.63142,stopped,2008-08-05T12:00,1.63045,-10
2008-08-06T00:00,long,1.62980,target,2008-08-06T03:00,1.63043,6
2008-08-21T00:00,short,1.61993,target,2008-08-21T09:00,1.61854,14
2008-08-26T09:00,long,1.61617,target,2008-08-26T10:00,1.61705,9
2008-08-28T05:00,short,1.61696,target,2008-08-28T07:00,1.61646,5
2008-09-02T22:00,long,1.60621,stopped,2008-09-03T03:00,1.60514,-11
2008-09-03T03:00,long,1.60600,target,2008-09-03T07:00,1.60705,11
2008-09-10T01:00,long,1.59343,target,2008-09-10T06:00,1.59609,27
2008-09-18T00:00,long,1.58158,stopped,2008-09-18T03:00,1.57846,-31
2008-09-18T03:00,long,1.57917,target,2008-09-18T08:00,1.58108,19
2008-09-23T01:00,long,1.58910,target,2008-09-23T05:00,1.59121,21
2008-09-24T08:00,short,1.59528,stopped,2008-09-24T09:00,1.59650,-12
2008-09-25T16:00,long,1.59291,target,2008-09-25T19:00,1.59552,26
2008-09-30T01:00,long,1.57230,target,2008-09-30T10:00,1.57862,63
2008-10-07T09:00,short,1.55112,stopped,2008-10-07T16:00,1.55590,-48
2008-10-15T05:00,long,1.54453,target,2008-10-15T08:00,1.54687,23
2008-10-20T10:00,short,1.53156,target,2008-10-20T14:00,1.52893,26
2008-10-20T19:00,short,1.53222,stopped,2008-10-20T23:00,1.53511,-29
2008-10-27T11:00,long,1.44541,target,2008-10-28T20:00,1.46083,154
2008-11-06T15:00,long,1.50146,stopped,2008-11-07T01:00,1.49429,-72
2008-11-19T05:00,short,1.51969,target,2008-11-19T05:00,1.51935,3
2008-11-19T05:00,short,1.51969,target,2008-11-19T05:00,1.51935,3
2008-11-19T05:00,short,1.51969,target,2008-11-19T05:00,1.51935,3
2008-11-19T05:00,short,1.51969,target,2008-11-19T05:00,1.51935,3
2008-11-19T05:00,short,1.51969,target,2008-11-19T05:00,1.51935,3
2008-11-19T05:00,short,1.51969,target,2008-11-19T05:00,1.51935,3
2008-11-19T05:00,short,1.51969,target,2008-11-19T05:00,1.51935,3
2008-11-19T05:00,short,1.51969,target,2008-11-19T05:00,1.51935,3
2008-11-19T05:00,short,1.51969,target,2008-11-19T05:00,1.51935,3
2008-11-19T05:00,short,1.51969,target,2008-11-19T05:00,1.51935,3
2008-11-19T05:00,short,1.51969,target,2008-11-19T05:00,1.51935,3
2008-11-19T05:00,short,1.51969,target,2008-11-19T05:00,1.51935,3
2008-11-19T05:00,short,1.51969,target,2008-11-19T05:00,1.51935,3
2008-11-19T05:00,short,1.51969,target,2008-11-19T05:00,1.51935,3
2008-11-19T05:00,short,1.51969,target,2008-11-19T05:00,1.51935,3
2008-11-19T05:00,short,1.51969,target,2008-11-19T05:00,1.51935,3
2008-11-19T05:00,short,1.51969,target,2008-11-19T05:00,1.51935,3
2008-11-19T05:00,short,1.51969,target,2008-11-19T05:00,1.51935,3
2008-11-19T05:00,short,1.51969,target,2008-11-19T05:00,1.51935,3
2008-11-19T05:00,short,1.51969,target,2008-11-19T05:00,1.51935,3
2008-11-19T05:00,short,1.51969,target,2008-11-19T05:00,1.51935,3
2008-11-19T05:00,short,1.51969,target,2008-11-19T05:00,1.51935,3
2008-11-19T05:00,short,1.51969,target,2008-11-19T05:00,1.51935,3
2008-11-19T05:00,short,1.51969,target,2008-11-19T05:00,1.51935,3
2008-11-19T05:00,short,1.51969,target,2008-11-19T05:00,1.51935,3
2008-11-19T05:00,short,1.51969,stopped,2008-11-19T06:00,1.52022,-5
2008-11-24T12:00,short,1.53992,stopped,2008-11-24T14:00,1.54356,-36
2008-11-25T00:00,short,1.54495,target,2008-11-25T02:00,1.54270,23
2008-12-05T15:00,short,1.53675,stopped,2008-12-05T16:00,1.54045,-37
2008-12-09T13:00,short,1.55911,stopped,2008-12-09T17:00,1.56210,-30
2008-12-09T17:00,short,1.56005,stopped,2008-12-09T19:00,1.56379,-37
2008-12-09T19:00,short,1.56025,target,2008-12-10T16:00,1.55603,42
2008-12-10T17:00,long,1.55740,stopped,2008-12-10T19:00,1.55479,-26
2008-12-31T18:00,long,1.48601,target,2008-12-31T22:00,1.49611,101
2009-01-09T16:00,short,1.49994,target,2009-01-12T01:00,1.49470,52
2009-01-16T09:00,short,1.48069,target,2009-01-16T10:00,1.47758,31
2009-01-23T10:00,long,1.49422,target,2009-01-23T16:00,1.49909,49
2009-01-26T12:00,short,1.50272,stopped,2009-01-26T15:00,1.50544,-27
2009-01-28T08:00,short,1.50741,target,2009-01-28T09:00,1.50451,29
2009-02-17T09:00,long,1.48492,stopped,2009-02-17T10:00,1.48273,-22
2009-02-18T05:00,long,1.47131,target,2009-02-18T07:00,1.47241,11
2009-03-05T16:00,long,1.47476,stopped,2009-03-05T18:00,1.47258,-22
2009-03-06T02:00,long,1.46905,stopped,2009-03-06T04:00,1.46735,-17
2009-03-09T01:00,short,1.46729,target,2009-03-09T10:00,1.46482,25
2009-03-16T10:00,short,1.53689,stopped,2009-03-16T12:00,1.54137,-45
2009-03-18T14:00,long,1.53288,stopped,2009-03-18T19:00,1.52770,-52
