date,direction,entry,target_or_stop,exit_date,exit,ticks
2007-12-18T16:00,short,163.35800,target,2007-12-18T17:00,163.08311,27
2008-01-09T00:00,long,160.23999,target,2008-01-09T02:00,160.46009,22
2008-01-09T09:00,short,161.42999,target,2008-01-09T10:00,161.19009,24
2008-01-10T17:00,short,161.34000,stopped,2008-01-10T19:00,161.85011,-51
2008-01-18T00:00,long,156.08000,stopped,2008-01-18T01:00,155.92989,-15
2008-01-24T17:00,short,156.91000,stopped,2008-01-24T19:00,157.35011,-44
2008-01-25T00:00,short,158.08000,target,2008-01-25T00:00,157.92011,16
2008-01-25T00:00,short,158.08000,stopped,2008-01-25T01:00,158.24009,-16
2008-02-13T14:00,short,156.88049,stopped,2008-02-13T15:00,157.09010,-21
2008-02-19T13:00,long,158.40151,target,2008-02-19T15:00,158.84562,44
2008-02-20T15:00,long,158.22150,target,2008-02-20T19:00,158.73060,51
2008-02-21T06:00,short,159.11301,stopped,2008-02-21T07:00,159.28910,-18
2008-02-21T09:00,short,159.18550,stopped,2008-02-21T12:00,159.43910,-25
2008-03-10T08:00,long,156.90451,target,2008-03-10T09:00,157.15562,25
2008-03-12T12:00,short,158.58551,target,2008-03-12T21:00,158.03712,55
2008-03-17T00:00,long,155.03250,stopped,2008-03-17T02:00,154.39140,-64
2008-03-24T12:00,short,153.92900,stopped,2008-03-24T15:00,154.41160,-48
2008-04-17T02:00,short,162.33200,stopped,2008-04-17T07:00,162.56709,-24
2008-04-17T07:00,short,162.33200,stopped,2008-04-17T08:00,162.58161,-25
2008-04-23T12:00,short,164.55951,target,2008-04-23T15:00,164.13412,43
2008-04-28T13:00,short,163.66950,target,2008-04-28T15:00,163.45658,21
2008-05-15T12:00,short,162.85350,target,2008-05-15T12:00,162.75210,10
2008-05-15T12:00,short,162.85350,target,2008-05-15T12:00,162.75210,10
2008-05-15T12:00,short,162.85350,target,2008-05-15T12:00,162.75210,10
2008-05-15T12:00,short,162.85350,target,2008-05-15T13:00,162.75210,10
2008-05-19T03:00,short,162.19850,target,2008-05-19T11:00,161.85960,34
2008-05-20T08:00,long,161.63849,target,2008-05-20T09:00,161.81208,17
2008-06-03T03:00,long,162.28650,target,2008-06-03T04:00,162.49259,21
2008-06-09T01:00,long,165.24100,target,2008-06-09T02:00,165.49760,26
2008-06-12T10:00,long,165.88500,target,2008-06-12T13:00,166.12159,24
2008-06-18T08:00,long,167.29251,target,2008-06-18T09:00,167.55962,27
2008-06-19T11:00,long,167.10350,stopped,2008-06-19T12:00,166.90940,-19
2008-07-10T00:00,long,168.09700,stopped,2008-07-10T02:00,167.99441,-10
2008-07-10T20:00,short,168.84300,stopped,2008-07-10T23:00,169.01359,-17
2008-07-11T00:00,short,168.99899,stopped,2008-07-11T01:00,169.07310,-7
2008-07-25T20:00,short,169.31500,stopped,2008-07-28T03:00,169.46009,-15
2008-07-30T04:00,long,168.42999,stopped,2008-07-30T06:00,168.26940,-16
2008-08-04T14:00,short,168.33650,stopped,2008-08-04T15:00,168.44709,-11
2008-08-15T03:00,long,162.25400,target,2008-08-15T04:00,162.50608,25
2008-08-18T03:00,long,162.34351,stopped,2008-08-18T17:00,161.83941,-50
2008-08-19T02:00,long,161.82050,stopped,2008-08-19T03:00,161.59690,-22
2008-08-27T18:00,short,161.13100,stopped,2008-08-28T03:00,161.51310,-38
2008-09-01T01:00,long,159.32100,target,2008-09-01T02:00,159.48560,16
2008-09-10T15:00,long,151.63550,stopped,2008-09-11T02:00,150.15591,-148
2008-09-24T00:00,long,155.22501,target,2008-09-24T09:00,155.99412,77
2008-09-25T17:00,short,156.10100,target,2008-09-25T17:00,155.86509,24
