date,direction,entry,target_or_stop,exit_date,exit,ticks,cumulative_profit
2007-12-05T20:00:00,short,0.87254,target,2007-12-05T21:00:00,0.87044,42,42
2007-12-06T09:00:00,long,0.87308,stopped,2007-12-06T10:00:00,0.87156,-30,12
2007-12-07T00:00:00,long,0.87876,stopped,2007-12-07T02:00:00,0.87788,-17,-5
2007-12-10T00:00:00,short,0.87561,stopped,2007-12-10T09:00:00,0.87851,-58,-63
2007-12-27T00:00:00,long,0.87397,stopped,2007-12-27T02:00:00,0.87347,-10,-73
2007-12-27T02:00:00,long,0.87368,target,2007-12-27T03:00:00,0.87472,21,-52
2007-12-27T15:00:00,short,0.87444,stopped,2007-12-27T18:00:00,0.87728,-57,-109
2007-12-31T18:00:00,long,0.87741,stopped,2007-12-31T23:00:00,0.87487,-51,-160
2008-01-02T17:00:00,long,0.87998,target,2008-01-02T20:00:00,0.88294,59,-101
2008-01-09T17:00:00,long,0.88180,stopped,2008-01-09T20:00:00,0.87930,-50,-151
2008-01-15T04:00:00,long,0.89910,target,2008-01-15T05:00:00,0.90070,32,-119
2008-01-15T15:00:00,long,0.89850,stopped,2008-01-15T17:00:00,0.89630,-44,-163
2008-01-16T00:00:00,short,0.88150,stopped,2008-01-16T04:00:00,0.88490,-68,-231
2008-01-24T11:00:00,long,0.87310,stopped,2008-01-24T12:00:00,0.87090,-44,-275
2008-01-29T00:00:00,long,0.88870,stopped,2008-01-29T01:00:00,0.88790,-16,-291
2008-01-29T09:00:00,long,0.88820,target,2008-01-29T12:00:00,0.88960,28,-263
2008-01-29T20:00:00,long,0.88820,target,2008-01-29T22:00:00,0.88940,24,-239
2008-02-04T05:00:00,long,0.90420,target,2008-02-04T07:00:00,0.90530,22,-217
2008-02-20T08:00:00,short,0.91484,stopped,2008-02-20T09:00:00,0.91641,-31,-248
2008-02-28T05:00:00,long,0.94266,stopped,2008-02-28T07:00:00,0.94136,-26,-274
2008-02-28T15:00:00,long,0.94278,target,2008-02-28T16:00:00,0.94412,27,-247
2008-03-06T03:00:00,long,0.93405,target,2008-03-06T04:00:00,0.93527,24,-223
2008-03-07T00:00:00,short,0.92682,stopped,2008-03-07T01:00:00,0.92905,-45,-268
2008-03-11T00:00:00,short,0.91787,target,2008-03-11T01:00:00,0.91571,43,-225
2008-03-11T06:00:00,short,0.91958,stopped,2008-03-11T11:00:00,0.92338,-76,-301
2008-03-20T03:00:00,short,0.91262,stopped,2008-03-20T06:00:00,0.91632,-74,-375
2008-03-28T17:00:00,short,0.91865,target,2008-03-28T18:00:00,0.91627,48,-327
2008-04-08T13:00:00,long,0.92721,stopped,2008-04-08T15:00:00,0.92537,-37,-364
2008-04-11T19:00:00,short,0.92907,target,2008-04-11T23:00:00,0.92770,27,-337
2008-04-15T02:00:00,long,0.92588,stopped,2008-04-15T04:00:00,0.92469,-24,-361
2008-05-02T04:00:00,short,0.93372,target,2008-05-02T09:00:00,0.92994,75,-286
2008-05-02T15:00:00,short,0.93515,stopped,2008-05-05T08:00:00,0.94047,-106,-392
2008-05-06T00:00:00,long,0.94634,stopped,2008-05-06T01:00:00,0.94601,-7,-399
2008-05-27T10:00:00,short,0.95934,stopped,2008-05-27T11:00:00,0.96064,-26,-425
2008-05-27T12:00:00,long,0.96088,target,2008-05-27T14:00:00,0.96227,28,-397
2008-06-02T09:00:00,short,0.95229,stopped,2008-06-02T12:00:00,0.95454,-45,-442
2008-06-04T01:00:00,short,0.95116,stopped,2008-06-04T02:00:00,0.95186,-14,-456
2008-06-04T15:00:00,long,0.96074,stopped,2008-06-04T16:00:00,0.95972,-20,-476
2008-06-10T07:00:00,short,0.94968,target,2008-06-10T10:00:00,0.94774,39,-437
2008-06-11T08:00:00,short,0.94463,stopped,2008-06-11T09:00:00,0.94583,-24,-461
2008-06-16T20:00:00,long,0.94061,target,2008-06-17T02:00:00,0.94168,21,-440
2008-06-17T04:00:00,long,0.94069,target,2008-06-17T20:00:00,0.94396,65,-375
2008-06-19T08:00:00,long,0.94654,stopped,2008-06-19T12:00:00,0.94521,-27,-402
2008-06-19T14:00:00,long,0.94722,stopped,2008-06-19T15:00:00,0.94672,-10,-412
2008-06-30T03:00:00,long,0.96207,target,2008-06-30T09:00:00,0.96349,28,-384
2008-07-24T01:00:00,short,0.96095,target,2008-07-24T04:00:00,0.95961,27,-357
2008-07-31T23:00:00,short,0.94220,target,2008-08-01T01:00:00,0.94067,31,-326
2008-08-04T00:00:00,short,0.93009,stopped,2008-08-04T05:00:00,0.93184,-35,-361
2008-08-19T04:00:00,short,0.86666,stopped,2008-08-19T07:00:00,0.86999,-67,-428
2008-08-20T17:00:00,long,0.87011,target,2008-08-21T09:00:00,0.87444,86,-342
2008-08-25T12:00:00,short,0.86724,target,2008-08-25T20:00:00,0.86423,60,-282
