date,direction,entry,target_or_stop,exit_date,exit,ticks,cumulative_profit
2007-12-04T10:00:00,long,1.65307,stopped,2007-12-04T12:00:00,1.64883,-85,-85
2007-12-06T17:00:00,long,1.64972,target,2007-12-06T19:00:00,1.65187,43,-42
2007-12-07T13:00:00,long,1.65374,target,2007-12-07T14:00:00,1.65477,21,-21
2007-12-20T21:00:00,short,1.65868,stopped,2007-12-20T23:00:00,1.65983,-23,-44
2007-12-21T18:00:00,long,1.66093,stopped,2007-12-21T20:00:00,1.65977,-23,-67
2007-12-27T17:00:00,short,1.66602,target,2007-12-28T07:00:00,1.66407,39,-28
2008-01-09T14:00:00,short,1.63590,target,2008-01-09T16:00:00,1.63470,24,-4
2008-01-14T12:00:00,short,1.62595,target,2008-01-15T03:00:00,1.62300,59,55
2008-01-21T04:00:00,short,1.60575,stopped,2008-01-21T05:00:00,1.60635,-12,43
2008-01-22T20:00:00,long,1.60575,stopped,2008-01-22T21:00:00,1.60390,-37,6
2008-01-29T02:00:00,long,1.61105,stopped,2008-01-29T03:00:00,1.61035,-14,-8
2008-02-01T16:00:00,short,1.60485,stopped,2008-02-01T20:00:00,1.60895,-82,-90
2008-02-02T00:00:00,long,1.61215,stopped,2008-02-04T01:00:00,1.61115,-20,-110
2008-02-15T01:00:00,short,1.60677,stopped,2008-02-15T11:00:00,1.60891,-43,-153
2008-02-26T23:00:00,short,1.61057,stopped,2008-02-27T00:00:00,1.61178,-24,-177
2008-02-27T09:00:00,short,1.61046,target,2008-02-27T13:00:00,1.60751,59,-118
2008-02-28T08:00:00,short,1.60598,stopped,2008-02-28T09:00:00,1.60652,-11,-129
2008-03-05T19:00:00,long,1.58159,target,2008-03-06T05:00:00,1.58551,78,-51
2008-03-06T07:00:00,long,1.58413,stopped,2008-03-06T09:00:00,1.58278,-27,-78
2008-03-14T16:00:00,short,1.57155,target,2008-03-14T20:00:00,1.56656,100,22
2008-03-19T00:00:00,long,1.56667,stopped,2008-03-19T02:00:00,1.56405,-52,-30
2008-03-20T19:00:00,short,1.55913,target,2008-03-20T23:00:00,1.55521,78,48
2008-03-25T07:00:00,long,1.57455,target,2008-03-25T09:00:00,1.57703,50,98
2008-03-27T06:00:00,short,1.56638,stopped,2008-03-27T08:00:00,1.56749,-22,76
2008-03-28T22:00:00,long,1.57176,stopped,2008-03-30T23:00:00,1.57079,-19,57
2008-03-31T18:00:00,short,1.56815,stopped,2008-04-01T08:00:00,1.56984,-34,23
2008-04-02T00:00:00,long,1.58050,stopped,2008-04-02T02:00:00,1.57958,-18,5
2008-04-10T04:00:00,short,1.58321,target,2008-04-10T06:00:00,1.58130,38,43
2008-04-11T10:00:00,long,1.58641,stopped,2008-04-11T13:00:00,1.58374,-53,-10
2008-04-16T10:00:00,long,1.58960,stopped,2008-04-16T12:00:00,1.58785,-35,-45
2008-04-22T09:00:00,short,1.60415,stopped,2008-04-22T10:00:00,1.60652,-47,-92
2008-04-28T11:00:00,short,1.61605,stopped,2008-04-28T15:00:00,1.61845,-48,-140
2008-04-29T13:00:00,short,1.61635,target,2008-04-29T17:00:00,1.61351,57,-83
2008-05-05T22:00:00,long,1.63171,stopped,2008-05-06T05:00:00,1.63073,-20,-103
2008-05-21T08:00:00,short,1.62365,stopped,2008-05-21T09:00:00,1.62488,-25,-128
2008-05-21T17:00:00,short,1.62279,stopped,2008-05-21T18:00:00,1.62347,-14,-142
2008-05-22T12:00:00,short,1.61862,stopped,2008-05-22T13:00:00,1.61985,-25,-167
2008-05-27T13:00:00,long,1.61651,target,2008-05-27T16:00:00,1.61852,40,-127
2008-05-28T13:00:00,long,1.62276,target,2008-05-28T14:00:00,1.62371,19,-108
2008-06-03T21:00:00,short,1.60911,stopped,2008-06-03T22:00:00,1.61127,-43,-151
2008-06-06T15:00:00,long,1.61820,stopped,2008-06-06T16:00:00,1.61616,-41,-192
2008-06-13T14:00:00,long,1.61168,target,2008-06-16T09:00:00,1.61479,62,-130
2008-06-16T10:00:00,long,1.61355,stopped,2008-06-16T11:00:00,1.61228,-25,-155
2008-06-19T10:00:00,short,1.61227,stopped,2008-06-19T13:00:00,1.61705,-96,-251
2008-06-25T22:00:00,long,1.62266,target,2008-06-26T09:00:00,1.62470,41,-210
