date,direction,entry,target_or_stop,exit_date,exit,ticks,cumulative_profit
2007-12-17T00:00:00,short,0.71450,stopped,2007-12-17T01:00:00,0.71536,-17,-17
2007-12-20T12:00:00,long,0.72019,target,2007-12-20T15:00:00,0.72133,23,6
2008-01-04T09:00:00,long,0.74690,stopped,2008-01-04T11:00:00,0.74526,-33,-27
2008-01-08T17:00:00,short,0.74560,stopped,2008-01-09T09:00:00,0.74679,-24,-51
2008-01-15T09:00:00,long,0.75955,stopped,2008-01-15T11:00:00,0.75795,-32,-83
2008-01-22T14:00:00,short,0.74285,stopped,2008-01-22T15:00:00,0.74435,-30,-113
2008-01-22T17:00:00,long,0.74555,target,2008-01-23T06:00:00,0.74775,44,-69
2008-01-23T15:00:00,long,0.74585,target,2008-01-23T23:00:00,0.74805,44,-25
2008-01-24T00:00:00,long,0.74805,stopped,2008-01-24T02:00:00,0.74745,-12,-37
2008-01-24T09:00:00,long,0.74745,stopped,2008-01-25T06:00:00,0.74605,-28,-65
2008-01-31T00:00:00,long,0.74735,target,2008-01-31T05:00:00,0.74855,24,-41
2008-01-31T15:00:00,long,0.74775,stopped,2008-01-31T16:00:00,0.74715,-12,-53
2008-02-21T00:00:00,long,0.75758,stopped,2008-02-21T04:00:00,0.75729,-6,-59
2008-02-27T08:00:00,long,0.75476,stopped,2008-02-27T10:00:00,0.75383,-18,-77
2008-02-29T00:00:00,long,0.76378,stopped,2008-02-29T02:00:00,0.76327,-10,-87
2008-02-29T08:00:00,long,0.76351,target,2008-02-29T09:00:00,0.76447,19,-68
2008-03-06T12:00:00,long,0.76841,stopped,2008-03-06T14:00:00,0.76770,-14,-82
2008-03-06T15:00:00,short,0.76632,target,2008-03-07T15:00:00,0.76364,54,-28
2008-03-11T00:00:00,long,0.76428,target,2008-03-11T04:00:00,0.76552,25,-3
2008-03-11T09:00:00,long,0.76487,target,2008-03-11T12:00:00,0.76609,24,21
2008-03-12T16:00:00,long,0.76616,stopped,2008-03-13T14:00:00,0.76444,-34,-13
2008-03-14T16:00:00,long,0.76772,target,2008-03-14T18:00:00,0.76971,40,27
2008-03-18T21:00:00,short,0.77863,stopped,2008-03-18T22:00:00,0.77967,-21,6
2008-03-19T19:00:00,long,0.78802,stopped,2008-03-19T20:00:00,0.78699,-21,-15
2008-03-20T16:00:00,short,0.77860,target,2008-03-20T22:00:00,0.77686,35,20
2008-03-20T22:00:00,short,0.77723,target,2008-03-20T23:00:00,0.77641,16,36
2008-03-20T23:00:00,short,0.77750,stopped,2008-03-21T08:00:00,0.77912,-32,4
2008-03-24T04:00:00,short,0.77690,stopped,2008-03-24T10:00:00,0.77763,-15,-11
2008-04-03T11:00:00,long,0.78667,stopped,2008-04-03T14:00:00,0.78252,-83,-94
2008-04-03T23:00:00,short,0.78560,target,2008-04-04T02:00:00,0.78499,12,-82
2008-04-10T14:00:00,long,0.80190,stopped,2008-04-10T15:00:00,0.80092,-19,-101
2008-04-11T22:00:00,long,0.80255,stopped,2008-04-13T23:00:00,0.80184,-14,-115
2008-04-25T09:00:00,short,0.79422,target,2008-04-25T10:00:00,0.79339,16,-99
2008-04-30T03:00:00,long,0.79100,target,2008-04-30T08:00:00,0.79247,29,-70
2008-05-06T20:00:00,long,0.78719,stopped,2008-05-06T22:00:00,0.78658,-12,-82
2008-05-07T15:00:00,long,0.78845,stopped,2008-05-07T18:00:00,0.78741,-21,-103
2008-05-19T01:00:00,long,0.79632,stopped,2008-05-20T17:00:00,0.79461,-34,-137
2008-05-26T11:00:00,long,0.79617,stopped,2008-05-26T19:00:00,0.79516,-20,-157
2008-05-27T09:00:00,long,0.79638,target,2008-05-27T11:00:00,0.79834,39,-118
2008-05-28T01:00:00,short,0.79418,target,2008-05-28T04:00:00,0.79332,17,-101
2008-05-28T04:00:00,short,0.79469,target,2008-05-28T12:00:00,0.79308,32,-69
2008-06-02T07:00:00,long,0.78708,target,2008-06-02T08:00:00,0.78789,16,-53
2008-06-12T08:00:00,short,0.79067,target,2008-06-12T09:00:00,0.78994,14,-39
2008-06-13T06:00:00,long,0.79317,stopped,2008-06-13T07:00:00,0.79288,-6,-45
2008-06-24T17:00:00,long,0.79105,stopped,2008-06-24T23:00:00,0.78997,-22,-67
