date,direction,entry,target_or_stop,exit_date,exit,ticks,cumulative_profit
2007-12-06T18:00:00,short,2.02887,target,2007-12-07T06:00:00,2.02334,111,111
2007-12-07T19:00:00,long,2.02646,target,2007-12-07T20:00:00,2.03140,99,210
2007-12-12T16:00:00,long,2.04724,stopped,2007-12-13T17:00:00,2.03673,-210,0
2007-12-17T18:00:00,short,2.01673,stopped,2007-12-17T19:00:00,2.01884,-42,-42
2007-12-19T09:00:00,short,2.01264,stopped,2007-12-19T10:00:00,2.01597,-67,-109
2007-12-20T09:00:00,short,1.99435,target,2007-12-20T10:00:00,1.99203,46,-63
2007-12-21T20:00:00,short,1.98426,target,2007-12-24T11:00:00,1.98095,66,3
2008-01-10T19:00:00,short,1.95855,stopped,2008-01-10T22:00:00,1.96185,-66,-63
2008-01-15T13:00:00,long,1.96385,target,2008-01-15T15:00:00,1.96835,90,27
2008-01-22T15:00:00,long,1.95230,target,2008-01-22T17:00:00,1.95995,153,180
2008-01-25T05:00:00,long,1.97745,target,2008-01-25T06:00:00,1.97845,20,200
2008-02-11T21:00:00,long,1.95014,target,2008-02-11T23:00:00,1.95128,23,223
2008-02-11T23:00:00,long,1.95087,stopped,2008-02-12T01:00:00,1.95003,-17,206
2008-02-12T14:00:00,long,1.95012,target,2008-02-12T16:00:00,1.95389,75,281
2008-02-19T12:00:00,short,1.94849,stopped,2008-02-19T13:00:00,1.95160,-62,219
2008-02-20T10:00:00,short,1.94863,target,2008-02-20T11:00:00,1.94513,70,289
2008-02-27T15:00:00,long,1.98480,target,2008-02-27T16:00:00,1.98821,68,357
2008-03-03T17:00:00,long,1.98248,target,2008-03-05T18:00:00,1.99378,226,583
2008-03-11T00:00:00,short,2.01072,target,2008-03-11T09:00:00,2.00490,116,699
2008-03-11T09:00:00,short,2.00759,stopped,2008-03-11T10:00:00,2.01068,-62,637
2008-03-14T16:00:00,long,2.03681,stopped,2008-03-14T17:00:00,2.03396,-57,580
2008-03-20T17:00:00,short,1.98215,stopped,2008-03-20T23:00:00,1.98613,-80,500
2008-03-24T19:00:00,long,1.98549,target,2008-03-24T23:00:00,1.98782,47,547
2008-04-24T09:00:00,short,1.97804,stopped,2008-04-24T10:00:00,1.98136,-66,481
2008-05-02T17:00:00,short,1.97487,target,2008-05-05T13:00:00,1.97044,89,570
2008-05-13T17:00:00,short,1.94654,target,2008-05-13T18:00:00,1.94254,80,650
2008-05-13T18:00:00,short,1.94699,target,2008-05-14T09:00:00,1.94187,102,752
2008-05-27T23:00:00,short,1.97669,target,2008-05-28T00:00:00,1.97534,27,779
2008-05-28T15:00:00,short,1.97347,stopped,2008-05-28T16:00:00,1.97655,-62,717
2008-06-13T10:00:00,short,1.94353,stopped,2008-06-13T11:00:00,1.94417,-13,704
2008-06-13T15:00:00,short,1.94412,target,2008-06-13T16:00:00,1.94110,61,765
2008-06-17T11:00:00,long,1.96062,stopped,2008-06-17T13:00:00,1.95155,-181,584
2008-06-23T09:00:00,short,1.97187,target,2008-06-23T10:00:00,1.96957,46,630
2008-06-25T16:00:00,long,1.97168,stopped,2008-06-25T17:00:00,1.97010,-32,598
2008-06-30T10:00:00,long,1.99435,stopped,2008-06-30T13:00:00,1.99216,-44,554
2008-07-04T12:00:00,short,1.98253,target,2008-07-07T04:00:00,1.97938,63,617
2008-07-14T20:00:00,long,1.99420,target,2008-07-15T03:00:00,1.99646,45,662
2008-07-17T21:00:00,short,1.99898,stopped,2008-07-17T23:00:00,2.00309,-82,580
2008-07-22T10:00:00,long,2.00284,target,2008-07-22T12:00:00,2.00448,33,613
2008-07-30T16:00:00,short,1.97722,stopped,2008-07-30T18:00:00,1.97991,-54,559
2008-08-06T14:00:00,short,1.95456,target,2008-08-06T15:00:00,1.95201,51,610
2008-08-11T09:00:00,short,1.91718,stopped,2008-08-11T10:00:00,1.92057,-68,542
2008-08-18T05:00:00,long,1.86632,target,2008-08-18T06:00:00,1.87068,87,629
2008-08-19T05:00:00,short,1.86386,stopped,2008-08-19T07:00:00,1.86546,-32,597
2008-08-20T00:00:00,long,1.86667,stopped,2008-08-20T04:00:00,1.86518,-30,567
2008-08-22T00:00:00,long,1.87763,stopped,2008-08-22T01:00:00,1.87595,-33,534
2008-09-08T19:00:00,short,1.75438,target,2008-09-08T20:00:00,1.75293,29,563
2008-09-15T18:00:00,long,1.78879,target,2008-09-15T22:00:00,1.79644,153,716
2008-09-18T09:00:00,long,1.81942,stopped,2008-09-18T10:00:00,1.81314,-126,590
2008-09-18T15:00:00,long,1.82234,stopped,2008-09-18T16:00:00,1.81704,-106,484
2008-09-25T00:00:00,short,1.84678,stopped,2008-09-25T01:00:00,1.84781,-21,463
2008-10-06T10:00:00,short,1.75799,target,2008-10-06T11:00:00,1.75513,57,520
2008-10-08T10:00:00,long,1.74979,stopped,2008-10-08T17:00:00,1.73397,-316,204
2008-10-09T14:00:00,short,1.73655,target,2008-10-09T17:00:00,1.72528,225,429
2008-10-30T22:00:00,long,1.64519,stopped,2008-10-30T23:00:00,1.64067,-90,339
2008-11-06T14:00:00,short,1.58825,target,2008-11-06T22:00:00,1.57185,328,667
2008-11-11T10:00:00,short,1.55823,stopped,2008-11-11T11:00:00,1.55998,-35,632
2008-11-12T01:00:00,short,1.53831,stopped,2008-11-12T02:00:00,1.54196,-73,559
2008-11-12T11:00:00,short,1.53805,target,2008-11-12T12:00:00,1.53241,113,672
2008-11-21T15:00:00,long,1.49702,stopped,2008-11-21T17:00:00,1.48798,-181,491
2008-11-21T18:00:00,short,1.48129,stopped,2008-11-21T23:00:00,1.49256,-225,266
2008-11-28T18:00:00,short,1.53454,stopped,2008-11-28T21:00:00,1.54077,-124,142
2008-12-23T18:00:00,short,1.47603,target,2008-12-24T12:00:00,1.46719,177,319
2009-01-15T17:00:00,short,1.45644,stopped,2009-01-15T21:00:00,1.46538,-179,140
2009-01-16T02:00:00,long,1.46686,target,2009-01-16T03:00:00,1.46938,50,190
2009-01-21T02:00:00,short,1.38833,stopped,2009-01-21T03:00:00,1.39225,-78,112
2009-01-26T15:00:00,long,1.38806,stopped,2009-01-26T16:00:00,1.38557,-50,62
2009-01-29T06:00:00,short,1.41564,target,2009-01-29T08:00:00,1.41198,73,135
2009-01-29T16:00:00,long,1.42824,target,2009-01-30T17:00:00,1.44134,262,397
2009-02-20T22:00:00,long,1.44261,stopped,2009-02-22T23:00:00,1.43980,-56,341
2009-03-05T00:00:00,long,1.41885,stopped,2009-03-05T01:00:00,1.41763,-24,317
2009-03-12T03:00:00,long,1.38561,target,2009-03-12T05:00:00,1.39122,112,429
2009-03-13T18:00:00,long,1.39568,stopped,2009-03-16T00:00:00,1.38980,-118,311
2009-03-18T20:00:00,short,1.42187,stopped,2009-03-19T14:00:00,1.45009,-564,-253
2009-03-25T14:00:00,short,1.45930,stopped,2009-03-25T15:00:00,1.46417,-97,-350
2009-04-03T03:00:00,long,1.47345,stopped,2009-04-03T04:00:00,1.46967,-76,-426
2009-04-09T12:00:00,short,1.46713,stopped,2009-04-09T15:00:00,1.47161,-90,-516
2009-04-13T03:00:00,short,1.46220,stopped,2009-04-13T04:00:00,1.46398,-36,-552
2009-04-13T08:00:00,long,1.46681,target,2009-04-13T09:00:00,1.46843,32,-520
2009-04-15T10:00:00,short,1.48708,stopped,2009-04-15T11:00:00,1.49196,-98,-618
2009-04-15T12:00:00,long,1.49279,target,2009-04-15T13:00:00,1.49747,94,-524
2009-05-07T02:00:00,long,1.51329,stopped,2009-05-07T03:00:00,1.51085,-49,-573
2009-05-07T05:00:00,long,1.51351,stopped,2009-05-07T06:00:00,1.51165,-37,-610
2009-05-18T06:00:00,short,1.51491,stopped,2009-05-18T10:00:00,1.51740,-50,-660
2009-05-26T09:00:00,long,1.58530,target,2009-05-26T17:00:00,1.59474,189,-471
2009-05-27T04:00:00,long,1.59617,stopped,2009-05-27T08:00:00,1.59449,-34,-505
2009-05-28T13:00:00,short,1.59606,target,2009-05-28T15:00:00,1.59126,96,-409
2009-06-01T00:00:00,long,1.61869,stopped,2009-06-01T01:00:00,1.61754,-23,-432
2009-06-10T19:00:00,long,1.63291,stopped,2009-06-10T20:00:00,1.62897,-79,-511
2009-06-15T14:00:00,short,1.63549,stopped,2009-06-15T15:00:00,1.63827,-56,-567
2009-06-18T12:00:00,short,1.62774,stopped,2009-06-18T18:00:00,1.63682,-182,-749
2009-06-24T21:00:00,long,1.64120,stopped,2009-06-25T10:00:00,1.63415,-141,-890
2009-06-25T22:00:00,short,1.63735,stopped,2009-06-26T02:00:00,1.63887,-30,-920
2009-06-30T02:00:00,long,1.65722,target,2009-06-30T03:00:00,1.66030,62,-858
2009-07-01T14:00:00,short,1.64465,stopped,2009-07-01T15:00:00,1.64735,-54,-912
2009-07-27T03:00:00,short,1.64167,stopped,2009-07-27T06:00:00,1.64519,-70,-982
2009-08-03T09:00:00,long,1.66983,target,2009-08-03T10:00:00,1.67547,113,-869
2009-08-07T05:00:00,short,1.67679,stopped,2009-08-07T08:00:00,1.67923,-49,-918
2009-08-20T11:00:00,long,1.65457,stopped,2009-08-20T13:00:00,1.64808,-130,-1048
2009-08-21T17:00:00,long,1.65074,stopped,2009-08-25T05:00:00,1.63906,-234,-1282
2009-08-27T17:00:00,short,1.61722,stopped,2009-08-27T18:00:00,1.61920,-40,-1322
2009-08-28T09:00:00,long,1.62823,target,2009-08-28T11:00:00,1.63158,67,-1255
2009-09-29T16:00:00,long,1.59275,target,2009-09-30T03:00:00,1.59885,122,-1133
2009-10-01T19:00:00,short,1.59608,target,2009-10-01T22:00:00,1.59270,68,-1065
2009-10-04T23:00:00,long,1.59450,stopped,2009-10-05T00:00:00,1.59326,-25,-1090
2009-10-05T17:00:00,long,1.59442,stopped,2009-10-05T18:00:00,1.59268,-35,-1125
2009-10-05T20:00:00,long,1.59388,target,2009-10-06T05:00:00,1.59650,52,-1073
2009-10-07T17:00:00,short,1.59137,stopped,2009-10-07T20:00:00,1.59697,-112,-1185
2009-10-14T00:00:00,long,1.59183,target,2009-10-14T05:00:00,1.59406,45,-1140
2009-10-22T05:00:00,long,1.66016,stopped,2009-10-22T10:00:00,1.65665,-70,-1210
2009-11-10T08:00:00,short,1.66800,stopped,2009-11-11T09:00:00,1.67599,-160,-1370
2009-11-11T12:00:00,long,1.66282,target,2009-11-16T19:00:00,1.67994,342,-1028
2010-01-04T12:00:00,long,1.61759,stopped,2010-01-04T18:00:00,1.61105,-131,-1159
2010-01-14T09:00:00,long,1.62822,target,2010-01-14T11:00:00,1.63093,54,-1105
2010-01-14T11:00:00,long,1.62825,stopped,2010-01-14T14:00:00,1.62525,-60,-1165
2010-01-15T02:00:00,long,1.63215,stopped,2010-01-15T03:00:00,1.62938,-55,-1220
2010-01-26T01:00:00,long,1.62466,target,2010-01-26T02:00:00,1.62629,33,-1187
2010-01-29T08:00:00,short,1.61495,target,2010-01-29T14:00:00,1.61121,75,-1112
2010-02-03T04:00:00,long,1.59816,target,2010-02-03T07:00:00,1.59980,33,-1079
2010-02-04T09:00:00,short,1.58818,target,2010-02-04T10:00:00,1.58676,28,-1051
2010-02-08T14:00:00,short,1.56030,stopped,2010-02-08T18:00:00,1.56570,-108,-1159
2010-02-10T12:00:00,long,1.56855,stopped,2010-02-10T16:00:00,1.56067,-158,-1317
2010-02-12T10:00:00,long,1.57162,stopped,2010-02-12T11:00:00,1.56917,-49,-1366
2010-02-16T10:00:00,long,1.57097,stopped,2010-02-16T11:00:00,1.56907,-38,-1404
2010-02-17T15:00:00,long,1.57643,stopped,2010-02-17T17:00:00,1.57225,-84,-1488
2010-02-23T17:00:00,short,1.54497,target,2010-02-24T15:00:00,1.54047,90,-1398
2010-03-01T01:00:00,short,1.51801,target,2010-03-01T08:00:00,1.51277,105,-1293
2010-03-08T01:00:00,long,1.51436,target,2010-03-08T04:00:00,1.51698,52,-1241
2010-03-08T16:00:00,long,1.51370,stopped,2010-03-08T17:00:00,1.51057,-63,-1304
2010-03-12T01:00:00,long,1.50659,stopped,2010-03-12T03:00:00,1.50449,-42,-1346
2010-03-12T06:00:00,long,1.50610,stopped,2010-03-12T09:00:00,1.50472,-28,-1374
2010-03-15T13:00:00,short,1.50430,stopped,2010-03-15T15:00:00,1.50674,-49,-1423
2010-03-22T02:00:00,short,1.49940,stopped,2010-03-22T03:00:00,1.50132,-38,-1461
2010-03-24T10:00:00,short,1.49811,target,2010-03-24T12:00:00,1.49594,43,-1418
2010-03-29T03:00:00,long,1.49127,target,2010-03-29T09:00:00,1.49431,61,-1357
2010-04-06T09:00:00,short,1.52434,target,2010-04-06T10:00:00,1.52104,66,-1291
2010-04-12T16:00:00,long,1.53811,stopped,2010-04-13T03:00:00,1.53419,-78,-1369
2010-04-13T11:00:00,short,1.53889,stopped,2010-04-13T13:00:00,1.54317,-86,-1455
2010-04-13T18:00:00,short,1.53696,stopped,2010-04-14T02:00:00,1.53908,-42,-1497
2010-04-16T10:00:00,short,1.54176,stopped,2010-04-16T12:00:00,1.54698,-104,-1601
2010-04-16T19:00:00,short,1.53970,target,2010-04-19T00:00:00,1.53736,47,-1554
2010-04-20T02:00:00,long,1.53321,stopped,2010-04-20T04:00:00,1.53218,-21,-1575
2010-04-20T04:00:00,long,1.53201,stopped,2010-04-20T08:00:00,1.52983,-44,-1619
2010-04-21T13:00:00,long,1.53839,target,2010-04-22T08:00:00,1.54409,114,-1505
2010-05-06T14:00:00,short,1.50770,target,2010-05-06T15:00:00,1.50412,72,-1433
2010-05-20T17:00:00,short,1.43039,stopped,2010-05-20T20:00:00,1.43815,-155,-1588
2010-05-21T12:00:00,long,1.43854,target,2010-05-21T18:00:00,1.44760,181,-1407
2010-05-24T10:00:00,long,1.44647,stopped,2010-05-24T13:00:00,1.44019,-126,-1533
2010-05-26T14:00:00,long,1.43979,stopped,2010-05-26T15:00:00,1.43703,-55,-1588
2010-05-28T13:00:00,long,1.45800,stopped,2010-05-28T15:00:00,1.45492,-62,-1650
2010-06-10T10:00:00,long,1.45725,target,2010-06-10T12:00:00,1.46218,99,-1551
2010-06-10T12:00:00,long,1.45975,target,2010-06-10T13:00:00,1.46296,64,-1487
2010-06-22T00:00:00,short,1.47619,stopped,2010-06-22T04:00:00,1.47869,-50,-1537
2010-06-24T09:00:00,long,1.49603,stopped,2010-06-24T10:00:00,1.49370,-47,-1584
2010-06-29T12:00:00,short,1.50512,stopped,2010-06-29T15:00:00,1.50908,-79,-1663
2010-07-07T11:00:00,short,1.50926,stopped,2010-07-07T12:00:00,1.51047,-24,-1687
2010-07-21T09:00:00,long,1.52355,target,2010-07-21T10:00:00,1.53206,170,-1517
2010-07-27T09:00:00,long,1.55049,stopped,2010-07-27T10:00:00,1.54805,-49,-1566
2010-07-28T11:00:00,long,1.55694,target,2010-07-28T16:00:00,1.56174,96,-1470
2010-08-02T07:00:00,long,1.57181,target,2010-08-02T08:00:00,1.57258,15,-1455
2010-08-31T07:00:00,short,1.54642,target,2010-08-31T08:00:00,1.54528,23,-1432
2010-09-01T16:00:00,long,1.54569,stopped,2010-09-02T08:00:00,1.54227,-68,-1500
2010-09-13T10:00:00,long,1.54624,stopped,2010-09-13T12:00:00,1.54374,-50,-1550
2010-09-28T22:00:00,short,1.57929,stopped,2010-09-28T23:00:00,1.58048,-24,-1574
2010-10-06T10:00:00,long,1.59031,stopped,2010-10-06T14:00:00,1.58667,-73,-1647
2010-10-15T13:00:00,long,1.60430,target,2010-10-15T15:00:00,1.60683,51,-1596
2010-10-15T15:00:00,long,1.60315,stopped,2010-10-18T04:00:00,1.59565,-150,-1746
2010-11-24T22:00:00,short,1.57749,target,2010-11-25T03:00:00,1.57581,34,-1712
