date,direction,entry,target_or_stop,exit_date,exit,ticks,cumulative_profit
2007-12-05T13:00:00,long,0.76444,target,2007-12-05T15:00:00,0.76586,28,28
2007-12-07T09:00:00,long,0.77710,target,2007-12-07T10:00:00,0.77882,34,62
2007-12-11T23:00:00,short,0.77304,stopped,2007-12-12T00:00:00,0.77469,-33,29
2007-12-18T02:00:00,short,0.75342,stopped,2007-12-18T04:00:00,0.75528,-37,-8
2007-12-20T21:00:00,long,0.75837,target,2007-12-20T22:00:00,0.75983,29,21
2008-01-07T22:00:00,short,0.76705,stopped,2008-01-07T23:00:00,0.76937,-47,-26
2008-01-09T06:00:00,short,0.76830,stopped,2008-01-09T07:00:00,0.76950,-24,-50
2008-01-14T09:00:00,long,0.78710,target,2008-01-14T11:00:00,0.78870,32,-18
2008-01-22T07:00:00,short,0.74570,target,2008-01-22T08:00:00,0.74200,74,56
2008-01-23T23:00:00,long,0.76620,stopped,2008-01-24T01:00:00,0.76360,-52,4
2008-01-28T15:00:00,long,0.77240,target,2008-01-28T18:00:00,0.77550,62,66
2008-01-28T18:00:00,long,0.77470,target,2008-01-28T19:00:00,0.77680,42,108
2008-01-29T09:00:00,long,0.77710,stopped,2008-01-29T10:00:00,0.77620,-18,90
2008-01-29T10:00:00,long,0.77680,target,2008-01-29T11:00:00,0.77830,30,120
2008-02-25T16:00:00,long,0.80937,target,2008-02-25T17:00:00,0.81130,39,159
2008-02-27T09:00:00,long,0.81695,target,2008-02-27T10:00:00,0.81786,18,177
2008-03-03T08:00:00,short,0.79939,target,2008-03-03T10:00:00,0.79573,73,250
2008-03-06T16:00:00,long,0.80128,stopped,2008-03-06T20:00:00,0.79806,-64,186
2008-03-11T02:00:00,short,0.78901,stopped,2008-03-11T04:00:00,0.79057,-31,155
2008-03-12T08:00:00,long,0.80247,target,2008-03-12T17:00:00,0.80547,60,215
2008-03-13T00:00:00,long,0.80583,target,2008-03-13T05:00:00,0.80879,59,274
2008-03-13T05:00:00,long,0.80612,stopped,2008-03-13T06:00:00,0.80316,-59,215
2008-03-17T00:00:00,short,0.81555,target,2008-03-17T04:00:00,0.81009,109,324
2008-03-19T22:00:00,short,0.79987,target,2008-03-20T02:00:00,0.79705,56,380
2008-04-02T01:00:00,long,0.78724,stopped,2008-04-02T02:00:00,0.78662,-12,368
2008-04-02T03:00:00,long,0.78666,target,2008-04-02T06:00:00,0.78847,36,404
2008-04-02T12:00:00,long,0.78613,target,2008-04-02T14:00:00,0.78847,47,451
2008-04-10T11:00:00,long,0.79938,target,2008-04-10T12:00:00,0.80077,28,479
2008-04-10T22:00:00,long,0.79997,stopped,2008-04-10T23:00:00,0.79839,-32,447
2008-04-15T12:00:00,short,0.78650,target,2008-04-15T14:00:00,0.78427,45,492
2008-04-18T18:00:00,short,0.78687,stopped,2008-04-18T20:00:00,0.78862,-35,457
2008-04-23T19:00:00,long,0.79869,target,2008-04-23T20:00:00,0.79972,21,478
2008-04-30T02:00:00,short,0.77372,stopped,2008-04-30T04:00:00,0.77484,-23,455
2008-05-02T18:00:00,long,0.78231,stopped,2008-05-02T20:00:00,0.78035,-39,416
2008-05-14T00:00:00,short,0.76414,target,2008-05-14T02:00:00,0.76317,19,435
2008-05-23T17:00:00,long,0.78850,stopped,2008-05-23T21:00:00,0.78674,-35,400
2008-06-04T01:00:00,short,0.78033,target,2008-06-04T02:00:00,0.77989,9,409
2008-06-12T10:00:00,short,0.75309,target,2008-06-12T14:00:00,0.75077,46,455
2008-06-20T17:00:00,long,0.76164,stopped,2008-06-23T13:00:00,0.75863,-60,395
2008-06-25T10:00:00,short,0.75577,stopped,2008-06-25T11:00:00,0.75706,-26,369
2008-06-26T20:00:00,short,0.75511,stopped,2008-06-26T21:00:00,0.75603,-18,351
2008-06-27T04:00:00,short,0.75562,stopped,2008-06-27T06:00:00,0.75716,-31,320
2008-07-03T17:00:00,short,0.75715,target,2008-07-04T02:00:00,0.75520,39,359
2008-07-09T14:00:00,long,0.75340,target,2008-07-09T15:00:00,0.75476,27,386
2008-07-15T01:00:00,long,0.76271,target,2008-07-15T09:00:00,0.76714,89,475
2008-07-21T11:00:00,short,0.76234,target,2008-07-21T16:00:00,0.76063,34,509
2008-08-06T13:00:00,short,0.72286,target,2008-08-06T15:00:00,0.72197,18,527
2008-08-11T06:00:00,short,0.70058,stopped,2008-08-11T10:00:00,0.70305,-50,477
2008-08-12T01:00:00,short,0.69804,stopped,2008-08-12T02:00:00,0.69888,-17,460
2008-08-13T17:00:00,short,0.69582,stopped,2008-08-13T19:00:00,0.69983,-80,380
2008-08-20T03:00:00,long,0.71484,stopped,2008-08-20T04:00:00,0.71365,-24,356
2008-08-22T00:00:00,long,0.72064,stopped,2008-08-22T01:00:00,0.71973,-18,338
2008-08-28T18:00:00,long,0.70175,target,2008-08-29T11:00:00,0.70617,88,426
2008-09-08T18:00:00,long,0.66928,stopped,2008-09-09T05:00:00,0.66340,-118,308
2008-09-16T21:00:00,short,0.65967,stopped,2008-09-17T03:00:00,0.66749,-156,152
2008-09-22T13:00:00,long,0.68740,target,2008-09-22T16:00:00,0.69046,61,213
2008-09-26T01:00:00,short,0.68631,target,2008-09-29T10:00:00,0.67948,137,350
