date,direction,entry,target_or_stop,exit_date,exit,ticks,cumulative_profit
2016-08-05T16:00:00,long,0.84743,target,2007-12-03T12:00:00,0.85056,63,63
2007-12-04T00:00:00,short,1.00004,stopped,2007-12-04T02:00:00,1.00138,-27,36
2007-12-04T12:00:00,long,1.00209,stopped,2007-12-04T13:00:00,1.00011,-40,-4
2007-12-06T20:00:00,short,1.01152,target,2007-12-06T23:00:00,1.00771,76,72
2007-12-07T02:00:00,short,1.00960,stopped,2007-12-07T11:00:00,1.01319,-72,0
2007-12-20T00:00:00,short,1.00231,target,2007-12-20T05:00:00,1.00100,26,26
2007-12-24T04:00:00,short,0.99199,stopped,2007-12-24T08:00:00,0.99333,-27,-1
2007-12-28T14:00:00,short,0.97950,target,2007-12-28T16:00:00,0.97790,32,31
2008-01-22T15:00:00,short,1.03615,target,2008-01-22T17:00:00,1.02505,222,253
2008-02-01T23:00:00,short,0.99535,stopped,2008-02-04T13:00:00,0.99895,-72,181
2008-02-06T02:00:00,long,1.00775,stopped,2008-02-06T04:00:00,1.00725,-10,171
2008-02-06T12:00:00,long,1.00764,stopped,2008-02-06T13:00:00,1.00641,-25,146
2008-02-21T22:00:00,short,1.01135,stopped,2008-02-22T04:00:00,1.01235,-20,126
2008-03-12T07:00:00,short,0.99108,target,2008-03-12T11:00:00,0.98906,40,166
2008-03-12T18:00:00,short,0.99107,target,2008-03-13T09:00:00,0.98763,69,235
2008-03-27T14:00:00,long,1.01989,stopped,2008-03-27T15:00:00,1.01834,-31,204
2008-04-02T10:00:00,short,1.02178,target,2008-04-02T12:00:00,1.01943,47,251
2008-04-08T15:00:00,long,1.01371,target,2008-04-08T17:00:00,1.01499,26,277
2008-04-08T21:00:00,long,1.01247,target,2008-04-09T01:00:00,1.01462,43,320
2008-04-10T17:00:00,long,1.01948,stopped,2008-04-10T19:00:00,1.01665,-57,263
2008-04-28T01:00:00,short,1.01310,target,2008-04-28T02:00:00,1.01225,17,280
2008-05-06T15:00:00,short,1.01329,target,2008-05-06T17:00:00,1.01119,42,322
2008-05-09T12:00:00,short,1.00891,target,2008-05-09T14:00:00,1.00720,34,356
2008-05-12T15:00:00,short,1.00548,stopped,2008-05-12T16:00:00,1.00670,-24,332
2008-05-20T15:00:00,short,0.99130,stopped,2008-05-20T18:00:00,0.99388,-52,280
2008-05-23T12:00:00,long,0.98698,stopped,2008-05-23T15:00:00,0.98568,-26,254
2008-05-28T01:00:00,long,0.99380,stopped,2008-05-28T05:00:00,0.99288,-18,236
