date,direction,entry,target_or_stop,exit_date,exit,ticks,cumulative_profit
2007-12-04T09:00:00,short,1.12810,stopped,2007-12-04T10:00:00,1.12985,-35,-35
2007-12-06T18:00:00,long,1.12778,target,2007-12-06T21:00:00,1.13021,49,14
2007-12-10T01:00:00,short,1.12809,stopped,2007-12-10T02:00:00,1.12869,-12,2
2007-12-17T15:00:00,long,1.15406,target,2007-12-17T16:00:00,1.15562,31,33
2007-12-20T23:00:00,long,1.15819,target,2007-12-21T00:00:00,1.15934,23,56
2007-12-21T16:00:00,short,1.15478,stopped,2007-12-21T17:00:00,1.15540,-13,43
2007-12-21T17:00:00,short,1.15639,target,2007-12-26T12:00:00,1.15393,49,92
2007-12-27T14:00:00,short,1.14979,target,2007-12-27T15:00:00,1.14894,17,109
2008-01-04T09:00:00,short,1.11213,stopped,2008-01-04T12:00:00,1.11420,-41,68
2008-01-08T05:00:00,long,1.11753,stopped,2008-01-08T09:00:00,1.11613,-28,40
2008-01-08T14:00:00,short,1.11615,target,2008-01-08T16:00:00,1.11397,44,84
2008-01-10T00:00:00,long,1.11655,stopped,2008-01-10T02:00:00,1.11585,-14,70
2008-01-24T17:00:00,short,1.08820,target,2008-01-24T19:00:00,1.08665,31,101
2008-02-04T09:00:00,long,1.08825,target,2008-02-04T11:00:00,1.09075,50,151
2008-02-13T10:00:00,long,1.10327,stopped,2008-02-13T12:00:00,1.10215,-22,129
2008-02-13T14:00:00,long,1.10354,target,2008-02-13T15:00:00,1.10494,28,157
2008-02-14T15:00:00,short,1.10417,target,2008-02-14T18:00:00,1.10071,69,226
2008-02-15T10:00:00,short,1.09828,target,2008-02-15T11:00:00,1.09639,38,264
2008-03-05T20:00:00,short,1.03513,stopped,2008-03-06T00:00:00,1.03685,-34,230
2008-03-19T00:00:00,long,1.00188,stopped,2008-03-19T02:00:00,0.99853,-67,163
2008-03-25T06:00:00,short,1.01294,target,2008-03-25T13:00:00,1.00963,66,229
2008-03-28T16:00:00,long,0.99623,stopped,2008-03-31T00:00:00,0.99285,-68,161
2008-04-03T17:00:00,long,1.01120,stopped,2008-04-04T15:00:00,1.00564,-111,50
2008-04-04T15:00:00,short,1.00954,target,2008-04-04T16:00:00,1.00364,118,168
2008-04-11T08:00:00,long,1.00645,stopped,2008-04-11T09:00:00,1.00401,-49,119
2008-04-22T12:00:00,short,1.00821,stopped,2008-04-22T13:00:00,1.01034,-43,76
2008-04-25T14:00:00,long,1.03682,stopped,2008-04-25T16:00:00,1.03463,-44,32
2008-04-29T09:00:00,long,1.03567,target,2008-04-29T10:00:00,1.03720,31,63
2008-05-07T09:00:00,long,1.05369,target,2008-05-07T13:00:00,1.05580,42,105
2008-05-08T08:00:00,long,1.05869,stopped,2008-05-08T09:00:00,1.05755,-23,82
2008-05-21T08:00:00,short,1.03605,stopped,2008-05-21T09:00:00,1.03738,-27,55
2008-05-27T13:00:00,long,1.02567,target,2008-05-27T16:00:00,1.02836,54,109
2008-06-03T17:00:00,long,1.04363,stopped,2008-06-04T11:00:00,1.03836,-105,4
2008-06-09T14:00:00,short,1.02036,stopped,2008-06-09T16:00:00,1.02437,-80,-76
2008-06-12T01:00:00,short,1.03117,target,2008-06-12T02:00:00,1.03033,17,-59
2008-06-18T13:00:00,long,1.04500,stopped,2008-06-18T14:00:00,1.04328,-34,-93
2008-06-19T15:00:00,long,1.04457,stopped,2008-06-20T08:00:00,1.04176,-56,-149
2008-06-23T23:00:00,long,1.04546,stopped,2008-06-24T00:00:00,1.04467,-16,-165
2008-06-27T03:00:00,short,1.02402,stopped,2008-06-27T07:00:00,1.02610,-42,-207
2008-06-30T17:00:00,short,1.01866,stopped,2008-06-30T18:00:00,1.02109,-49,-256
2008-07-01T10:00:00,long,1.02052,stopped,2008-07-01T12:00:00,1.01828,-45,-301
2008-07-02T22:00:00,short,1.01425,stopped,2008-07-03T05:00:00,1.01543,-24,-325
2008-07-03T10:00:00,short,1.01438,target,2008-07-03T13:00:00,1.01268,34,-291
