"date.time","direction","entry","target_or_stop","exit_date","exit","ticks","cumulative_profit","winLose","cum.winLose"
2015-08-07 15:00:00,"long",0.7347,"target","2015-08-07T17:00:00",0.73984,103,103,1,1
2015-08-12 12:00:00,"short",0.73042,"stopped","2015-08-12T13:00:00",0.7328,-48,55,-1,0
2015-08-13 01:00:00,"long",0.73807,"stopped","2015-08-13T03:00:00",0.73732,-15,40,-1,-1
2015-08-18 11:00:00,"short",0.73462,"stopped","2015-08-18T13:00:00",0.73616,-31,9,-1,-2
2015-08-26 12:00:00,"short",0.71398,"target","2015-08-26T17:00:00",0.71191,41,50,1,-1
2015-09-03 17:00:00,"long",0.7026,"stopped","2015-09-04T04:00:00",0.69901,-72,-22,-1,-2
2015-09-04 04:00:00,"short",0.69996,"target","2015-09-04T05:00:00",0.69872,25,3,1,-1
2015-09-10 17:00:00,"long",0.70561,"target","2015-09-10T18:00:00",0.70731,34,37,1,0
2015-09-14 08:00:00,"long",0.70777,"target","2015-09-14T10:00:00",0.70984,42,79,1,1
2015-09-15 23:00:00,"long",0.71416,"stopped","2015-09-16T00:00:00",0.71321,-19,60,-1,0
2015-09-17 07:00:00,"long",0.71843,"stopped","2015-09-17T11:00:00",0.7167,-34,26,-1,-1
2015-09-29 22:00:00,"short",0.69917,"stopped","2015-09-30T02:00:00",0.70053,-27,-1,-1,-2
2015-10-05 09:00:00,"long",0.70624,"target","2015-10-05T10:00:00",0.70783,32,31,1,-1
2015-10-09 03:00:00,"long",0.72605,"target","2015-10-09T04:00:00",0.72748,29,60,1,0
2015-10-15 18:00:00,"long",0.73151,"target","2015-10-15T19:00:00",0.73272,24,84,1,1
2015-10-16 15:00:00,"short",0.72713,"target","2015-10-16T17:00:00",0.72525,37,121,1,2
2015-11-02 10:00:00,"long",0.71418,"stopped","2015-11-02T11:00:00",0.7131,-22,99,-1,1
2015-11-02 17:00:00,"long",0.71446,"stopped","2015-11-02T18:00:00",0.71403,-9,90,-1,0
2015-11-03 05:00:00,"short",0.71981,"target","2015-11-06T15:00:00",0.71129,170,260,1,1
2015-11-10 19:00:00,"short",0.70347,"target","2015-11-10T21:00:00",0.70233,23,283,1,2
2015-11-11 04:00:00,"long",0.70574,"target","2015-11-11T05:00:00",0.70674,20,303,1,3
2015-11-13 15:00:00,"long",0.71251,"stopped","2015-11-16T15:00:00",0.70918,-67,236,-1,2
2015-11-17 09:00:00,"short",0.70843,"stopped","2015-11-17T11:00:00",0.70968,-25,211,-1,1
2015-11-17 11:00:00,"short",0.71075,"stopped","2015-11-17T15:00:00",0.71359,-57,154,-1,0
2015-11-17 17:00:00,"long",0.71205,"stopped","2015-11-18T03:00:00",0.71018,-37,117,-1,-1
2015-11-18 21:00:00,"short",0.70969,"stopped","2015-11-19T01:00:00",0.71257,-58,59,-1,-2
2015-11-20 12:00:00,"long",0.72131,"stopped","2015-11-20T14:00:00",0.72068,-12,47,-1,-3
2015-11-23 15:00:00,"short",0.71928,"stopped","2015-11-24T09:00:00",0.72113,-37,10,-1,-4
2015-11-24 17:00:00,"long",0.7226,"target","2015-11-24T18:00:00",0.72397,28,38,1,-3
2015-11-25 23:00:00,"long",0.7252,"stopped","2015-11-26T02:00:00",0.7244,-16,22,-1,-4
2015-11-30 21:00:00,"long",0.72344,"stopped","2015-11-30T23:00:00",0.72285,-12,10,-1,-5
2015-12-02 02:00:00,"long",0.73179,"stopped","2015-12-02T19:00:00",0.72934,-49,-39,-1,-6
2015-12-04 15:00:00,"short",0.73281,"stopped","2015-12-04T17:00:00",0.73774,-99,-138,-1,-7
2015-12-08 03:00:00,"short",0.72662,"target","2015-12-08T05:00:00",0.72485,35,-103,1,-6
2015-12-28 00:00:00,"long",0.7277,"stopped","2015-12-28T02:00:00",0.72722,-10,-113,-1,-7
2015-12-29 00:00:00,"short",0.7252,"stopped","2015-12-29T02:00:00",0.72596,-15,-128,-1,-8
2015-12-30 12:00:00,"long",0.72941,"stopped","2015-12-30T15:00:00",0.72855,-17,-145,-1,-9
2015-12-31 18:00:00,"short",0.72856,"target","2016-01-04T03:00:00",0.72658,40,-105,1,-8
2016-01-08 21:00:00,"short",0.69852,"target","2016-01-08T22:00:00",0.69743,22,-83,1,-7
2016-01-11 05:00:00,"short",0.69739,"stopped","2016-01-11T10:00:00",0.69999,-52,-135,-1,-8
2016-01-14 00:00:00,"short",0.69578,"target","2016-01-14T01:00:00",0.69469,22,-113,1,-7
2016-01-19 10:00:00,"long",0.69122,"target","2016-01-19T12:00:00",0.69309,37,-76,1,-6
2016-01-19 17:00:00,"long",0.69171,"target","2016-01-19T20:00:00",0.6934,34,-42,1,-5
2016-01-21 12:00:00,"long",0.69096,"target","2016-01-21T15:00:00",0.69282,37,-5,1,-4
2016-01-22 02:00:00,"long",0.70075,"stopped","2016-01-22T03:00:00",0.69952,-25,-30,-1,-5
2016-01-25 03:00:00,"short",0.69925,"stopped","2016-01-25T04:00:00",0.70047,-24,-54,-1,-6
2016-02-02 05:00:00,"long",0.70924,"stopped","2016-02-02T11:00:00",0.7056,-73,-127,-1,-7
2016-02-08 15:00:00,"short",0.70676,"stopped","2016-02-08T18:00:00",0.70855,-36,-163,-1,-8
2016-02-10 17:00:00,"long",0.70904,"target","2016-02-11T02:00:00",0.71183,56,-107,1,-7
2016-02-11 13:00:00,"short",0.70459,"stopped","2016-02-11T14:00:00",0.70636,-35,-142,-1,-8
2016-02-16 05:00:00,"long",0.71654,"stopped","2016-02-16T06:00:00",0.71542,-22,-164,-1,-9
2016-02-23 11:00:00,"long",0.72356,"stopped","2016-02-23T17:00:00",0.72128,-46,-210,-1,-10
2016-02-29 00:00:00,"short",0.71218,"stopped","2016-02-29T01:00:00",0.71298,-16,-226,-1,-11
2016-03-01 16:00:00,"long",0.71544,"stopped","2016-03-01T17:00:00",0.71302,-48,-274,-1,-12
2016-03-22 17:00:00,"long",0.76245,"target","2016-03-23T03:00:00",0.7644,39,-235,1,-11
2016-03-23 03:00:00,"long",0.76327,"stopped","2016-03-23T06:00:00",0.76171,-31,-266,-1,-12
2016-03-30 03:00:00,"long",0.76321,"stopped","2016-03-30T07:00:00",0.7617,-30,-296,-1,-13
2016-03-31 17:00:00,"long",0.76949,"stopped","2016-03-31T20:00:00",0.76677,-54,-350,-1,-14
2016-04-13 03:00:00,"long",0.76795,"target","2016-04-13T05:00:00",0.76958,33,-317,1,-13
2016-04-14 10:00:00,"short",0.76647,"stopped","2016-04-14T12:00:00",0.76988,-68,-385,-1,-14
2016-04-14 14:00:00,"long",0.77025,"target","2016-04-14T15:00:00",0.77192,33,-352,1,-13
2016-04-27 04:00:00,"long",0.76618,"stopped","2016-04-27T21:00:00",0.7559,-206,-558,-1,-14
2016-04-29 08:00:00,"long",0.76555,"stopped","2016-04-29T10:00:00",0.76434,-24,-582,-1,-15
2016-04-29 10:00:00,"long",0.76354,"stopped","2016-04-29T17:00:00",0.76133,-44,-626,-1,-16
2016-05-10 01:00:00,"short",0.73161,"target","2016-05-10T03:00:00",0.73017,29,-597,1,-15
2016-05-11 02:00:00,"long",0.73699,"target","2016-05-11T03:00:00",0.73793,19,-578,1,-14
2016-05-11 09:00:00,"long",0.73532,"target","2016-05-11T15:00:00",0.73759,45,-533,1,-13
2016-05-12 07:00:00,"short",0.7342,"target","2016-05-12T08:00:00",0.7332,20,-513,1,-12
2016-05-20 16:00:00,"long",0.72238,"target","2016-05-23T06:00:00",0.72457,44,-469,1,-11
2016-06-01 18:00:00,"long",0.72407,"target","2016-06-02T04:00:00",0.72682,55,-414,1,-10
2016-06-08 08:00:00,"long",0.74531,"stopped","2016-06-08T09:00:00",0.74424,-21,-435,-1,-11
2016-06-09 11:00:00,"short",0.74457,"target","2016-06-09T13:00:00",0.74292,33,-402,1,-10
2016-06-09 13:00:00,"short",0.74369,"target","2016-06-10T02:00:00",0.74198,34,-368,1,-9
2016-06-15 13:00:00,"long",0.7396,"target","2016-06-15T17:00:00",0.74092,26,-342,1,-8
2016-06-22 17:00:00,"long",0.74948,"target","2016-06-23T04:00:00",0.75277,66,-276,1,-7
2016-06-30 00:00:00,"long",0.74437,"target","2016-06-30T02:00:00",0.74595,32,-244,1,-6
2016-06-30 18:00:00,"long",0.74319,"target","2016-07-01T06:00:00",0.74642,65,-179,1,-5
2016-07-04 05:00:00,"long",0.74917,"target","2016-07-04T08:00:00",0.75055,28,-151,1,-4
2016-07-05 07:00:00,"long",0.75087,"stopped","2016-07-05T16:00:00",0.74732,-71,-222,-1,-5
2016-07-07 04:00:00,"long",0.74973,"target","2016-07-08T15:00:00",0.75393,84,-138,1,-4
2016-07-14 18:00:00,"long",0.76295,"target","2016-07-14T20:00:00",0.76458,32,-106,1,-3
2016-07-20 11:00:00,"short",0.74839,"stopped","2016-07-20T12:00:00",0.75001,-32,-138,-1,-4
2016-07-27 21:00:00,"short",0.74833,"stopped","2016-07-28T10:00:00",0.75467,-127,-265,-1,-5
2016-08-02 04:00:00,"short",0.75368,"target","2016-08-02T07:00:00",0.75238,26,-239,1,-4
2015-08-07 15:00:00,"long",0.7347,"target","2015-08-07T17:00:00",0.73984,103,-136,1,-3
2015-08-12 12:00:00,"short",0.73042,"stopped","2015-08-12T13:00:00",0.7328,-48,-184,-1,-4
2015-08-13 01:00:00,"long",0.73807,"stopped","2015-08-13T03:00:00",0.73732,-15,-199,-1,-5
2015-08-18 11:00:00,"short",0.73462,"stopped","2015-08-18T13:00:00",0.73616,-31,-230,-1,-6
2015-08-26 12:00:00,"short",0.71398,"target","2015-08-26T17:00:00",0.71191,41,-189,1,-5
2015-09-03 17:00:00,"long",0.7026,"stopped","2015-09-04T04:00:00",0.69901,-72,-261,-1,-6
2015-09-04 04:00:00,"short",0.69996,"target","2015-09-04T05:00:00",0.69872,25,-236,1,-5
2015-09-10 17:00:00,"long",0.70561,"target","2015-09-10T18:00:00",0.70731,34,-202,1,-4
2015-09-14 08:00:00,"long",0.70777,"target","2015-09-14T10:00:00",0.70984,42,-160,1,-3
2015-09-15 23:00:00,"long",0.71416,"stopped","2015-09-16T00:00:00",0.71321,-19,-179,-1,-4
2015-09-17 07:00:00,"long",0.71843,"stopped","2015-09-17T11:00:00",0.7167,-34,-213,-1,-5
2015-09-29 22:00:00,"short",0.69917,"stopped","2015-09-30T02:00:00",0.70053,-27,-240,-1,-6
2015-10-05 09:00:00,"long",0.70624,"target","2015-10-05T10:00:00",0.70783,32,-208,1,-5
2015-10-09 03:00:00,"long",0.72605,"target","2015-10-09T04:00:00",0.72748,29,-179,1,-4
2015-10-15 18:00:00,"long",0.73151,"target","2015-10-15T19:00:00",0.73272,24,-155,1,-3
2015-10-16 15:00:00,"short",0.72713,"target","2015-10-16T17:00:00",0.72525,37,-118,1,-2
2015-11-02 10:00:00,"long",0.71418,"stopped","2015-11-02T11:00:00",0.7131,-22,-140,-1,-3
2015-11-02 17:00:00,"long",0.71446,"stopped","2015-11-02T18:00:00",0.71403,-9,-149,-1,-4
2015-11-03 05:00:00,"short",0.71981,"target","2015-11-06T15:00:00",0.71129,170,21,1,-3
2015-11-10 19:00:00,"short",0.70347,"target","2015-11-10T21:00:00",0.70233,23,44,1,-2
2015-11-11 04:00:00,"long",0.70574,"target","2015-11-11T05:00:00",0.70674,20,64,1,-1
2015-11-13 15:00:00,"long",0.71251,"stopped","2015-11-16T15:00:00",0.70918,-67,-3,-1,-2
2015-11-17 09:00:00,"short",0.70843,"stopped","2015-11-17T11:00:00",0.70968,-25,-28,-1,-3
2015-11-17 11:00:00,"short",0.71075,"stopped","2015-11-17T15:00:00",0.71359,-57,-85,-1,-4
2015-11-17 17:00:00,"long",0.71205,"stopped","2015-11-18T03:00:00",0.71018,-37,-122,-1,-5
2015-11-18 21:00:00,"short",0.70969,"stopped","2015-11-19T01:00:00",0.71257,-58,-180,-1,-6
2015-11-20 12:00:00,"long",0.72131,"stopped","2015-11-20T14:00:00",0.72068,-12,-192,-1,-7
2015-11-23 15:00:00,"short",0.71928,"stopped","2015-11-24T09:00:00",0.72113,-37,-229,-1,-8
