"date.time","direction","entry","target_or_stop","exit_date","exit","ticks","cumulative_profit","winLose","cum.winLose"
2015-08-17 11:00:00,"short",1.08396,"target","2015-08-17T17:00:00",1.08213,36,36,1,1
2015-08-18 10:00:00,"short",1.08219,"target","2015-08-18T11:00:00",1.08112,21,57,1,2
2015-08-20 11:00:00,"short",1.07283,"stopped","2015-08-20T12:00:00",1.07449,-33,24,-1,1
2015-08-21 06:00:00,"long",1.07875,"target","2015-08-21T08:00:00",1.07981,21,45,1,2
2015-08-21 18:00:00,"long",1.07752,"target","2015-08-24T04:00:00",1.0805,60,105,1,3
2015-08-26 17:00:00,"short",1.07897,"stopped","2015-08-26T21:00:00",1.08169,-55,50,-1,2
2015-08-27 12:00:00,"short",1.07687,"stopped","2015-08-27T14:00:00",1.07824,-27,23,-1,1
2015-09-01 23:00:00,"long",1.08485,"target","2015-09-02T00:00:00",1.08609,25,48,1,2
2015-09-03 12:00:00,"long",1.08861,"stopped","2015-09-03T15:00:00",1.08705,-31,17,-1,1
2015-09-03 15:00:00,"long",1.08442,"target","2015-09-08T10:00:00",1.09041,120,137,1,2
2015-09-16 12:00:00,"short",1.09472,"target","2015-09-16T14:00:00",1.09401,14,151,1,3
2015-09-16 21:00:00,"short",1.0952,"stopped","2015-09-16T23:00:00",1.0963,-22,129,-1,2
2015-09-17 20:00:00,"long",1.09827,"stopped","2015-09-17T21:00:00",1.0971,-23,106,-1,1
2015-09-21 13:00:00,"short",1.09081,"stopped","2015-09-21T16:00:00",1.09217,-27,79,-1,0
2015-09-24 20:00:00,"long",1.09528,"target","2015-09-24T22:00:00",1.09631,21,100,1,1
2015-09-24 22:00:00,"long",1.09532,"stopped","2015-09-25T00:00:00",1.09401,-26,74,-1,0
2015-09-25 18:00:00,"short",1.09237,"stopped","2015-09-25T19:00:00",1.09402,-33,41,-1,-1
2015-09-30 17:00:00,"short",1.09077,"target","2015-09-30T20:00:00",1.08941,27,68,1,0
2015-10-01 04:00:00,"short",1.08869,"stopped","2015-10-01T10:00:00",1.08987,-24,44,-1,-1
2015-10-05 17:00:00,"long",1.09291,"stopped","2015-10-05T18:00:00",1.09163,-25,19,-1,-2
2015-10-07 21:00:00,"long",1.09389,"stopped","2015-10-08T10:00:00",1.09315,-15,4,-1,-3
2015-10-09 10:00:00,"short",1.09105,"stopped","2015-10-12T10:00:00",1.09415,-62,-58,-1,-4
2015-10-12 16:00:00,"long",1.09244,"stopped","2015-10-12T17:00:00",1.09157,-17,-75,-1,-5
2015-10-21 00:00:00,"long",1.08507,"target","2015-10-21T02:00:00",1.0855,9,-66,1,-4
2015-10-22 13:00:00,"long",1.08858,"stopped","2015-10-22T15:00:00",1.0873,-25,-91,-1,-5
2015-10-22 15:00:00,"long",1.08582,"stopped","2015-10-22T18:00:00",1.08212,-74,-165,-1,-6
2015-11-03 22:00:00,"short",1.08592,"stopped","2015-11-03T23:00:00",1.08646,-11,-176,-1,-7
2015-11-12 03:00:00,"long",1.08022,"stopped","2015-11-12T04:00:00",1.07975,-10,-186,-1,-8
2015-11-17 16:00:00,"long",1.08114,"stopped","2015-11-17T18:00:00",1.08033,-16,-202,-1,-9
2015-11-24 20:00:00,"short",1.08174,"stopped","2015-11-25T00:00:00",1.08236,-13,-215,-1,-10
2015-11-25 23:00:00,"long",1.08506,"target","2015-11-26T02:00:00",1.08591,17,-198,1,-9
2015-11-26 11:00:00,"long",1.08517,"stopped","2015-11-26T12:00:00",1.08419,-20,-218,-1,-10
2015-11-30 18:00:00,"short",1.08594,"target","2015-11-30T20:00:00",1.08465,26,-192,1,-9
2015-12-07 11:00:00,"short",1.08375,"target","2015-12-07T13:00:00",1.08295,16,-176,1,-8
2015-12-08 15:00:00,"short",1.08227,"target","2015-12-08T17:00:00",1.08071,31,-145,1,-7
2015-12-10 10:00:00,"short",1.08329,"target","2015-12-10T14:00:00",1.08013,63,-82,1,-6
2015-12-14 01:00:00,"short",1.08077,"target","2015-12-14T09:00:00",1.07941,27,-55,1,-5
2015-12-22 10:00:00,"long",1.08344,"stopped","2015-12-22T15:00:00",1.08229,-23,-78,-1,-6
2015-12-22 17:00:00,"long",1.08376,"stopped","2015-12-22T18:00:00",1.08331,-9,-87,-1,-7
2015-12-23 08:00:00,"short",1.08172,"target","2015-12-23T09:00:00",1.08125,10,-77,1,-6
2015-12-24 14:00:00,"short",1.08053,"stopped","2015-12-24T16:00:00",1.08111,-12,-89,-1,-7
2015-12-28 08:00:00,"long",1.08188,"target","2015-12-28T09:00:00",1.08276,18,-71,1,-6
2015-12-29 16:00:00,"long",1.08397,"stopped","2015-12-30T12:00:00",1.08244,-31,-102,-1,-7
2016-01-05 07:00:00,"short",1.08432,"stopped","2016-01-05T09:00:00",1.08515,-17,-119,-1,-8
2016-01-06 13:00:00,"short",1.0843,"stopped","2016-01-06T17:00:00",1.08561,-26,-145,-1,-9
2016-01-07 15:00:00,"long",1.08697,"stopped","2016-01-07T16:00:00",1.08633,-13,-158,-1,-10
2016-01-08 12:00:00,"long",1.08704,"stopped","2016-01-08T14:00:00",1.08571,-27,-185,-1,-11
2016-01-15 00:00:00,"short",1.09193,"target","2016-01-15T01:00:00",1.09138,11,-174,1,-10
2016-01-19 08:00:00,"long",1.09561,"stopped","2016-01-19T09:00:00",1.09481,-16,-190,-1,-11
2016-01-20 10:00:00,"long",1.09592,"stopped","2016-01-20T11:00:00",1.09407,-37,-227,-1,-12
2016-01-29 05:00:00,"long",1.10831,"target","2016-01-29T13:00:00",1.11357,105,-122,1,-11
2016-02-02 03:00:00,"long",1.11145,"stopped","2016-02-02T04:00:00",1.11109,-7,-129,-1,-12
2016-02-02 07:00:00,"long",1.1112,"target","2016-02-02T10:00:00",1.11203,17,-112,1,-11
