"date.time","direction","entry","target_or_stop","exit_date","exit","ticks","cumulative_profit","winLose","cum.winLose"
2015-08-07 15:00:00,"long",0.7018,"target","2015-08-07T17:00:00",0.70653,95,95,1,1
2015-08-12 09:00:00,"long",0.71112,"target","2015-08-12T10:00:00",0.71222,22,117,1,2
2015-08-14 14:00:00,"long",0.71449,"stopped","2015-08-14T16:00:00",0.7132,-26,91,-1,1
2015-08-17 17:00:00,"short",0.71009,"stopped","2015-08-17T22:00:00",0.71115,-21,70,-1,0
2015-08-28 12:00:00,"long",0.73256,"stopped","2015-08-28T18:00:00",0.72978,-56,14,-1,-1
2015-09-03 06:00:00,"short",0.73373,"stopped","2015-09-03T08:00:00",0.73461,-17,-3,-1,-2
2015-09-09 16:00:00,"short",0.72456,"stopped","2015-09-09T17:00:00",0.72517,-12,-15,-1,-3
2015-09-10 20:00:00,"long",0.72954,"target","2015-09-11T01:00:00",0.73105,30,15,1,-2
2015-09-14 01:00:00,"long",0.7346,"stopped","2015-09-14T10:00:00",0.7336,-20,-5,-1,-3
2015-09-14 10:00:00,"long",0.73316,"stopped","2015-09-16T11:00:00",0.73052,-53,-58,-1,-4
2015-09-22 00:00:00,"short",0.72155,"target","2015-09-22T01:00:00",0.7212,7,-51,1,-3
2015-09-22 03:00:00,"short",0.72164,"target","2015-09-22T08:00:00",0.721,13,-38,1,-2
2015-09-23 10:00:00,"long",0.72508,"target","2015-09-23T13:00:00",0.72852,69,31,1,-1
2015-09-24 11:00:00,"long",0.7338,"target","2015-09-24T12:00:00",0.73483,21,52,1,0
2015-09-24 12:00:00,"long",0.7337,"target","2015-09-24T13:00:00",0.73501,26,78,1,1
2015-09-29 00:00:00,"long",0.7409,"stopped","2015-09-29T01:00:00",0.74061,-6,72,-1,0
2015-09-30 21:00:00,"short",0.73855,"target","2015-10-01T04:00:00",0.73773,17,89,1,1
2015-10-01 11:00:00,"short",0.73685,"stopped","2015-10-01T17:00:00",0.7382,-27,62,-1,0
2015-10-02 15:00:00,"short",0.74128,"target","2015-10-07T10:00:00",0.73495,127,189,1,1
2015-10-23 00:00:00,"short",0.72164,"target","2015-10-23T02:00:00",0.72013,30,219,1,2
2015-10-23 08:00:00,"short",0.72168,"stopped","2015-10-23T10:00:00",0.72235,-13,206,-1,1
