"date.time","direction","entry","target_or_stop","exit_date","exit","ticks","cumulative_profit","winLose","cum.winLose"
2015-08-06 09:00:00,"long",1.09107,"stopped","2015-08-06T15:00:00",1.08781,-65,-65,-1,-1
2015-08-07 15:00:00,"long",1.08595,"target","2015-08-07T19:00:00",1.09756,232,167,1,0
2015-08-10 10:00:00,"long",1.09595,"stopped","2015-08-10T13:00:00",1.09388,-42,125,-1,-1
2015-08-12 09:00:00,"long",1.10746,"target","2015-08-12T10:00:00",1.10957,42,167,1,0
2015-09-01 16:00:00,"long",1.12558,"stopped","2015-09-01T17:00:00",1.1236,-40,127,-1,-1
2015-09-01 17:00:00,"long",1.12563,"target","2015-09-01T20:00:00",1.12824,52,179,1,0
2015-09-09 09:00:00,"short",1.11566,"stopped","2015-09-09T10:00:00",1.11672,-21,158,-1,-1
2015-09-10 06:00:00,"long",1.12083,"stopped","2015-09-10T07:00:00",1.11995,-17,141,-1,-2
2015-09-10 08:00:00,"long",1.12009,"target","2015-09-10T09:00:00",1.12217,42,183,1,-1
2015-09-11 02:00:00,"long",1.12829,"target","2015-09-11T09:00:00",1.13031,40,223,1,0
2015-09-11 09:00:00,"long",1.12846,"target","2015-09-11T10:00:00",1.13058,42,265,1,1
2015-09-11 17:00:00,"long",1.12794,"target","2015-09-11T18:00:00",1.13006,43,308,1,2
2015-09-17 17:00:00,"long",1.13073,"target","2015-09-17T20:00:00",1.13298,45,353,1,3
2015-09-23 09:00:00,"short",1.11373,"target","2015-09-23T11:00:00",1.111,55,408,1,4
2015-09-24 11:00:00,"long",1.11989,"target","2015-09-24T13:00:00",1.12244,51,459,1,5
2015-09-25 01:00:00,"short",1.11769,"target","2015-09-25T09:00:00",1.11592,35,494,1,6
2015-09-25 18:00:00,"short",1.1191,"target","2015-09-28T15:00:00",1.11609,60,554,1,7
2015-10-06 06:00:00,"short",1.1184,"stopped","2015-10-06T10:00:00",1.11961,-24,530,-1,6
2015-10-15 09:00:00,"long",1.14804,"stopped","2015-10-15T10:00:00",1.14664,-28,502,-1,5
2015-10-15 21:00:00,"short",1.13866,"target","2015-10-16T02:00:00",1.13719,29,531,1,6
2015-10-27 09:00:00,"long",1.10554,"stopped","2015-10-27T11:00:00",1.10395,-32,499,-1,5
2015-10-27 14:00:00,"long",1.105,"target","2015-10-28T14:00:00",1.10798,60,559,1,6
2015-10-28 17:00:00,"long",1.10638,"stopped","2015-10-28T20:00:00",1.10327,-62,497,-1,5
2015-10-30 05:00:00,"long",1.0969,"target","2015-10-30T08:00:00",1.0996,54,551,1,6
2015-11-18 21:00:00,"short",1.06465,"stopped","2015-11-19T02:00:00",1.06769,-61,490,-1,5
2015-11-19 11:00:00,"long",1.06861,"target","2015-11-19T12:00:00",1.07009,30,520,1,6
2015-11-24 13:00:00,"long",1.06443,"target","2015-11-24T15:00:00",1.06584,28,548,1,7
