"date.time","direction","entry","target_or_stop","exit_date","exit","ticks","cumulative_profit","winLose","cum.winLose"
2015-08-07 04:00:00,"long",0.65445,"target","2015-08-07T07:00:00",0.65625,36,36,1,1
2015-08-12 15:00:00,"long",0.65893,"target","2015-08-12T18:00:00",0.66406,103,139,1,2
2015-08-18 15:00:00,"long",0.65657,"target","2015-08-18T18:00:00",0.65862,41,180,1,3
2015-09-01 12:00:00,"short",0.63358,"stopped","2015-09-01T13:00:00",0.63557,-40,140,-1,2
2015-09-14 10:00:00,"long",0.63208,"target","2015-09-14T11:00:00",0.63317,22,162,1,3
2015-09-16 11:00:00,"long",0.63579,"stopped","2015-09-16T14:00:00",0.63391,-38,124,-1,2
2015-09-17 14:00:00,"short",0.63431,"target","2015-09-17T16:00:00",0.63318,23,147,1,3
2015-09-24 07:00:00,"long",0.62909,"stopped","2015-09-24T13:00:00",0.62738,-34,113,-1,2
2015-09-28 09:00:00,"long",0.63863,"stopped","2015-09-28T11:00:00",0.63746,-23,90,-1,1
2015-10-08 20:00:00,"long",0.66324,"target","2015-10-08T21:00:00",0.66522,40,130,1,2
2015-10-27 15:00:00,"long",0.67892,"stopped","2015-10-27T22:00:00",0.67661,-46,84,-1,1
2015-11-10 22:00:00,"short",0.65332,"stopped","2015-11-11T03:00:00",0.65661,-66,18,-1,0
2015-11-17 03:00:00,"short",0.64786,"target","2015-11-17T04:00:00",0.64623,33,51,1,1
2015-11-17 16:00:00,"short",0.64741,"target","2015-11-17T17:00:00",0.64579,32,83,1,2
2015-11-25 00:00:00,"long",0.65546,"target","2015-11-25T02:00:00",0.65674,26,109,1,3
2015-11-30 16:00:00,"long",0.65721,"target","2015-11-30T17:00:00",0.65825,21,130,1,4
2015-12-03 18:00:00,"short",0.66313,"stopped","2015-12-03T19:00:00",0.66556,-49,81,-1,3
2015-12-07 23:00:00,"short",0.66439,"target","2015-12-08T12:00:00",0.66265,35,116,1,4
2015-12-08 22:00:00,"short",0.66362,"stopped","2015-12-08T23:00:00",0.66467,-21,95,-1,3
2015-12-09 21:00:00,"long",0.66352,"stopped","2015-12-09T22:00:00",0.66039,-63,32,-1,2
2015-12-09 22:00:00,"short",0.6727,"stopped","2015-12-29T09:00:00",0.68762,-298,-266,-1,1
2016-01-07 13:00:00,"short",0.66325,"target","2016-01-07T14:00:00",0.66213,22,-244,1,2
2016-01-15 09:00:00,"short",0.64351,"target","2016-01-15T10:00:00",0.64161,38,-206,1,3
2016-01-15 19:00:00,"short",0.64331,"stopped","2016-01-15T23:00:00",0.64612,-56,-262,-1,2
2016-01-25 02:00:00,"short",0.6472,"stopped","2016-01-25T03:00:00",0.6483,-22,-284,-1,1
2016-01-26 07:00:00,"short",0.64541,"target","2016-01-26T08:00:00",0.64477,13,-271,1,2
2016-01-27 02:00:00,"long",0.65012,"stopped","2016-01-27T03:00:00",0.64854,-32,-303,-1,1
2016-02-05 15:00:00,"long",0.66653,"stopped","2016-02-09T05:00:00",0.65782,-174,-477,-1,0
2016-02-09 09:00:00,"short",0.66122,"target","2016-02-09T11:00:00",0.65912,42,-435,1,1
2016-02-09 18:00:00,"long",0.66532,"stopped","2016-02-09T20:00:00",0.66381,-30,-465,-1,0
2016-02-10 12:00:00,"long",0.66569,"stopped","2016-02-10T15:00:00",0.66429,-28,-493,-1,-1
2016-02-10 17:00:00,"long",0.66545,"target","2016-02-10T21:00:00",0.66729,37,-456,1,0
2016-02-26 00:00:00,"long",0.67233,"target","2016-02-26T01:00:00",0.67314,16,-440,1,1
2016-03-01 16:00:00,"long",0.65999,"stopped","2016-03-01T17:00:00",0.65787,-42,-482,-1,0
2016-03-01 19:00:00,"long",0.66074,"target","2016-03-01T20:00:00",0.66237,33,-449,1,1
2016-03-02 02:00:00,"long",0.6633,"stopped","2016-03-02T10:00:00",0.66039,-58,-507,-1,0
2016-03-10 09:00:00,"short",0.66583,"stopped","2016-03-10T11:00:00",0.66819,-47,-554,-1,-1
2016-03-28 03:00:00,"short",0.66802,"stopped","2016-03-28T09:00:00",0.66926,-25,-579,-1,-2
2016-03-30 03:00:00,"long",0.6862,"target","2016-03-30T10:00:00",0.68848,46,-533,1,-1
2016-03-31 17:00:00,"long",0.69456,"stopped","2016-03-31T18:00:00",0.69257,-40,-573,-1,-2
2016-04-07 22:00:00,"short",0.67803,"stopped","2016-04-08T10:00:00",0.67948,-29,-602,-1,-3
2016-04-12 05:00:00,"long",0.68672,"target","2016-04-12T06:00:00",0.68807,27,-575,1,-2
2016-04-13 16:00:00,"long",0.69152,"stopped","2016-04-14T03:00:00",0.68962,-38,-613,-1,-3
2016-04-15 20:00:00,"long",0.69134,"stopped","2016-04-18T00:00:00",0.69019,-23,-636,-1,-4
2016-04-18 02:00:00,"long",0.68905,"target","2016-04-18T10:00:00",0.69318,83,-553,1,-3
2016-04-21 02:00:00,"short",0.69753,"target","2016-04-21T03:00:00",0.69694,12,-541,1,-2
2016-04-21 08:00:00,"short",0.69803,"target","2016-04-21T11:00:00",0.69627,35,-506,1,-1
2016-04-29 15:00:00,"long",0.69754,"target","2016-05-02T02:00:00",0.69993,48,-458,1,0
2016-05-03 08:00:00,"short",0.69888,"stopped","2016-05-03T09:00:00",0.70037,-30,-488,-1,-1
2016-05-04 01:00:00,"short",0.69353,"target","2016-05-04T04:00:00",0.69014,68,-420,1,0
2016-05-20 07:00:00,"long",0.67614,"target","2016-05-20T10:00:00",0.67708,19,-401,1,1
2016-05-20 18:00:00,"long",0.67585,"target","2016-05-20T20:00:00",0.67697,22,-379,1,2
2016-05-23 15:00:00,"long",0.67639,"stopped","2016-05-24T03:00:00",0.67452,-37,-416,-1,1
2016-05-25 15:00:00,"long",0.67601,"stopped","2016-05-25T16:00:00",0.67507,-19,-435,-1,0
2016-05-26 15:00:00,"short",0.67558,"target","2016-05-27T16:00:00",0.67217,68,-367,1,1
2016-05-27 21:00:00,"short",0.66976,"target","2016-05-30T03:00:00",0.66863,22,-345,1,2
2016-06-07 02:00:00,"short",0.69135,"target","2016-06-07T04:00:00",0.69024,22,-323,1,3
2016-06-07 12:00:00,"long",0.69443,"target","2016-06-07T13:00:00",0.69553,22,-301,1,4
2016-06-13 04:00:00,"short",0.70443,"stopped","2016-06-13T10:00:00",0.7058,-27,-328,-1,3
2016-06-15 21:00:00,"long",0.70371,"target","2016-06-16T01:00:00",0.70728,71,-257,1,4
2016-06-30 18:00:00,"long",0.7119,"target","2016-07-01T03:00:00",0.71427,47,-210,1,5
2016-07-12 00:00:00,"short",0.72202,"stopped","2016-07-12T01:00:00",0.72263,-12,-222,-1,4
2016-07-12 01:00:00,"short",0.72322,"stopped","2016-07-12T05:00:00",0.72539,-43,-265,-1,3
2016-07-18 22:00:00,"short",0.71179,"target","2016-07-19T00:00:00",0.71077,21,-244,1,4
2016-07-25 07:00:00,"short",0.69809,"stopped","2016-07-25T08:00:00",0.69899,-18,-262,-1,3
2016-08-02 06:00:00,"short",0.71857,"stopped","2016-08-02T08:00:00",0.7209,-47,-309,-1,2
2015-08-07 04:00:00,"long",0.65445,"target","2015-08-07T07:00:00",0.65625,36,-273,1,3
2015-08-12 15:00:00,"long",0.65893,"target","2015-08-12T18:00:00",0.66406,103,-170,1,4
2015-08-18 15:00:00,"long",0.65657,"target","2015-08-18T18:00:00",0.65862,41,-129,1,5
2015-09-01 12:00:00,"short",0.63358,"stopped","2015-09-01T13:00:00",0.63557,-40,-169,-1,4
2015-09-14 10:00:00,"long",0.63208,"target","2015-09-14T11:00:00",0.63317,22,-147,1,5
2015-09-16 11:00:00,"long",0.63579,"stopped","2015-09-16T14:00:00",0.63391,-38,-185,-1,4
2015-09-17 14:00:00,"short",0.63431,"target","2015-09-17T16:00:00",0.63318,23,-162,1,5
2015-09-24 07:00:00,"long",0.62909,"stopped","2015-09-24T13:00:00",0.62738,-34,-196,-1,4
2015-09-28 09:00:00,"long",0.63863,"stopped","2015-09-28T11:00:00",0.63746,-23,-219,-1,3
2015-10-08 20:00:00,"long",0.66324,"target","2015-10-08T21:00:00",0.66522,40,-179,1,4
2015-10-27 15:00:00,"long",0.67892,"stopped","2015-10-27T22:00:00",0.67661,-46,-225,-1,3
2015-11-10 22:00:00,"short",0.65332,"stopped","2015-11-11T03:00:00",0.65661,-66,-291,-1,2
2015-11-17 03:00:00,"short",0.64786,"target","2015-11-17T04:00:00",0.64623,33,-258,1,3
2015-11-17 16:00:00,"short",0.64741,"target","2015-11-17T17:00:00",0.64579,32,-226,1,4
2015-11-25 00:00:00,"long",0.65546,"target","2015-11-25T02:00:00",0.65674,26,-200,1,5
2015-11-30 16:00:00,"long",0.65721,"target","2015-11-30T17:00:00",0.65825,21,-179,1,6
2015-12-03 18:00:00,"short",0.66313,"stopped","2015-12-03T19:00:00",0.66556,-49,-228,-1,5
2015-12-07 23:00:00,"short",0.66439,"target","2015-12-08T12:00:00",0.66265,35,-193,1,6
2015-12-08 22:00:00,"short",0.66362,"stopped","2015-12-08T23:00:00",0.66467,-21,-214,-1,5
2015-12-09 21:00:00,"long",0.66352,"stopped","2015-12-09T22:00:00",0.66039,-63,-277,-1,4
2015-12-09 22:00:00,"short",0.6727,"stopped","2015-12-29T09:00:00",0.68762,-298,-575,-1,3
2016-01-07 13:00:00,"short",0.66325,"target","2016-01-07T14:00:00",0.66213,22,-553,1,4
2016-01-15 09:00:00,"short",0.64351,"target","2016-01-15T10:00:00",0.64161,38,-515,1,5
