"date.time","direction","entry","target_or_stop","exit_date","exit","ticks","cumulative_profit","winLose","cum.winLose"
2015-08-19 06:00:00,"short",1.30574,"target","2015-08-19T09:00:00",1.30394,36,36,1,1
2015-08-21 18:00:00,"long",1.31444,"target","2015-08-24T01:00:00",1.31952,102,138,1,2
2015-08-25 02:00:00,"long",1.3286,"stopped","2015-08-25T03:00:00",1.32817,-9,129,-1,1
2015-09-02 00:00:00,"long",1.3249,"stopped","2015-09-02T03:00:00",1.32383,-21,108,-1,0
2015-09-07 14:00:00,"long",1.32886,"stopped","2015-09-07T15:00:00",1.32825,-12,96,-1,-1
2015-09-29 00:00:00,"long",1.33933,"target","2015-09-29T03:00:00",1.33997,13,109,1,0
2015-10-08 17:00:00,"long",1.3049,"stopped","2015-10-08T18:00:00",1.30249,-48,61,-1,-1
2015-10-15 03:00:00,"short",1.2927,"target","2015-10-15T05:00:00",1.29093,35,96,1,0
2015-10-20 12:00:00,"long",1.30172,"stopped","2015-10-20T14:00:00",1.30013,-32,64,-1,-1
2015-10-22 00:00:00,"long",1.3137,"stopped","2015-10-22T03:00:00",1.31301,-14,50,-1,-2
2015-11-03 14:00:00,"long",1.31103,"target","2015-11-03T15:00:00",1.31197,19,69,1,-1
2015-11-20 15:00:00,"long",1.3295,"target","2015-11-20T18:00:00",1.33409,92,161,1,0
2015-11-27 10:00:00,"long",1.3313,"target","2015-11-27T11:00:00",1.33266,27,188,1,1
2015-12-01 11:00:00,"short",1.33317,"stopped","2015-12-01T15:00:00",1.33545,-46,142,-1,0
2015-12-01 15:00:00,"short",1.33796,"target","2015-12-02T17:00:00",1.33103,139,281,1,1
2015-12-04 16:00:00,"long",1.33562,"target","2015-12-07T10:00:00",1.34173,122,403,1,2
2015-12-14 18:00:00,"long",1.37326,"stopped","2015-12-15T04:00:00",1.37042,-57,346,-1,1
2015-12-15 13:00:00,"short",1.36959,"stopped","2015-12-15T15:00:00",1.37195,-47,299,-1,0
2015-12-18 15:00:00,"long",1.39688,"stopped","2015-12-18T16:00:00",1.39366,-64,235,-1,-1
2015-12-23 00:00:00,"short",1.39218,"target","2015-12-23T10:00:00",1.39082,27,262,1,0
2015-12-23 12:00:00,"short",1.39301,"target","2015-12-23T13:00:00",1.39137,33,295,1,1
2015-12-24 18:00:00,"short",1.38456,"stopped","2015-12-24T19:00:00",1.38662,-41,254,-1,0
2015-12-28 00:00:00,"short",1.38389,"stopped","2015-12-28T09:00:00",1.38615,-45,209,-1,-1
2016-01-11 05:00:00,"long",1.4165,"stopped","2016-01-11T10:00:00",1.41534,-23,186,-1,-2
2016-01-12 08:00:00,"long",1.42431,"stopped","2016-01-12T09:00:00",1.4229,-28,158,-1,-3
2016-01-14 11:00:00,"long",1.43662,"stopped","2016-01-14T15:00:00",1.43356,-61,97,-1,-4
2016-01-21 12:00:00,"short",1.44809,"target","2016-01-21T14:00:00",1.44604,41,138,1,-3
2016-01-26 16:00:00,"short",1.41496,"target","2016-01-26T17:00:00",1.41232,53,191,1,-2
2016-01-27 15:00:00,"short",1.41077,"target","2016-01-27T18:00:00",1.40406,134,325,1,-1
2016-02-11 11:00:00,"long",1.39697,"target","2016-02-11T13:00:00",1.40014,63,388,1,0
2016-02-11 16:00:00,"long",1.39256,"target","2016-02-11T21:00:00",1.40038,156,544,1,1
2016-02-11 21:00:00,"long",1.39292,"stopped","2016-02-12T18:00:00",1.38423,-174,370,-1,0
2016-02-18 00:00:00,"short",1.36894,"target","2016-02-18T04:00:00",1.36651,49,419,1,1
2016-02-18 13:00:00,"short",1.36839,"stopped","2016-02-18T14:00:00",1.3707,-46,373,-1,0
2016-02-26 16:00:00,"short",1.35286,"stopped","2016-02-26T17:00:00",1.35462,-35,338,-1,-1
2016-02-29 15:00:00,"long",1.35162,"stopped","2016-03-01T16:00:00",1.34649,-103,235,-1,-2
2016-03-09 01:00:00,"long",1.34187,"target","2016-03-09T03:00:00",1.34278,18,253,1,-1
2016-03-09 09:00:00,"long",1.34238,"stopped","2016-03-09T10:00:00",1.34134,-21,232,-1,-2
2016-03-09 16:00:00,"long",1.34033,"stopped","2016-03-09T17:00:00",1.33776,-51,181,-1,-3
2016-03-16 14:00:00,"long",1.33739,"stopped","2016-03-16T16:00:00",1.33434,-61,120,-1,-4
2016-03-17 03:00:00,"short",1.31062,"target","2016-03-17T09:00:00",1.30702,72,192,1,-3
2016-03-22 14:00:00,"long",1.30849,"target","2016-03-22T15:00:00",1.31048,40,232,1,-2
2016-03-22 15:00:00,"long",1.30762,"stopped","2016-03-22T16:00:00",1.30465,-59,173,-1,-3
2016-03-30 03:00:00,"short",1.30655,"target","2016-03-30T10:00:00",1.30494,32,205,1,-2
2016-04-05 00:00:00,"long",1.30804,"stopped","2016-04-05T02:00:00",1.3073,-15,190,-1,-3
2016-04-15 17:00:00,"long",1.28761,"stopped","2016-04-15T18:00:00",1.28501,-52,138,-1,-4
2016-04-18 20:00:00,"short",1.28122,"target","2016-04-18T22:00:00",1.27945,36,174,1,-3
2016-04-22 17:00:00,"short",1.26522,"stopped","2016-04-22T19:00:00",1.26832,-62,112,-1,-4
2016-04-27 21:00:00,"long",1.26203,"stopped","2016-04-28T09:00:00",1.25464,-148,-36,-1,-5
2016-04-29 10:00:00,"short",1.25267,"target","2016-04-29T12:00:00",1.25127,28,-8,1,-4
2016-04-29 15:00:00,"short",1.25405,"target","2016-04-29T16:00:00",1.24989,83,75,1,-3
2016-05-06 14:00:00,"long",1.28718,"stopped","2016-05-06T15:00:00",1.28573,-29,46,-1,-4
2016-05-09 11:00:00,"long",1.2932,"stopped","2016-05-09T12:00:00",1.29109,-42,4,-1,-5
2016-05-13 10:00:00,"long",1.28542,"target","2016-05-13T15:00:00",1.28839,59,63,1,-4
2016-05-20 17:00:00,"long",1.31275,"target","2016-05-23T13:00:00",1.31636,72,135,1,-3
2016-05-26 00:00:00,"short",1.3022,"stopped","2016-05-26T01:00:00",1.30321,-20,115,-1,-4
2016-05-27 21:00:00,"long",1.30233,"target","2016-05-30T01:00:00",1.30475,48,163,1,-3
2016-05-31 05:00:00,"short",1.30284,"target","2016-05-31T06:00:00",1.30237,9,172,1,-2
2016-06-02 16:00:00,"long",1.31088,"stopped","2016-06-02T18:00:00",1.30744,-69,103,-1,-3
2016-06-09 15:00:00,"long",1.274,"target","2016-06-09T16:00:00",1.27639,48,151,1,-2
2016-06-09 16:00:00,"long",1.27313,"stopped","2016-06-10T15:00:00",1.26967,-69,82,-1,-3
2016-06-13 12:00:00,"long",1.27733,"target","2016-06-13T15:00:00",1.27895,32,114,1,-2
2016-06-15 00:00:00,"long",1.28649,"stopped","2016-06-15T04:00:00",1.28565,-17,97,-1,-3
2016-06-15 08:00:00,"long",1.28636,"stopped","2016-06-15T09:00:00",1.28522,-23,74,-1,-4
2016-06-30 03:00:00,"short",1.29393,"stopped","2016-06-30T04:00:00",1.29485,-19,55,-1,-5
2016-07-06 11:00:00,"long",1.29963,"stopped","2016-07-06T12:00:00",1.29752,-42,13,-1,-6
2016-07-08 10:00:00,"long",1.30086,"target","2016-07-08T12:00:00",1.30224,28,41,1,-5
2016-07-08 12:00:00,"long",1.30131,"stopped","2016-07-08T13:00:00",1.30043,-18,23,-1,-6
2016-07-15 19:00:00,"long",1.29722,"stopped","2016-07-15T20:00:00",1.29575,-29,-6,-1,-7
2016-07-19 11:00:00,"long",1.30066,"target","2016-07-19T14:00:00",1.30266,40,34,1,-6
2016-07-21 22:00:00,"long",1.30853,"target","2016-07-22T04:00:00",1.3102,34,68,1,-5
2016-07-26 15:00:00,"long",1.32369,"stopped","2016-07-26T16:00:00",1.32305,-13,55,-1,-6
2016-07-27 03:00:00,"short",1.3176,"stopped","2016-07-27T06:00:00",1.31926,-33,22,-1,-7
2016-07-27 17:00:00,"short",1.32202,"target","2016-07-28T02:00:00",1.31565,127,149,1,-6
2016-08-02 02:00:00,"long",1.3124,"target","2016-08-02T04:00:00",1.31323,17,166,1,-5
2016-08-04 00:00:00,"short",1.30767,"target","2016-08-04T03:00:00",1.30613,31,197,1,-4
2016-08-04 11:00:00,"short",1.30738,"target","2016-08-04T15:00:00",1.30572,33,230,1,-3
2016-08-04 15:00:00,"short",1.30716,"target","2016-08-04T16:00:00",1.30495,44,274,1,-2
2015-08-19 06:00:00,"short",1.30574,"target","2015-08-19T09:00:00",1.30394,36,310,1,-1
2015-08-21 18:00:00,"long",1.31444,"target","2015-08-24T01:00:00",1.31952,102,412,1,0
2015-08-25 02:00:00,"long",1.3286,"stopped","2015-08-25T03:00:00",1.32817,-9,403,-1,-1
2015-09-02 00:00:00,"long",1.3249,"stopped","2015-09-02T03:00:00",1.32383,-21,382,-1,-2
2015-09-07 14:00:00,"long",1.32886,"stopped","2015-09-07T15:00:00",1.32825,-12,370,-1,-3
2015-09-29 00:00:00,"long",1.33933,"target","2015-09-29T03:00:00",1.33997,13,383,1,-2
2015-10-08 17:00:00,"long",1.3049,"stopped","2015-10-08T18:00:00",1.30249,-48,335,-1,-3
2015-10-15 03:00:00,"short",1.2927,"target","2015-10-15T05:00:00",1.29093,35,370,1,-2
2015-10-20 12:00:00,"long",1.30172,"stopped","2015-10-20T14:00:00",1.30013,-32,338,-1,-3
2015-10-22 00:00:00,"long",1.3137,"stopped","2015-10-22T03:00:00",1.31301,-14,324,-1,-4
2015-11-03 14:00:00,"long",1.31103,"target","2015-11-03T15:00:00",1.31197,19,343,1,-3
2015-11-20 15:00:00,"long",1.3295,"target","2015-11-20T18:00:00",1.33409,92,435,1,-2
2015-11-27 10:00:00,"long",1.3313,"target","2015-11-27T11:00:00",1.33266,27,462,1,-1
2015-12-01 11:00:00,"short",1.33317,"stopped","2015-12-01T15:00:00",1.33545,-46,416,-1,-2
2015-12-01 15:00:00,"short",1.33796,"target","2015-12-02T17:00:00",1.33103,139,555,1,-1
2015-12-04 16:00:00,"long",1.33562,"target","2015-12-07T10:00:00",1.34173,122,677,1,0
2015-12-14 18:00:00,"long",1.37326,"stopped","2015-12-15T04:00:00",1.37042,-57,620,-1,-1
2015-12-15 13:00:00,"short",1.36959,"stopped","2015-12-15T15:00:00",1.37195,-47,573,-1,-2
2015-12-18 15:00:00,"long",1.39688,"stopped","2015-12-18T16:00:00",1.39366,-64,509,-1,-3
2015-12-23 00:00:00,"short",1.39218,"target","2015-12-23T10:00:00",1.39082,27,536,1,-2
2015-12-23 12:00:00,"short",1.39301,"target","2015-12-23T13:00:00",1.39137,33,569,1,-1
2015-12-24 18:00:00,"short",1.38456,"stopped","2015-12-24T19:00:00",1.38662,-41,528,-1,-2
2015-12-28 00:00:00,"short",1.38389,"stopped","2015-12-28T09:00:00",1.38615,-45,483,-1,-3
2016-01-11 05:00:00,"long",1.4165,"stopped","2016-01-11T10:00:00",1.41534,-23,460,-1,-4
2016-01-12 08:00:00,"long",1.42431,"stopped","2016-01-12T09:00:00",1.4229,-28,432,-1,-5
2016-01-14 11:00:00,"long",1.43662,"stopped","2016-01-14T15:00:00",1.43356,-61,371,-1,-6
2016-01-21 12:00:00,"short",1.44809,"target","2016-01-21T14:00:00",1.44604,41,412,1,-5
2016-01-26 16:00:00,"short",1.41496,"target","2016-01-26T17:00:00",1.41232,53,465,1,-4
2016-01-27 15:00:00,"short",1.41077,"target","2016-01-27T18:00:00",1.40406,134,599,1,-3
2016-02-11 11:00:00,"long",1.39697,"target","2016-02-11T13:00:00",1.40014,63,662,1,-2
2016-02-11 16:00:00,"long",1.39256,"target","2016-02-11T21:00:00",1.40038,156,818,1,-1
2016-02-11 21:00:00,"long",1.39292,"stopped","2016-02-12T18:00:00",1.38423,-174,644,-1,-2
2016-02-18 00:00:00,"short",1.36894,"target","2016-02-18T04:00:00",1.36651,49,693,1,-1
2016-02-18 13:00:00,"short",1.36839,"stopped","2016-02-18T14:00:00",1.3707,-46,647,-1,-2
2016-02-26 16:00:00,"short",1.35286,"stopped","2016-02-26T17:00:00",1.35462,-35,612,-1,-3
2016-02-29 15:00:00,"long",1.35162,"stopped","2016-03-01T16:00:00",1.34649,-103,509,-1,-4
2016-03-09 01:00:00,"long",1.34187,"target","2016-03-09T03:00:00",1.34278,18,527,1,-3
2016-03-09 09:00:00,"long",1.34238,"stopped","2016-03-09T10:00:00",1.34134,-21,506,-1,-4
2016-03-09 16:00:00,"long",1.34033,"stopped","2016-03-09T17:00:00",1.33776,-51,455,-1,-5
2016-03-16 14:00:00,"long",1.33739,"stopped","2016-03-16T16:00:00",1.33434,-61,394,-1,-6
2016-03-17 03:00:00,"short",1.31062,"target","2016-03-17T09:00:00",1.30702,72,466,1,-5
2016-03-22 14:00:00,"long",1.30849,"target","2016-03-22T15:00:00",1.31048,40,506,1,-4
2016-03-22 15:00:00,"long",1.30762,"stopped","2016-03-22T16:00:00",1.30465,-59,447,-1,-5
2016-03-30 03:00:00,"short",1.30655,"target","2016-03-30T10:00:00",1.30494,32,479,1,-4
2016-04-05 00:00:00,"long",1.30804,"stopped","2016-04-05T02:00:00",1.3073,-15,464,-1,-5
2016-04-15 17:00:00,"long",1.28761,"stopped","2016-04-15T18:00:00",1.28501,-52,412,-1,-6
2016-04-18 20:00:00,"short",1.28122,"target","2016-04-18T22:00:00",1.27945,36,448,1,-5
2016-04-22 17:00:00,"short",1.26522,"stopped","2016-04-22T19:00:00",1.26832,-62,386,-1,-6
2016-04-27 21:00:00,"long",1.26203,"stopped","2016-04-28T09:00:00",1.25464,-148,238,-1,-7
2016-04-29 10:00:00,"short",1.25267,"target","2016-04-29T12:00:00",1.25127,28,266,1,-6
2016-04-29 15:00:00,"short",1.25405,"target","2016-04-29T16:00:00",1.24989,83,349,1,-5
2016-05-06 14:00:00,"long",1.28718,"stopped","2016-05-06T15:00:00",1.28573,-29,320,-1,-6
2016-05-09 11:00:00,"long",1.2932,"stopped","2016-05-09T12:00:00",1.29109,-42,278,-1,-7
2016-05-13 10:00:00,"long",1.28542,"target","2016-05-13T15:00:00",1.28839,59,337,1,-6
2016-05-20 17:00:00,"long",1.31275,"target","2016-05-23T13:00:00",1.31636,72,409,1,-5
2016-05-26 00:00:00,"short",1.3022,"stopped","2016-05-26T01:00:00",1.30321,-20,389,-1,-6
2016-05-27 21:00:00,"long",1.30233,"target","2016-05-30T01:00:00",1.30475,48,437,1,-5
2016-05-31 05:00:00,"short",1.30284,"target","2016-05-31T06:00:00",1.30237,9,446,1,-4
2016-06-02 16:00:00,"long",1.31088,"stopped","2016-06-02T18:00:00",1.30744,-69,377,-1,-5
2016-06-09 15:00:00,"long",1.274,"target","2016-06-09T16:00:00",1.27639,48,425,1,-4
2016-06-09 16:00:00,"long",1.27313,"stopped","2016-06-10T15:00:00",1.26967,-69,356,-1,-5
2016-06-13 12:00:00,"long",1.27733,"target","2016-06-13T15:00:00",1.27895,32,388,1,-4
2016-06-15 00:00:00,"long",1.28649,"stopped","2016-06-15T04:00:00",1.28565,-17,371,-1,-5
