"date.time","direction","entry","target_or_stop","exit_date","exit","ticks","cumulative_profit","winLose","cum.winLose"
2015-08-11 16:00:00,"short",0.98273,"stopped","2015-08-11T17:00:00",0.98535,-53,-53,-1,-1
2015-08-14 14:00:00,"short",0.97432,"stopped","2015-08-14T16:00:00",0.97593,-32,-85,-1,-2
2015-08-17 18:00:00,"long",0.97716,"stopped","2015-08-19T11:00:00",0.9748,-47,-132,-1,-3
2015-08-24 02:00:00,"short",0.94738,"target","2015-08-24T04:00:00",0.94522,43,-89,1,-2
2015-09-03 10:00:00,"long",0.96918,"target","2015-09-03T13:00:00",0.97077,32,-57,1,-1
2015-09-08 07:00:00,"short",0.97117,"stopped","2015-09-08T09:00:00",0.97243,-25,-82,-1,-2
2015-09-08 11:00:00,"long",0.97545,"target","2015-09-08T12:00:00",0.97665,24,-58,1,-1
2015-09-09 09:00:00,"long",0.9801,"stopped","2015-09-09T10:00:00",0.97789,-44,-102,-1,-2
2015-09-10 21:00:00,"short",0.97245,"stopped","2015-09-11T12:00:00",0.97441,-39,-141,-1,-3
2015-09-14 01:00:00,"short",0.96868,"target","2015-09-14T06:00:00",0.96801,13,-128,1,-2
2015-09-17 11:00:00,"short",0.96767,"stopped","2015-09-17T12:00:00",0.96864,-19,-147,-1,-3
2015-09-22 11:00:00,"long",0.97205,"target","2015-09-22T13:00:00",0.97424,44,-103,1,-2
2015-09-22 18:00:00,"long",0.97343,"target","2015-09-22T20:00:00",0.97452,22,-81,1,-1
2015-09-30 10:00:00,"long",0.97451,"stopped","2015-09-30T11:00:00",0.97358,-19,-100,-1,-2
2015-10-02 15:00:00,"long",0.96667,"stopped","2015-10-14T15:00:00",0.9541,-252,-352,-1,-3
2015-10-15 10:00:00,"short",0.95026,"stopped","2015-10-15T15:00:00",0.95299,-54,-406,-1,-4
2015-10-16 12:00:00,"long",0.95356,"stopped","2015-10-16T14:00:00",0.95184,-34,-440,-1,-5
2015-10-30 01:00:00,"short",0.98925,"stopped","2015-10-30T05:00:00",0.9904,-23,-463,-1,-6
2015-11-23 02:00:00,"long",1.01952,"target","2015-11-23T03:00:00",1.02012,12,-451,1,-5
2015-12-01 08:00:00,"short",1.02656,"stopped","2015-12-01T09:00:00",1.02741,-17,-468,-1,-6
2015-12-01 17:00:00,"short",1.0291,"target","2015-12-02T00:00:00",1.0254,74,-394,1,-5
2015-12-02 00:00:00,"short",1.02622,"stopped","2015-12-02T08:00:00",1.02716,-19,-413,-1,-6
2015-12-24 15:00:00,"short",0.98737,"stopped","2015-12-24T16:00:00",0.98817,-16,-429,-1,-7
2015-12-24 18:00:00,"short",0.98736,"stopped","2015-12-24T19:00:00",0.98796,-12,-441,-1,-8
2016-01-04 03:00:00,"long",1.00034,"stopped","2016-01-04T06:00:00",0.99805,-46,-487,-1,-9
2016-01-12 03:00:00,"long",1.00125,"stopped","2016-01-12T04:00:00",1.00019,-21,-508,-1,-10
2016-01-18 09:00:00,"long",1.00435,"target","2016-01-18T10:00:00",1.00663,46,-462,1,-9
2016-01-19 21:00:00,"short",1.00219,"target","2016-01-20T06:00:00",1.0002,40,-422,1,-8
2016-01-20 07:00:00,"short",1.00039,"target","2016-01-20T08:00:00",0.99964,15,-407,1,-7
2016-01-20 16:00:00,"short",1.00059,"stopped","2016-01-20T17:00:00",1.00221,-32,-439,-1,-8
2016-01-29 05:00:00,"long",1.01388,"target","2016-01-29T15:00:00",1.02251,173,-266,1,-7
2016-02-05 03:00:00,"short",0.99394,"target","2016-02-05T11:00:00",0.99194,40,-226,1,-6
2016-02-05 18:00:00,"short",0.99394,"target","2016-02-05T19:00:00",0.99181,43,-183,1,-5
2016-02-09 09:00:00,"short",0.98561,"target","2016-02-09T10:00:00",0.98396,33,-150,1,-4
2016-02-11 03:00:00,"short",0.97185,"stopped","2016-02-11T05:00:00",0.97339,-31,-181,-1,-5
2016-02-11 16:00:00,"short",0.97468,"target","2016-02-11T18:00:00",0.97022,89,-92,1,-4
2016-02-11 21:00:00,"short",0.97246,"stopped","2016-02-12T07:00:00",0.97482,-47,-139,-1,-5
2016-02-16 20:00:00,"long",0.98849,"target","2016-02-17T02:00:00",0.9897,24,-115,1,-4
2016-02-19 10:00:00,"short",0.99347,"stopped","2016-02-19T12:00:00",0.99674,-65,-180,-1,-5
2016-02-19 17:00:00,"short",0.99148,"target","2016-02-19T18:00:00",0.9901,28,-152,1,-4
2016-03-02 02:00:00,"short",0.99687,"stopped","2016-03-02T05:00:00",0.99828,-28,-180,-1,-5
2016-03-04 15:00:00,"long",0.99259,"target","2016-03-07T10:00:00",0.99895,127,-53,1,-4
2016-03-08 14:00:00,"short",0.99366,"target","2016-03-08T15:00:00",0.99242,25,-28,1,-3
2016-03-11 19:00:00,"short",0.98166,"stopped","2016-03-11T23:00:00",0.9831,-29,-57,-1,-4
2016-03-15 09:00:00,"long",0.98614,"target","2016-03-15T12:00:00",0.98909,59,2,1,-3
2016-03-25 14:00:00,"long",0.97652,"target","2016-03-25T17:00:00",0.97835,37,39,1,-2
2016-04-01 15:00:00,"short",0.95903,"stopped","2016-04-01T17:00:00",0.96246,-69,-30,-1,-3
2016-04-11 00:00:00,"short",0.95333,"target","2016-04-11T04:00:00",0.95215,23,-7,1,-2
2016-04-14 08:00:00,"long",0.96666,"target","2016-04-14T09:00:00",0.96764,20,13,1,-1
2016-04-15 10:00:00,"long",0.96764,"stopped","2016-04-15T15:00:00",0.96655,-22,-9,-1,-2
2016-04-18 15:00:00,"short",0.96548,"target","2016-04-18T17:00:00",0.9643,24,15,1,-1
2016-04-22 00:00:00,"long",0.97463,"stopped","2016-04-22T03:00:00",0.97398,-13,2,-1,-2
2016-05-04 11:00:00,"long",0.95522,"target","2016-05-04T17:00:00",0.9577,50,52,1,-1
2016-05-06 15:00:00,"long",0.96763,"target","2016-05-06T16:00:00",0.97012,50,102,1,0
2016-05-17 09:00:00,"long",0.97729,"target","2016-05-17T15:00:00",0.97909,36,138,1,1
2016-05-24 15:00:00,"long",0.99169,"target","2016-05-24T16:00:00",0.99275,21,159,1,2
2016-05-27 18:00:00,"long",0.99167,"target","2016-05-27T20:00:00",0.99326,32,191,1,3
2016-05-30 04:00:00,"long",0.99442,"target","2016-05-30T08:00:00",0.99528,17,208,1,4
2016-05-30 10:00:00,"long",0.99453,"stopped","2016-05-30T11:00:00",0.99353,-20,188,-1,3
2016-06-02 13:00:00,"short",0.9867,"stopped","2016-06-02T14:00:00",0.98753,-17,171,-1,2
2016-06-14 18:00:00,"short",0.96391,"target","2016-06-14T20:00:00",0.96274,23,194,1,3
2016-06-20 16:00:00,"short",0.95927,"stopped","2016-06-20T17:00:00",0.96038,-22,172,-1,2
2016-06-22 09:00:00,"long",0.96042,"stopped","2016-06-22T13:00:00",0.95818,-45,127,-1,1
2016-06-23 17:00:00,"short",0.95691,"stopped","2016-06-23T19:00:00",0.95916,-45,82,-1,0
2016-07-01 23:00:00,"short",0.97367,"stopped","2016-07-04T00:00:00",0.97473,-21,61,-1,-1
2016-07-06 02:00:00,"long",0.97702,"target","2016-07-06T03:00:00",0.97758,11,72,1,0
2016-07-08 01:00:00,"long",0.97887,"stopped","2016-07-08T03:00:00",0.9785,-8,64,-1,-1
2016-07-20 10:00:00,"long",0.98706,"target","2016-07-20T12:00:00",0.98824,24,88,1,0
