date,direction,entry,target_or_stop,exit_date,exit,ticks
2007-12-05T20:00,long,0.87254,stopped,2007-12-05T21:00,0.87044,-42
2007-12-06T09:00,short,0.87308,target,2007-12-06T10:00,0.87156,30
2007-12-07T00:00,short,0.87876,target,2007-12-07T02:00,0.87788,17
2007-12-10T00:00,long,0.87561,target,2007-12-10T09:00,0.87851,58
2007-12-27T00:00,short,0.87397,target,2007-12-27T02:00,0.87347,10
2007-12-27T02:00,short,0.87368,stopped,2007-12-27T03:00,0.87472,-21
2007-12-27T15:00,long,0.87444,target,2007-12-27T18:00,0.87728,57
2007-12-31T18:00,short,0.87741,target,2007-12-31T23:00,0.87487,51
2008-01-02T17:00,short,0.87998,stopped,2008-01-02T20:00,0.88294,-59
2008-01-09T17:00,short,0.88180,target,2008-01-09T20:00,0.87930,50
2008-01-15T04:00,short,0.89910,stopped,2008-01-15T05:00,0.90070,-32
2008-01-15T15:00,short,0.89850,target,2008-01-15T17:00,0.89630,44
2008-01-16T00:00,long,0.88150,target,2008-01-16T04:00,0.88490,68
2008-01-24T11:00,short,0.87310,target,2008-01-24T12:00,0.87090,44
2008-01-29T00:00,short,0.88870,target,2008-01-29T01:00,0.88790,16
2008-01-29T09:00,short,0.88820,stopped,2008-01-29T12:00,0.88960,-28
2008-01-29T20:00,short,0.88820,stopped,2008-01-29T22:00,0.88940,-24
2008-02-04T05:00,short,0.90420,stopped,2008-02-04T06:00,0.90530,-22
2008-02-20T08:00,long,0.91484,target,2008-02-20T09:00,0.91641,31
2008-02-28T05:00,short,0.94266,target,2008-02-28T07:00,0.94136,26
2008-02-28T15:00,short,0.94278,stopped,2008-02-28T16:00,0.94412,-27
2008-03-06T03:00,short,0.93405,stopped,2008-03-06T04:00,0.93527,-24
2008-03-07T00:00,long,0.92682,target,2008-03-07T01:00,0.92905,45
2008-03-11T00:00,long,0.91787,stopped,2008-03-11T01:00,0.91571,-43
2008-03-11T06:00,long,0.91958,target,2008-03-11T11:00,0.92338,76
2008-03-20T03:00,long,0.91262,target,2008-03-20T06:00,0.91632,74
2008-03-28T17:00,long,0.91865,stopped,2008-03-28T18:00,0.91627,-48
2008-04-08T13:00,short,0.92721,target,2008-04-08T15:00,0.92537,37
2008-04-11T19:00,long,0.92907,stopped,2008-04-11T23:00,0.92770,-27
2008-04-15T02:00,short,0.92588,target,2008-04-15T04:00,0.92469,24
2008-05-02T04:00,long,0.93372,stopped,2008-05-02T09:00,0.92994,-75
2008-05-02T15:00,long,0.93515,target,2008-05-05T08:00,0.94047,106
2008-05-06T00:00,short,0.94634,target,2008-05-06T01:00,0.94601,7
2008-05-27T10:00,long,0.95934,target,2008-05-27T11:00,0.96064,26
2008-05-27T12:00,short,0.96088,stopped,2008-05-27T14:00,0.96227,-28
2008-06-02T09:00,long,0.95229,target,2008-06-02T12:00,0.95454,45
2008-06-04T01:00,long,0.95116,stopped,2008-06-04T02:00,0.95047,-14
2008-06-04T15:00,short,0.96074,target,2008-06-04T16:00,0.95972,20
2008-06-10T07:00,long,0.94968,stopped,2008-06-10T10:00,0.94774,-39
2008-06-11T08:00,long,0.94463,target,2008-06-11T09:00,0.94583,24
2008-06-16T20:00,short,0.94061,stopped,2008-06-17T02:00,0.94168,-21
2008-06-17T04:00,short,0.94069,stopped,2008-06-17T20:00,0.94396,-65
2008-06-19T08:00,short,0.94654,target,2008-06-19T12:00,0.94521,27
2008-06-19T14:00,short,0.94722,stopped,2008-06-19T15:00,0.94792,-14
2008-06-30T03:00,short,0.96207,stopped,2008-06-30T09:00,0.96349,-28
2008-07-24T01:00,long,0.96095,stopped,2008-07-24T04:00,0.95961,-27
2008-07-31T23:00,long,0.94220,stopped,2008-08-01T01:00,0.94067,-31
2008-08-04T00:00,long,0.93009,target,2008-08-04T05:00,0.93184,35
2008-08-19T04:00,long,0.86666,target,2008-08-19T07:00,0.86999,67
2008-08-20T17:00,short,0.87011,stopped,2008-08-21T09:00,0.87444,-86
2008-08-25T12:00,long,0.86724,stopped,2008-08-25T20:00,0.86423,-60
2008-08-29T23:00,long,0.85887,stopped,2008-08-31T23:00,0.85741,-29
2008-09-03T11:00,long,0.82797,target,2008-09-03T15:00,0.83255,92
2008-09-09T16:00,long,0.80869,target,2008-09-09T19:00,0.81214,69
2008-09-10T03:00,long,0.80239,target,2008-09-10T06:00,0.80613,75
2008-09-12T00:00,short,0.80724,target,2008-09-12T01:00,0.80473,50
2008-09-15T06:00,short,0.82230,stopped,2008-09-15T08:00,0.82551,-64
2008-09-18T15:00,short,0.80539,target,2008-09-18T17:00,0.80145,79
2008-09-22T13:00,short,0.83468,stopped,2008-09-22T14:00,0.83824,-71
2008-10-02T00:00,long,0.78975,target,2008-10-02T04:00,0.79386,82
2008-10-17T00:00,short,0.68917,target,2008-10-17T01:00,0.68395,104
