date,direction,entry,target_or_stop,exit_date,exit,ticks
2007-12-04T10:00,short,1.65307,target,2007-12-04T12:00,1.64883,85
2007-12-06T17:00,short,1.64972,stopped,2007-12-06T19:00,1.65187,-43
2007-12-07T13:00,short,1.65374,stopped,2007-12-07T14:00,1.65477,-21
2007-12-20T21:00,long,1.65868,target,2007-12-20T23:00,1.65983,23
2007-12-21T18:00,short,1.66093,target,2007-12-21T20:00,1.65977,23
2007-12-27T17:00,long,1.66602,stopped,2007-12-28T07:00,1.66407,-39
2008-01-09T14:00,long,1.63590,stopped,2008-01-09T15:00,1.63470,-24
2008-01-14T12:00,long,1.62595,stopped,2008-01-15T03:00,1.62300,-59
2008-01-21T04:00,long,1.60575,target,2008-01-21T05:00,1.60635,12
2008-01-22T20:00,short,1.60575,target,2008-01-22T21:00,1.60390,37
2008-01-29T02:00,short,1.61105,target,2008-01-29T03:00,1.61035,14
2008-02-01T16:00,long,1.60485,target,2008-02-01T21:00,1.60895,82
2008-02-02T00:00,short,1.61215,target,2008-02-04T01:00,1.61115,20
2008-02-15T01:00,long,1.60677,target,2008-02-15T11:00,1.60891,43
2008-02-26T23:00,long,1.61057,target,2008-02-27T00:00,1.61178,24
2008-02-27T09:00,long,1.61046,stopped,2008-02-27T13:00,1.60751,-59
2008-02-28T08:00,long,1.60598,stopped,2008-02-28T09:00,1.60545,-11
2008-03-05T19:00,short,1.58159,stopped,2008-03-06T05:00,1.58551,-78
2008-03-06T07:00,short,1.58413,target,2008-03-06T09:00,1.58278,27
2008-03-14T16:00,long,1.57155,stopped,2008-03-14T20:00,1.56656,-100
2008-03-19T00:00,short,1.56667,target,2008-03-19T02:00,1.56405,52
2008-03-20T19:00,long,1.55913,stopped,2008-03-20T23:00,1.55521,-78
2008-03-25T07:00,short,1.57455,stopped,2008-03-25T09:00,1.57703,-50
2008-03-27T06:00,long,1.56638,target,2008-03-27T08:00,1.56749,22
2008-03-28T22:00,short,1.57176,target,2008-03-31T00:00,1.57079,19
2008-03-31T18:00,long,1.56815,target,2008-04-01T08:00,1.56984,34
2008-04-02T00:00,short,1.58050,target,2008-04-02T02:00,1.57958,18
2008-04-10T04:00,long,1.58321,stopped,2008-04-10T06:00,1.58130,-38
2008-04-11T10:00,short,1.58641,stopped,2008-04-11T13:00,1.58929,-57
2008-04-16T10:00,short,1.58960,target,2008-04-16T12:00,1.58785,35
2008-04-22T09:00,long,1.60415,target,2008-04-22T10:00,1.60652,47
2008-04-28T11:00,long,1.61605,target,2008-04-28T15:00,1.61845,48
2008-04-29T13:00,long,1.61635,stopped,2008-04-29T17:00,1.61351,-57
2008-05-05T22:00,short,1.63171,target,2008-05-06T05:00,1.63073,20
2008-05-21T08:00,long,1.62365,target,2008-05-21T09:00,1.62488,25
2008-05-21T17:00,long,1.62279,stopped,2008-05-21T18:00,1.62210,-14
2008-05-22T12:00,long,1.61862,target,2008-05-22T13:00,1.61985,25
2008-05-27T13:00,short,1.61651,stopped,2008-05-27T16:00,1.61852,-40
2008-05-28T13:00,short,1.62276,stopped,2008-05-28T14:00,1.62371,-19
2008-06-03T21:00,long,1.60911,target,2008-06-03T22:00,1.61127,43
2008-06-06T15:00,short,1.61820,target,2008-06-06T16:00,1.61616,41
2008-06-13T14:00,short,1.61168,stopped,2008-06-16T09:00,1.61479,-62
2008-06-16T10:00,short,1.61355,target,2008-06-16T11:00,1.61228,25
2008-06-19T10:00,long,1.61227,target,2008-06-19T13:00,1.61705,96
2008-06-25T22:00,short,1.62266,stopped,2008-06-26T09:00,1.62470,-41
2008-07-02T09:00,short,1.60922,stopped,2008-07-02T11:00,1.61185,-52
2008-07-04T21:00,long,1.60876,target,2008-07-04T22:00,1.60956,16
2008-07-10T14:00,short,1.62212,target,2008-07-10T15:00,1.62074,28
2008-07-15T00:00,long,1.61700,stopped,2008-07-15T03:00,1.61611,-18
2008-07-23T21:00,short,1.62885,target,2008-07-24T10:00,1.62737,30
2008-07-25T07:00,long,1.62347,target,2008-07-25T09:00,1.62467,24
2008-07-25T17:00,short,1.62917,target,2008-07-25T21:00,1.62741,35
2008-07-30T20:00,short,1.63161,stopped,2008-07-30T21:00,1.63270,-22
2008-08-01T17:00,long,1.63180,target,2008-08-01T21:00,1.63319,28
2008-08-04T15:00,short,1.63360,target,2008-08-04T16:00,1.63256,21
2008-08-05T11:00,long,1.63142,stopped,2008-08-05T12:00,1.63045,-20
2008-08-05T18:00,long,1.63147,stopped,2008-08-05T19:00,1.63075,-14
2008-08-06T00:00,long,1.62980,target,2008-08-06T03:00,1.63043,13
2008-08-08T07:00,long,1.62815,stopped,2008-08-08T10:00,1.62648,-33
2008-08-21T00:00,short,1.61993,target,2008-08-21T09:00,1.61854,28
2008-08-26T09:00,long,1.61617,target,2008-08-26T10:00,1.61705,18
2008-08-28T05:00,short,1.61696,target,2008-08-28T07:00,1.61646,10
2008-09-02T22:00,long,1.60621,stopped,2008-09-03T03:00,1.60514,-21
2008-09-03T03:00,long,1.60600,stopped,2008-09-03T07:00,1.60494,-21
2008-09-03T12:00,long,1.60604,stopped,2008-09-03T14:00,1.60505,-20
2008-09-09T10:00,long,1.59779,target,2008-09-09T13:00,1.60106,65
2008-09-10T01:00,long,1.59343,target,2008-09-10T06:00,1.59609,53
2008-09-12T02:00,short,1.59244,target,2008-09-12T07:00,1.59021,45
2008-09-17T05:00,short,1.59057,target,2008-09-17T06:00,1.58935,25
2008-09-18T00:00,long,1.58158,stopped,2008-09-18T03:00,1.57846,-62
2008-09-18T03:00,long,1.57917,target,2008-09-18T08:00,1.58108,38
2008-09-23T01:00,long,1.58910,target,2008-09-23T05:00,1.59121,42
2008-09-24T08:00,short,1.59528,stopped,2008-09-24T09:00,1.59650,-25
2008-09-24T13:00,short,1.59513,target,2008-09-24T16:00,1.59364,30
2008-09-25T16:00,long,1.59291,target,2008-09-25T19:00,1.59552,52
2008-09-30T01:00,long,1.57230,target,2008-09-30T10:00,1.57862,126
2008-10-02T23:00,long,1.56943,target,2008-10-03T00:00,1.57014,14
