date,direction,entry,target_or_stop,exit_date,exit,ticks
2007-12-04T09:00,long,1.12810,target,2007-12-04T10:00,1.12985,35
2007-12-10T01:00,long,1.12809,target,2007-12-10T02:00,1.12869,12
2007-12-20T23:00,short,1.15819,stopped,2007-12-21T00:00,1.15934,-23
2008-01-08T14:00,long,1.11615,stopped,2008-01-08T16:00,1.11397,-44
2008-01-10T00:00,short,1.11655,target,2008-01-10T02:00,1.11585,14
2008-01-24T17:00,long,1.08820,stopped,2008-01-24T19:00,1.08665,-31
2008-02-13T10:00,short,1.10327,target,2008-02-13T12:00,1.10215,22
2008-02-13T14:00,short,1.10354,stopped,2008-02-13T15:00,1.10494,-28
2008-02-14T15:00,long,1.10417,stopped,2008-02-14T18:00,1.10071,-69
2008-03-05T20:00,long,1.03513,target,2008-03-06T00:00,1.03685,34
2008-03-19T00:00,short,1.00188,target,2008-03-19T02:00,0.99853,67
2008-03-25T06:00,long,1.01294,stopped,2008-03-25T13:00,1.00963,-66
2008-04-04T15:00,long,1.00954,stopped,2008-04-04T16:00,1.00364,-118
2008-04-11T08:00,short,1.00645,target,2008-04-11T09:00,1.00401,49
2008-04-22T12:00,long,1.00821,target,2008-04-22T13:00,1.01034,43
2008-04-29T09:00,short,1.03567,stopped,2008-04-29T10:00,1.03720,-31
2008-05-07T09:00,short,1.05369,stopped,2008-05-07T13:00,1.05580,-42
2008-06-03T17:00,short,1.04363,target,2008-06-04T11:00,1.03836,105
2008-06-12T01:00,long,1.03117,stopped,2008-06-12T02:00,1.03033,-17
2008-06-18T13:00,short,1.04500,target,2008-06-18T14:00,1.04328,34
2008-06-19T15:00,short,1.04457,target,2008-06-20T08:00,1.04176,56
2008-06-27T03:00,long,1.02402,target,2008-06-27T07:00,1.02610,42
2008-07-01T10:00,short,1.02052,target,2008-07-01T12:00,1.01828,45
2008-07-02T22:00,long,1.01425,target,2008-07-03T05:00,1.01543,24
2008-07-03T10:00,long,1.01438,stopped,2008-07-03T13:00,1.01268,-34
2008-07-17T01:00,short,1.01769,target,2008-07-17T03:00,1.01663,21
2008-07-23T10:00,short,1.03201,stopped,2008-07-23T11:00,1.03460,-52
2008-07-24T11:00,short,1.03775,target,2008-07-25T06:00,1.03517,52
2008-07-29T04:00,long,1.03317,target,2008-07-29T07:00,1.03401,17
2008-07-29T11:00,long,1.03409,target,2008-07-29T14:00,1.03651,48
2008-07-30T13:00,short,1.04731,target,2008-07-30T14:00,1.04672,12
2008-07-31T10:00,long,1.04659,stopped,2008-07-31T15:00,1.04394,-53
2008-08-01T05:00,short,1.04950,target,2008-08-01T06:00,1.04915,7
2008-08-05T05:00,short,1.05037,stopped,2008-08-05T07:00,1.05103,-13
2008-08-05T07:00,short,1.05043,stopped,2008-08-05T08:00,1.05124,-16
2008-08-12T02:00,short,1.08600,stopped,2008-08-12T04:00,1.08833,-47
2008-08-13T10:00,long,1.08532,target,2008-08-13T11:00,1.08822,58
2008-08-15T08:00,short,1.09729,stopped,2008-08-15T09:00,1.09892,-33
2008-08-26T10:00,short,1.10007,stopped,2008-08-26T11:00,1.10361,-71
2008-08-28T08:00,long,1.09313,stopped,2008-08-28T09:00,1.09092,-44
2008-09-01T04:00,short,1.10319,target,2008-09-01T09:00,1.10171,30
2008-09-12T10:00,long,1.13533,target,2008-09-12T14:00,1.13810,55
2008-09-16T11:00,long,1.10721,target,2008-09-16T12:00,1.10974,51
2008-10-03T21:00,long,1.12628,target,2008-10-05T23:00,1.13070,88
2008-10-10T07:00,long,1.12679,stopped,2008-10-10T09:00,1.12246,-87
2008-10-15T03:00,short,1.13748,target,2008-10-15T09:00,1.13524,45
2008-11-07T03:00,short,1.17820,target,2008-11-07T04:00,1.17667,31
2008-11-12T00:00,short,1.18768,stopped,2008-11-12T01:00,1.18802,-7
2008-11-12T01:00,short,1.18729,target,2008-11-12T02:00,1.18496,47
2008-11-18T03:00,short,1.19940,target,2008-11-18T06:00,1.19809,26
2008-11-19T05:00,short,1.20419,stopped,2008-11-19T07:00,1.20539,-24
2008-11-19T17:00,long,1.20687,target,2008-11-20T15:00,1.21950,253
2008-11-24T06:00,long,1.21966,stopped,2008-11-24T08:00,1.21664,-60
2008-12-02T17:00,long,1.20460,target,2008-12-03T06:00,1.20977,103
2008-12-10T09:00,long,1.20317,target,2008-12-10T12:00,1.20649,67
2008-12-18T00:00,long,1.07339,stopped,2008-12-18T02:00,1.07128,-42
2009-01-13T16:00,short,1.12186,target,2009-01-13T19:00,1.11837,70
2009-01-14T10:00,long,1.11996,target,2009-01-15T14:00,1.12768,154
2009-01-29T10:00,short,1.15539,target,2009-01-29T12:00,1.15275,53
2009-02-09T01:00,long,1.16054,target,2009-02-09T04:00,1.16258,41
2009-02-20T07:00,short,1.17992,stopped,2009-02-20T08:00,1.18151,-32
2009-03-05T00:00,long,1.16779,target,2009-03-05T02:00,1.17093,63
2009-03-12T03:00,long,1.15357,stopped,2009-03-12T05:00,1.15019,-68
2009-03-19T10:00,long,1.14113,stopped,2009-03-19T13:00,1.13694,-84
2009-03-25T10:00,short,1.13148,target,2009-03-25T11:00,1.13020,26
2009-03-25T16:00,long,1.12479,target,2009-03-27T11:00,1.13272,158
2009-04-02T14:00,long,1.14085,stopped,2009-04-02T15:00,1.13587,-100
2009-04-15T10:00,short,1.14297,target,2009-04-15T11:00,1.14107,38
2009-04-15T11:00,short,1.14190,stopped,2009-04-15T14:00,1.14509,-64
2009-04-22T10:00,short,1.17045,target,2009-04-22T11:00,1.16880,33
2009-05-05T01:00,long,1.12620,target,2009-05-05T03:00,1.12767,29
2009-05-07T15:00,short,1.13310,target,2009-05-08T15:00,1.12377,187
2009-05-15T15:00,short,1.10887,target,2009-05-15T16:00,1.10505,76
2009-05-19T02:00,long,1.11489,target,2009-05-19T03:00,1.11604,23
2009-05-19T07:00,long,1.11461,stopped,2009-05-19T09:00,1.11348,-23
2009-05-28T00:00,short,1.09257,target,2009-05-28T05:00,1.09157,20
2009-06-03T20:00,short,1.06943,target,2009-06-04T10:00,1.06425,104
2009-06-09T16:00,long,1.08443,stopped,2009-06-09T18:00,1.08075,-74
2009-06-12T17:00,short,1.07995,target,2009-06-12T19:00,1.07522,95
2009-06-18T15:00,long,1.08410,stopped,2009-06-23T13:00,1.07611,-160
2009-07-16T15:00,long,1.07301,target,2009-07-16T17:00,1.07585,57
2009-07-31T09:00,long,1.08575,target,2009-07-31T11:00,1.08785,42
2009-08-05T17:00,short,1.06283,target,2009-08-05T20:00,1.05975,62
2009-08-06T17:00,short,1.06575,stopped,2009-08-07T15:00,1.06811,-47
2009-08-07T15:00,long,1.07001,target,2009-08-07T18:00,1.08174,235
2009-08-13T14:00,long,1.07580,stopped,2009-08-13T15:00,1.07276,-61
2009-08-14T15:00,long,1.07003,target,2009-08-14T17:00,1.07303,60
2009-09-21T11:00,short,1.03420,stopped,2009-09-21T12:00,1.03550,-26
2009-10-05T09:00,long,1.03235,target,2009-10-05T10:00,1.03409,35
2009-10-14T07:00,long,1.01970,stopped,2009-10-14T09:00,1.01916,-11
2009-10-14T09:00,long,1.02056,stopped,2009-10-14T11:00,1.01802,-51
2009-10-15T04:00,long,1.01335,stopped,2009-10-15T05:00,1.01226,-22
2009-10-19T04:00,short,1.02163,target,2009-10-19T06:00,1.02041,24
2009-10-20T00:00,long,1.01143,stopped,2009-10-20T04:00,1.01010,-27
2009-10-23T03:00,long,1.00520,target,2009-10-23T09:00,1.00718,40
2009-11-02T00:00,short,1.02446,target,2009-11-02T11:00,1.02097,70
2009-11-06T17:00,long,1.01556,stopped,2009-11-09T06:00,1.01256,-60
2009-11-11T04:00,long,1.00709,target,2009-11-11T08:00,1.00843,27
2009-11-27T03:00,short,1.00630,stopped,2009-11-27T04:00,1.00861,-46
2009-12-10T10:00,short,1.02683,stopped,2009-12-11T16:00,1.03037,-71
2009-12-21T00:00,long,1.04066,target,2009-12-21T04:00,1.04275,42
2010-01-05T09:00,long,1.02788,target,2010-01-05T10:00,1.03055,53
2010-01-14T18:00,short,1.02071,target,2010-01-14T20:00,1.01797,55
2010-01-17T23:00,short,1.02770,target,2010-01-18T01:00,1.02673,19
2010-01-18T05:00,short,1.02830,target,2010-01-18T06:00,1.02748,16
2010-01-19T02:00,long,1.02419,stopped,2010-01-19T03:00,1.02307,-22
2010-02-02T17:00,long,1.05664,stopped,2010-02-03T09:00,1.05407,-51
2010-02-04T03:00,short,1.05940,target,2010-02-04T04:00,1.05861,16
2010-02-09T09:00,long,1.06919,target,2010-02-09T10:00,1.07018,20
2010-02-17T10:00,long,1.06608,target,2010-02-17T11:00,1.06751,29
2010-02-17T21:00,short,1.07720,stopped,2010-02-18T02:00,1.08010,-58
2010-02-23T07:00,long,1.07554,stopped,2010-02-23T09:00,1.07330,-45
2010-03-07T20:00,long,1.07446,stopped,2010-03-07T23:00,1.07326,-24
2010-03-10T16:00,long,1.07383,stopped,2010-03-10T17:00,1.07247,-27
2010-03-11T15:00,long,1.07152,stopped,2010-03-11T22:00,1.06812,-68
2010-03-22T09:00,short,1.06166,target,2010-03-22T10:00,1.05981,37
2010-03-31T07:00,short,1.06651,target,2010-03-31T10:00,1.06469,36
2010-04-26T04:00,long,1.07240,target,2010-04-26T05:00,1.07350,22
2010-04-29T13:00,long,1.08281,target,2010-04-29T16:00,1.08491,42
2010-04-29T19:00,long,1.08291,stopped,2010-04-30T09:00,1.08061,-46
2010-05-03T07:00,short,1.08345,target,2010-05-03T08:00,1.08219,25
2010-05-06T00:00,short,1.11775,target,2010-05-06T03:00,1.11543,46
2010-05-11T07:00,short,1.11005,stopped,2010-05-11T09:00,1.11276,-54
2010-05-13T12:00,short,1.11384,stopped,2010-05-13T16:00,1.11646,-52
2010-05-18T11:00,long,1.13212,stopped,2010-05-18T14:00,1.12831,-76
2010-05-27T10:00,long,1.15592,stopped,2010-05-27T13:00,1.15117,-95
2010-06-04T14:00,long,1.15676,stopped,2010-06-09T18:00,1.14180,-299
2010-06-18T07:00,long,1.11125,stopped,2010-06-18T10:00,1.10926,-40
2010-08-02T18:00,long,1.03798,target,2010-08-03T09:00,1.04125,65
2010-08-03T13:00,long,1.03636,target,2010-08-03T16:00,1.03803,34
2010-08-18T03:00,short,1.04294,stopped,2010-08-18T09:00,1.04499,-41
2010-08-18T09:00,short,1.04328,target,2010-08-18T10:00,1.04133,39
2010-08-19T08:00,short,1.04338,stopped,2010-08-19T09:00,1.04584,-49
2010-09-02T06:00,short,1.01760,target,2010-09-02T08:00,1.01677,17
2010-09-21T04:00,long,1.00369,target,2010-09-21T07:00,1.00528,32
2010-09-22T03:00,long,0.99638,target,2010-09-22T04:00,0.99713,15
2010-09-23T16:00,long,0.98495,stopped,2010-09-24T13:00,0.98036,-92
2010-09-29T10:00,long,0.97605,target,2010-09-29T12:00,0.97883,56
2010-10-05T09:00,long,0.97188,stopped,2010-10-05T10:00,0.97008,-36
2010-10-06T13:00,long,0.96532,stopped,2010-10-06T14:00,0.96415,-23
2010-10-06T14:00,long,0.96547,stopped,2010-10-06T15:00,0.96362,-37
2010-10-15T17:00,short,0.95722,stopped,2010-10-15T21:00,0.95970,-50
2010-10-22T00:00,short,0.96738,stopped,2010-10-22T02:00,0.96886,-30
2010-10-27T10:00,short,0.98740,stopped,2010-10-27T11:00,0.98986,-49
2010-10-29T11:00,short,0.98794,target,2010-10-29T17:00,0.98488,61
2010-11-05T09:00,long,0.95874,stopped,2010-11-05T12:00,0.95538,-67
2010-11-10T05:00,short,0.96922,target,2010-11-10T07:00,0.96858,13
2010-11-18T09:00,long,0.98861,stopped,2010-11-18T10:00,0.98694,-33
2010-11-25T09:00,short,0.99728,stopped,2010-11-25T10:00,0.99946,-44
2010-12-01T09:00,short,1.00267,stopped,2010-12-01T10:00,1.00451,-37
2010-12-02T15:00,long,1.00134,stopped,2010-12-02T16:00,0.99725,-82
2010-12-06T00:00,long,0.97555,target,2010-12-06T03:00,0.97722,33
2010-12-14T10:00,long,0.96585,stopped,2010-12-14T11:00,0.96428,-31
2010-12-17T00:00,long,0.96471,stopped,2010-12-17T02:00,0.96382,-18
2010-12-23T04:00,long,0.95096,target,2010-12-23T06:00,0.95186,18
2010-12-23T09:00,long,0.95156,target,2010-12-23T12:00,0.95346,38
2010-12-27T12:00,short,0.96257,target,2010-12-27T17:00,0.96056,40
2010-12-31T00:00,long,0.93517,stopped,2010-12-31T01:00,0.93440,-15
2011-01-05T10:00,short,0.95036,stopped,2011-01-05T14:00,0.95252,-43
2011-01-07T15:00,long,0.96485,target,2011-01-10T00:00,0.96921,87
2011-01-10T00:00,short,0.96856,target,2011-01-10T01:00,0.96735,24
2011-01-21T03:00,short,0.96752,target,2011-01-21T04:00,0.96638,23
2011-01-25T04:00,long,0.94798,target,2011-01-25T08:00,0.94902,21
2011-01-27T13:00,long,0.94181,target,2011-01-27T15:00,0.94474,59
2011-01-31T09:00,long,0.94131,target,2011-01-31T10:00,0.94256,25
2011-02-01T17:00,short,0.94135,target,2011-02-01T19:00,0.93711,85
2011-02-23T09:00,long,0.93728,target,2011-02-23T12:00,0.93921,39
2011-03-02T08:00,long,0.92799,target,2011-03-02T09:00,0.92891,18
2011-03-03T15:00,short,0.92732,stopped,2011-03-03T16:00,0.93083,-70
2011-03-04T17:00,long,0.92599,target,2011-03-08T08:00,0.92967,73
2011-03-09T05:00,short,0.93607,target,2011-03-09T09:00,0.93534,15
2011-03-13T21:00,long,0.92780,stopped,2011-03-14T00:00,0.92618,-32
2011-03-14T00:00,long,0.92832,target,2011-03-14T10:00,0.93089,51
2011-03-14T14:00,long,0.92779,stopped,2011-03-14T16:00,0.92548,-46
2011-03-23T16:00,short,0.90461,stopped,2011-03-23T17:00,0.90683,-44
2011-04-18T10:00,short,0.89416,stopped,2011-04-18T14:00,0.89803,-77
2011-04-20T00:00,short,0.89971,target,2011-04-20T04:00,0.89798,34
2011-04-25T00:00,long,0.88590,stopped,2011-04-25T02:00,0.88450,-28
2011-05-02T03:00,long,0.86478,target,2011-05-02T05:00,0.86706,46
2011-05-03T10:00,long,0.86526,stopped,2011-05-03T17:00,0.86184,-68
2011-05-11T15:00,short,0.88099,stopped,2011-05-11T16:00,0.88277,-36
2011-06-27T17:00,long,0.83427,target,2011-06-27T18:00,0.83672,49
2011-06-29T15:00,short,0.83465,stopped,2011-06-29T17:00,0.83648,-36
2011-07-08T15:00,short,0.83892,target,2011-07-13T16:00,0.82587,261
2011-07-18T21:00,short,0.81865,target,2011-07-18T22:00,0.81798,13
2011-07-28T13:00,long,0.80073,target,2011-07-28T16:00,0.80253,36
2011-08-03T00:00,long,0.76477,target,2011-08-03T10:00,0.76869,78
2011-08-04T13:00,short,0.77525,target,2011-08-04T16:00,0.77046,96
2011-08-16T09:00,long,0.78130,target,2011-08-16T16:00,0.78570,88
2011-08-25T00:00,short,0.79581,stopped,2011-08-25T01:00,0.79631,-10
2011-08-25T01:00,short,0.79556,target,2011-08-25T05:00,0.79470,17
2011-09-13T09:00,long,0.88207,target,2011-09-13T10:00,0.88493,57
2011-09-14T15:00,long,0.87826,target,2011-09-14T17:00,0.88123,59
2011-09-20T13:00,long,0.88112,target,2011-09-20T15:00,0.88331,44
2011-09-22T00:00,short,0.89941,stopped,2011-09-22T05:00,0.90154,-42
2011-09-29T11:00,long,0.89419,target,2011-09-29T14:00,0.89663,49
2011-09-30T10:00,short,0.90131,stopped,2011-09-30T16:00,0.90421,-58
2011-10-07T10:00,long,0.91984,target,2011-10-07T12:00,0.92164,36
