start_date,end_date,data_set,minimum_profit,cut_off,moving_average_count,winners.size,losers.size,winning_percentage,cut_off_percentage
2011-08-02T00:00:00+00:00,2013-08-02T00:00:00+00:00,EURJPY,38,-14,20,1,0,100.0,-70.0
2010-08-02T00:00:00+00:00,2012-08-02T00:00:00+00:00,EURJPY,38,-14,20,1,0,100.0,-70.0
2011-08-02T00:00:00+00:00,2013-08-02T00:00:00+00:00,EURJPY,38,-12,16,1,1,50.0,-75.0
2010-08-02T00:00:00+00:00,2012-08-02T00:00:00+00:00,EURJPY,38,-12,16,1,1,50.0,-75.0
2011-08-02T00:00:00+00:00,2013-08-02T00:00:00+00:00,EURJPY,38,-12,18,1,1,50.0,-66.67
2010-08-02T00:00:00+00:00,2012-08-02T00:00:00+00:00,EURJPY,38,-12,18,1,1,50.0,-66.67
2011-08-02T00:00:00+00:00,2013-08-02T00:00:00+00:00,EURJPY,38,-12,20,2,0,100.0,-60.0
2010-08-02T00:00:00+00:00,2012-08-02T00:00:00+00:00,EURJPY,38,-12,20,2,0,100.0,-60.0
2011-08-02T00:00:00+00:00,2013-08-02T00:00:00+00:00,EURJPY,38,-10,12,1,2,33.33,-83.33
2010-08-02T00:00:00+00:00,2012-08-02T00:00:00+00:00,EURJPY,38,-10,12,1,2,33.33,-83.33
2011-08-02T00:00:00+00:00,2013-08-02T00:00:00+00:00,EURJPY,38,-10,14,2,2,50.0,-71.43
2010-08-02T00:00:00+00:00,2012-08-02T00:00:00+00:00,NZDUSD,38,-10,14,0,1,0.0,-71.43
2010-08-02T00:00:00+00:00,2012-08-02T00:00:00+00:00,EURJPY,38,-10,14,2,2,50.0,-71.43
2009-08-02T00:00:00+00:00,2011-08-02T00:00:00+00:00,NZDUSD,38,-10,14,0,1,0.0,-71.43
2011-08-02T00:00:00+00:00,2013-08-02T00:00:00+00:00,EURJPY,38,-10,16,1,2,33.33,-62.5
2010-08-02T00:00:00+00:00,2012-08-02T00:00:00+00:00,NZDUSD,38,-10,16,0,1,0.0,-62.5
2010-08-02T00:00:00+00:00,2012-08-02T00:00:00+00:00,EURJPY,38,-10,16,1,2,33.33,-62.5
2009-08-02T00:00:00+00:00,2011-08-02T00:00:00+00:00,NZDUSD,38,-10,16,0,1,0.0,-62.5
