start_date,end_date,data_set,minimum_profit,cut_off,moving_average_count,winners.size,losers.size,winning_percentage,cut_off_percentage
2010-08-02T00:00:00+00:00,2012-08-02T00:00:00+00:00,GBPUSD,2,-9,10,0,1,0.0,-90.0
2009-08-02T00:00:00+00:00,2011-08-02T00:00:00+00:00,GBPUSD,2,-9,10,0,1,0.0,-90.0
2015-08-02T00:00:00+00:00,2017-08-02T00:00:00+00:00,USDCHF,2,-8,10,1,2,33.33,-80.0
2014-08-02T00:00:00+00:00,2016-08-02T00:00:00+00:00,EURUSD,2,-8,10,0,2,0.0,-80.0
2014-08-02T00:00:00+00:00,2016-08-02T00:00:00+00:00,USDCAD,2,-8,10,1,0,100.0,-80.0
2014-08-02T00:00:00+00:00,2016-08-02T00:00:00+00:00,USDCHF,2,-8,10,0,1,0.0,-80.0
2013-08-02T00:00:00+00:00,2015-08-02T00:00:00+00:00,EURUSD,2,-8,10,1,2,33.33,-80.0
2013-08-02T00:00:00+00:00,2015-08-02T00:00:00+00:00,USDCAD,2,-8,10,1,0,100.0,-80.0
2012-08-02T00:00:00+00:00,2014-08-02T00:00:00+00:00,EURUSD,2,-8,10,1,0,100.0,-80.0
2011-08-02T00:00:00+00:00,2013-08-02T00:00:00+00:00,EURJPY,2,-8,10,1,3,25.0,-80.0
2010-08-02T00:00:00+00:00,2012-08-02T00:00:00+00:00,GBPUSD,2,-8,10,1,2,33.33,-80.0
2010-08-02T00:00:00+00:00,2012-08-02T00:00:00+00:00,EURJPY,2,-8,10,1,3,25.0,-80.0
2009-08-02T00:00:00+00:00,2011-08-02T00:00:00+00:00,GBPUSD,2,-8,10,1,2,33.33,-80.0
2014-08-02T00:00:00+00:00,2016-08-02T00:00:00+00:00,EURUSD,2,-7,8,0,1,0.0,-87.5
2014-08-02T00:00:00+00:00,2016-08-02T00:00:00+00:00,USDCAD,2,-7,8,1,0,100.0,-87.5
2013-08-02T00:00:00+00:00,2015-08-02T00:00:00+00:00,EURUSD,2,-7,8,1,1,50.0,-87.5
2013-08-02T00:00:00+00:00,2015-08-02T00:00:00+00:00,USDCAD,2,-7,8,1,0,100.0,-87.5
2012-08-02T00:00:00+00:00,2014-08-02T00:00:00+00:00,EURUSD,2,-7,8,1,0,100.0,-87.5
2011-08-02T00:00:00+00:00,2013-08-02T00:00:00+00:00,EURJPY,2,-7,8,1,0,100.0,-87.5
2010-08-02T00:00:00+00:00,2012-08-02T00:00:00+00:00,GBPUSD,2,-7,8,0,2,0.0,-87.5
2010-08-02T00:00:00+00:00,2012-08-02T00:00:00+00:00,EURJPY,2,-7,8,1,0,100.0,-87.5
2009-08-02T00:00:00+00:00,2011-08-02T00:00:00+00:00,GBPUSD,2,-7,8,0,2,0.0,-87.5
2015-08-02T00:00:00+00:00,2017-08-02T00:00:00+00:00,USDCHF,2,-7,10,1,2,33.33,-70.0
2014-08-02T00:00:00+00:00,2016-08-02T00:00:00+00:00,EURUSD,2,-7,10,0,2,0.0,-70.0
2014-08-02T00:00:00+00:00,2016-08-02T00:00:00+00:00,USDCAD,2,-7,10,1,0,100.0,-70.0
2014-08-02T00:00:00+00:00,2016-08-02T00:00:00+00:00,USDCHF,2,-7,10,0,1,0.0,-70.0
2013-08-02T00:00:00+00:00,2015-08-02T00:00:00+00:00,EURUSD,2,-7,10,1,2,33.33,-70.0
2013-08-02T00:00:00+00:00,2015-08-02T00:00:00+00:00,USDCAD,2,-7,10,1,0,100.0,-70.0
2012-08-02T00:00:00+00:00,2014-08-02T00:00:00+00:00,EURUSD,2,-7,10,1,0,100.0,-70.0
2011-08-02T00:00:00+00:00,2013-08-02T00:00:00+00:00,EURJPY,2,-7,10,1,3,25.0,-70.0
2010-08-02T00:00:00+00:00,2012-08-02T00:00:00+00:00,GBPUSD,2,-7,10,1,2,33.33,-70.0
