year,winning_percentage,count,cut_off
2007,50.487224,789,-100
2008,52.544939,901,-100
2009,49.113158,323,-100
2010,53.734639,332,-100
2011,40.379749,319,-100
2012,31.157172,198,-100
2013,39.031880,250,-100
2014,48.137721,373,-100
2015,51.962016,129,-100
2016,NaN,0,-100
2007,50.487224,789,-90
2008,52.544939,901,-90
2009,49.113158,323,-90
2010,53.734639,332,-90
2011,40.379749,319,-90
2012,31.157172,198,-90
2013,39.031880,250,-90
2014,48.137721,373,-90
2015,51.962016,129,-90
2016,NaN,0,-90
2007,50.487224,789,-80
2008,52.544939,901,-80
2009,49.113158,323,-80
2010,53.734639,332,-80
2011,40.379749,319,-80
2012,31.157172,198,-80
2013,39.031880,250,-80
2014,48.137721,373,-80
2015,51.962016,129,-80
2016,NaN,0,-80
2007,50.424930,787,-70
2008,52.544939,901,-70
2009,49.113158,323,-70
2010,53.734639,332,-70
2011,40.192264,318,-70
2012,30.807716,197,-70
2013,39.031880,250,-70
2014,47.865328,366,-70
2015,51.586719,128,-70
2016,NaN,0,-70
2007,50.108509,778,-60
2008,52.280123,896,-60
2009,48.951869,321,-60
2010,53.312766,329,-60
2011,39.822620,313,-60
2012,29.891250,192,-60
2013,38.553112,241,-60
2014,47.715462,357,-60
2015,51.100323,124,-60
2016,NaN,0,-60
2007,49.774517,766,-50
2008,52.030922,889,-50
2009,48.470283,318,-50
2010,53.180122,327,-50
2011,39.433713,307,-50
2012,29.601429,182,-50
2013,38.519181,232,-50
2014,47.214104,346,-50
2015,50.581417,120,-50
2016,NaN,0,-50
2007,49.783127,758,-40
2008,51.940600,884,-40
2009,48.470283,318,-40
2010,53.180122,327,-40
2011,39.548750,304,-40
2012,30.329943,175,-40
2013,39.044561,228,-40
2014,46.527676,340,-40
2015,50.581417,120,-40
2016,NaN,0,-40
2007,49.419957,703,-30
2008,51.157041,838,-30
2009,47.531797,295,-30
2010,52.365728,309,-30
2011,38.520214,281,-30
2012,29.006944,144,-30
2013,38.857398,196,-30
2014,45.142007,294,-30
2015,50.002551,98,-30
2016,NaN,0,-30
2007,48.876646,659,-20
2008,50.425607,799,-20
2009,46.237402,281,-20
2010,52.153153,295,-20
2011,38.371866,268,-20
2012,29.049685,127,-20
2013,38.091609,174,-20
2014,43.655153,262,-20
2015,48.840116,86,-20
2016,NaN,0,-20
2007,48.203506,599,-10
2008,49.362008,742,-10
2009,46.137893,261,-10
2010,51.144833,269,-10
2011,37.038811,244,-10
2012,29.580660,106,-10
2013,37.906846,149,-10
2014,42.104299,221,-10
2015,46.306389,72,-10
2016,NaN,0,-10
2007,46.359980,511,0
2008,47.031271,661,0
2009,44.383038,237,0
2010,48.461857,237,0
2011,36.193779,217,0
2012,30.569762,84,0
2013,37.758770,122,0
2014,39.818380,179,0
2015,42.538393,56,0
2016,NaN,0,0
2007,44.570637,424,10
2008,44.954599,574,10
2009,43.416800,225,10
2010,46.009860,215,10
2011,36.434394,198,10
2012,32.921528,72,10
2013,38.687477,111,10
2014,37.003571,154,10
2015,42.096275,51,10
2016,NaN,0,10
2007,43.632097,267,20
2008,41.458177,373,20
2009,40.417871,155,20
2010,45.634000,150,20
2011,36.278849,139,20
2012,30.982821,39,20
2013,35.928852,61,20
2014,28.256125,80,20
2015,29.762143,28,20
2016,NaN,0,20
2007,42.025544,193,30
2008,40.374000,260,30
2009,38.637807,114,30
2010,45.467815,119,30
2011,37.260196,102,30
2012,33.035714,28,30
2013,37.291500,40,30
2014,25.328113,53,30
2015,21.970000,22,30
2016,NaN,0,30
2007,41.204621,132,40
2008,41.575269,167,40
2009,32.953067,75,40
2010,46.831379,87,40
2011,41.888857,70,40
2012,41.176471,17,40
2013,37.037037,27,40
2014,21.673611,36,40
2015,19.271250,16,40
2016,NaN,0,40
2007,40.628571,91,50
2008,41.773717,113,50
2009,33.522826,46,50
2010,44.635538,65,50
2011,46.870612,49,50
2012,46.153846,13,50
2013,40.000000,20,50
2014,17.610370,27,50
2015,11.805833,12,50
2016,NaN,0,50
2007,41.367600,75,60
2008,42.615165,91,60
2009,36.121026,39,60
2010,44.562759,58,60
2011,49.924091,44,60
2012,46.153846,13,60
2013,40.000000,20,60
2014,12.352400,25,60
2015,11.805833,12,60
2016,NaN,0,60
2007,39.150323,31,70
2008,37.856410,39,70
2009,30.000667,15,70
2010,38.478261,23,70
2011,44.117647,17,70
2012,50.000000,2,70
2013,25.000000,4,70
2014,0.000000,4,70
2015,0.000000,2,70
2016,NaN,0,70
2007,39.318000,15,80
2008,34.792000,20,80
2009,29.630000,9,80
2010,36.805833,12,80
2011,40.741111,9,80
2012,50.000000,2,80
2013,0.000000,2,80
2014,0.000000,2,80
2015,0.000000,1,80
2016,NaN,0,80
2007,23.334000,5,90
2008,19.445000,6,90
2009,33.333333,3,90
2010,50.000000,2,90
2011,50.000000,2,90
2012,NaN,0,90
2013,NaN,0,90
2014,NaN,0,90
2015,NaN,0,90
2016,NaN,0,90
2007,NaN,0,100
2008,NaN,0,100
2009,NaN,0,100
2010,NaN,0,100
2011,NaN,0,100
2012,NaN,0,100
2013,NaN,0,100
2014,NaN,0,100
2015,NaN,0,100
2016,NaN,0,100
