year,winning_percentage,count,cut_off
2007,NaN,0,-100
2008,NaN,0,-100
2009,NaN,0,-100
2010,NaN,0,-100
2011,NaN,0,-100
2012,NaN,0,-100
2013,NaN,0,-100
2014,NaN,0,-100
2015,NaN,0,-100
2016,NaN,0,-100
2007,NaN,0,-90
2008,NaN,0,-90
2009,NaN,0,-90
2010,NaN,0,-90
2011,NaN,0,-90
2012,NaN,0,-90
2013,NaN,0,-90
2014,NaN,0,-90
2015,NaN,0,-90
2016,NaN,0,-90
2007,79.166250,8,-80
2008,0.000000,1,-80
2009,60.000000,5,-80
2010,55.000000,5,-80
2011,62.500000,4,-80
2012,83.333333,3,-80
2013,66.666667,3,-80
2014,54.443889,18,-80
2015,100.000000,3,-80
2016,NaN,0,-80
2007,74.820000,37,-70
2008,81.731154,26,-70
2009,62.280526,19,-70
2010,70.434783,23,-70
2011,68.560000,22,-70
2012,61.864762,21,-70
2013,51.358605,43,-70
2014,59.215128,39,-70
2015,83.749500,20,-70
2016,NaN,0,-70
2007,71.112653,49,-60
2008,80.066875,32,-60
2009,62.334000,25,-60
2010,62.243158,19,-60
2011,65.579130,23,-60
2012,32.231944,36,-60
2013,44.967959,49,-60
2014,62.043617,47,-60
2015,79.020000,17,-60
2016,NaN,0,-60
2007,59.091212,33,-50
2008,69.000000,20,-50
2009,58.333750,8,-50
2010,70.666000,5,-50
2011,53.029091,11,-50
2012,13.814000,35,-50
2013,10.544500,20,-50
2014,72.463913,23,-50
2015,NaN,0,-50
2016,NaN,0,-50
2007,55.563982,221,-40
2008,65.130214,187,-40
2009,57.957680,125,-40
2010,65.684851,101,-40
2011,58.785217,115,-40
2012,34.850616,146,-40
2013,41.004138,145,-40
2014,55.944882,211,-40
2015,58.866771,96,-40
2016,NaN,0,-40
2007,56.523518,199,-30
2008,64.372883,163,-30
2009,64.628605,86,-30
2010,59.104459,74,-30
2011,50.210676,74,-30
2012,26.663563,87,-30
2013,47.277400,100,-30
2014,58.911180,178,-30
2015,62.781207,58,-30
2016,NaN,0,-30
2007,55.685936,283,-20
2008,61.954461,269,-20
2009,55.452562,121,-20
2010,66.113309,139,-20
2011,51.625378,119,-20
2012,33.396695,118,-20
2013,46.684341,129,-20
2014,55.061181,237,-20
2015,62.938941,85,-20
2016,NaN,0,-20
2007,57.209900,400,-10
2008,59.849392,378,-10
2009,56.662416,149,-10
2010,63.352487,189,-10
2011,50.125195,154,-10
2012,33.600076,131,-10
2013,45.398471,157,-10
2014,49.514585,253,-10
2015,62.633478,92,-10
2016,NaN,0,-10
2007,56.143063,444,0
2008,57.529975,407,0
2009,56.244660,103,0
2010,64.038194,155,0
2011,35.935200,125,0
2012,31.804250,80,0
2013,43.863810,84,0
2014,51.128291,158,0
2015,59.114872,39,0
2016,NaN,0,0
2007,45.446167,814,10
2008,49.087503,957,10
2009,46.435347,404,10
2010,45.897212,391,10
2011,39.335706,347,10
2012,38.099752,202,10
2013,36.351581,272,10
2014,40.880879,398,10
2015,49.685000,136,10
2016,NaN,0,10
2007,44.911332,413,20
2008,43.901217,608,20
2009,44.696429,266,20
2010,42.902756,225,20
2011,35.701937,222,20
2012,42.083000,60,20
2013,30.982333,120,20
2014,38.022629,175,20
2015,43.333333,42,20
2016,NaN,0,20
2007,39.158712,326,30
2008,41.846680,485,30
2009,44.841013,227,30
2010,41.284309,181,30
2011,37.400533,169,30
2012,23.541458,48,30
2013,32.068082,73,30
2014,37.419835,121,30
2015,38.243243,37,30
2016,NaN,0,30
2007,39.956651,209,40
2008,39.379435,301,40
2009,39.820719,153,40
2010,40.796935,124,40
2011,45.115098,102,40
2012,44.803529,17,40
2013,29.361579,38,40
2014,36.023182,66,40
2015,36.666667,21,40
2016,NaN,0,40
2007,35.323913,92,50
2008,38.612143,126,50
2009,46.700213,47,50
2010,40.921316,38,50
2011,32.222381,21,50
2012,NaN,0,50
2013,13.095714,7,50
2014,39.487692,13,50
2015,NaN,0,50
2016,NaN,0,50
2007,40.775305,213,60
2008,44.451142,254,60
2009,39.484711,121,60
2010,39.407534,146,60
2011,44.922727,121,60
2012,37.006296,54,60
2013,38.692195,82,60
2014,20.446961,102,60
2015,25.703778,45,60
2016,NaN,0,60
2007,30.897467,75,70
2008,33.256237,93,70
2009,23.030303,33,70
2010,31.899302,43,70
2011,46.234815,27,70
2012,100.000000,1,70
2013,34.615385,13,70
2014,16.666923,13,70
2015,16.667500,4,70
2016,NaN,0,70
2007,38.583415,41,80
2008,34.407119,59,80
2009,24.444333,30,80
2010,30.107097,31,80
2011,43.333000,20,80
2012,50.000000,8,80
2013,8.974615,13,80
2014,4.166667,12,80
2015,12.500000,4,80
2016,NaN,0,80
2007,24.562105,19,90
2008,25.695000,24,90
2009,33.333333,9,90
2010,42.857143,7,90
2011,50.000000,2,90
2012,100.000000,1,90
2013,50.000000,2,90
2014,NaN,0,90
2015,NaN,0,90
2016,NaN,0,90
2007,NaN,0,100
2008,NaN,0,100
2009,NaN,0,100
2010,NaN,0,100
2011,NaN,0,100
2012,NaN,0,100
2013,NaN,0,100
2014,NaN,0,100
2015,NaN,0,100
2016,NaN,0,100
