year,winning_percentage,count,cut_off
2007,NaN,0,-100
2008,NaN,0,-100
2009,NaN,0,-100
2010,NaN,0,-100
2011,NaN,0,-100
2012,NaN,0,-100
2013,NaN,0,-100
2014,NaN,0,-100
2015,NaN,0,-100
2016,NaN,0,-100
2007,NaN,0,-90
2008,NaN,0,-90
2009,NaN,0,-90
2010,NaN,0,-90
2011,NaN,0,-90
2012,NaN,0,-90
2013,NaN,0,-90
2014,NaN,0,-90
2015,NaN,0,-90
2016,NaN,0,-90
2007,75.000000,2,-80
2008,NaN,0,-80
2009,NaN,0,-80
2010,NaN,0,-80
2011,100.000000,1,-80
2012,100.000000,1,-80
2013,NaN,0,-80
2014,62.380000,7,-80
2015,100.000000,1,-80
2016,NaN,0,-80
2007,77.777778,9,-70
2008,100.000000,5,-70
2009,75.000000,2,-70
2010,100.000000,3,-70
2011,63.332000,5,-70
2012,66.000000,5,-70
2013,51.852222,9,-70
2014,53.810000,9,-70
2015,66.665000,4,-70
2016,NaN,0,-70
2007,71.428333,12,-60
2008,83.928571,7,-60
2009,100.000000,3,-60
2010,75.000000,2,-60
2011,59.721667,6,-60
2012,35.166000,10,-60
2013,39.427778,9,-60
2014,63.485455,11,-60
2015,66.667500,4,-60
2016,NaN,0,-60
2007,48.958750,8,-50
2008,68.000000,5,-50
2009,NaN,0,-50
2010,NaN,0,-50
2011,27.776667,3,-50
2012,11.388571,7,-50
2013,8.572500,4,-50
2014,86.111667,6,-50
2015,NaN,0,-50
2016,NaN,0,-50
2007,54.425091,55,-40
2008,66.215000,46,-40
2009,60.507391,23,-40
2010,67.160556,18,-40
2011,52.114783,23,-40
2012,36.475484,31,-40
2013,40.190937,32,-40
2014,55.383913,46,-40
2015,53.160000,22,-40
2016,NaN,0,-40
2007,57.557273,44,-30
2008,66.142051,39,-30
2009,73.512143,14,-30
2010,56.845000,14,-30
2011,41.578462,13,-30
2012,28.687647,17,-30
2013,44.914091,22,-30
2014,57.315625,32,-30
2015,58.333333,12,-30
2016,NaN,0,-30
2007,55.596833,60,-20
2008,64.271053,57,-20
2009,47.536000,20,-20
2010,62.585385,26,-20
2011,51.924583,24,-20
2012,26.369524,21,-20
2013,39.192800,25,-20
2014,52.014634,41,-20
2015,61.870714,14,-20
2016,NaN,0,-20
2007,58.908523,88,-10
2008,68.381975,81,-10
2009,63.467083,24,-10
2010,71.015625,32,-10
2011,43.830370,27,-10
2012,25.804091,22,-10
2013,38.575926,27,-10
2014,51.846667,42,-10
2015,59.494375,16,-10
2016,NaN,0,-10
2007,55.080460,87,0
2008,60.732529,87,0
2009,62.500000,12,0
2010,72.424545,22,0
2011,33.686316,19,0
2012,16.459167,12,0
2013,28.387273,11,0
2014,57.157600,25,0
2015,47.048000,5,0
2016,NaN,0,0
2007,46.166752,157,10
2008,51.442985,201,10
2009,50.057286,70,10
2010,46.877231,65,10
2011,36.800847,59,10
2012,35.212727,33,10
2013,42.053000,50,10
2014,46.460270,74,10
2015,57.111739,23,10
2016,NaN,0,10
2007,47.822162,74,20
2008,43.952743,113,20
2009,45.367317,41,20
2010,46.271935,31,20
2011,33.573514,37,20
2012,25.757273,11,20
2013,33.333333,21,20
2014,34.003704,27,20
2015,58.333333,6,20
2016,NaN,0,20
2007,43.801967,61,30
2008,38.216882,93,30
2009,49.570000,39,30
2010,41.760625,32,30
2011,27.135000,32,30
2012,20.454545,11,30
2013,37.820000,13,30
2014,33.067059,17,30
2015,29.166667,6,30
2016,NaN,0,30
2007,42.483171,41,40
2008,41.160000,54,40
2009,32.049310,29,40
2010,53.319091,22,40
2011,30.264762,21,40
2012,25.000000,4,40
2013,28.571429,7,40
2014,33.863333,9,40
2015,41.667500,4,40
2016,NaN,0,40
2007,37.164375,16,50
2008,38.293182,22,50
2009,19.047143,7,50
2010,45.238571,7,50
2011,20.000000,5,50
2012,NaN,0,50
2013,NaN,0,50
2014,83.335000,2,50
2015,NaN,0,50
2016,NaN,0,50
2007,42.929773,44,60
2008,46.184231,52,60
2009,39.946250,24,60
2010,48.561143,35,60
2011,53.580000,27,60
2012,45.454545,11,60
2013,43.750000,16,60
2014,14.705238,21,60
2015,14.167000,10,60
2016,NaN,0,60
2007,38.993125,16,70
2008,41.082105,19,70
2009,30.556667,6,70
2010,40.302727,11,70
2011,47.916250,8,70
2012,NaN,0,70
2013,50.000000,2,70
2014,0.000000,2,70
2015,0.000000,1,70
2016,NaN,0,70
2007,47.310000,10,80
2008,41.369286,14,80
2009,27.778333,6,80
2010,34.167000,10,80
2011,38.095714,7,80
2012,50.000000,2,80
2013,0.000000,2,80
2014,0.000000,2,80
2015,0.000000,1,80
2016,NaN,0,80
2007,23.334000,5,90
2008,19.445000,6,90
2009,33.333333,3,90
2010,50.000000,2,90
2011,50.000000,2,90
2012,NaN,0,90
2013,NaN,0,90
2014,NaN,0,90
2015,NaN,0,90
2016,NaN,0,90
2007,NaN,0,100
2008,NaN,0,100
2009,NaN,0,100
2010,NaN,0,100
2011,NaN,0,100
2012,NaN,0,100
2013,NaN,0,100
2014,NaN,0,100
2015,NaN,0,100
2016,NaN,0,100
